Open,Close,High,Low,Date
161.2,160.1,162.06,159.78,04/12/23
162.26,160.8,162.36,160.51,04/11/23
161.51,162.03,162.03,160.08,04/10/23
162.39,164.66,164.9584,162.03,04/06/23
164.8,163.76,165.05,161.8,04/05/23
166.55,165.63,166.83,165.11,04/04/23
164.39,166.17,166.29,164.27,04/03/23
162.36,164.9,165.0,162.13,03/31/23
161.55,162.36,162.47,161.271,03/30/23
159.37,160.77,161.04,159.35,03/29/23
158.01,157.65,158.1277,155.98,03/28/23
159.93,158.28,160.77,157.87,03/27/23
158.87,160.25,160.34,157.85,03/24/23
158.75,158.93,161.55,157.68,03/23/23
159.28,157.83,162.14,157.81,03/22/23
157.35,159.28,159.4,156.54,03/21/23
155.14,157.4,157.81,154.15,03/20/23
156.17,155.0,156.74,154.28,03/17/23
152.16,155.85,156.42,151.64,03/16/23
151.07,152.99,153.245,149.92,03/15/23
151.25,152.59,153.4,150.1,03/14/23
147.97,150.47,153.13,147.84,03/13/23
150.16,148.5,150.94,147.61,03/10/23
153.46,150.59,154.5312,150.225,03/09/23
152.85,152.87,153.47,151.83,03/08/23
153.69,151.6,154.0299,151.13,03/07/23
153.77,153.83,156.295,153.46,03/06/23
147.95,151.03,151.11,147.335,03/03/23
144.33,145.91,146.71,143.9,03/02/23
146.5,145.31,147.2285,145.01,03/01/23
146.87,147.41,149.075,146.87,02/28/23
147.7,147.92,149.17,147.45,02/27/23
147.06,146.71,147.19,145.7202,02/24/23
150.0,149.4,150.34,147.24,02/23/23
148.75,148.91,149.95,147.16,02/22/23
150.25,148.48,151.29,148.405,02/21/23
152.45,152.55,153.0,150.85,02/17/23
153.39,153.71,156.3299,153.3475,02/16/23
153.09,155.33,155.5,152.88,02/15/23
152.03,153.2,153.77,150.87,02/14/23
150.94,153.85,154.26,150.92,02/13/23
149.27,151.01,151.34,149.22,02/10/23
153.76,150.87,154.33,150.42,02/09/23
153.77,151.92,154.58,151.17,02/08/23
150.66,154.65,155.23,150.66,02/07/23
