Open,Close,High,Low,Date
123.05,122.65,123.05,121.66,07/28/14
122.52,123.31,124.39,122.25,07/29/14
128.63,130.01,131.2367,128.63,07/30/14
128.28,127.39,129.34,127.04,07/31/14
126.17,125.55,127.3,124.77,08/01/14
129.21,128.65,129.38,126.52,08/04/14
127.51,127.88,129.0,126.62,08/05/14
127.26,127.09,128.78,126.56,08/06/14
127.93,125.75,128.89,125.51,08/07/14
125.22,126.95,127.41,125.17,08/08/14
127.5,127.32,127.995,126.61,08/11/14
126.22,126.32,126.9,125.54,08/12/14
127.19,127.34,127.8,126.3,08/13/14
125.055,131.86,132.52,124.82,08/14/14
133.31,132.8,133.31,130.0,08/15/14
133.35,133.22,133.98,132.37,08/18/14
133.5,133.02,133.68,131.81,08/19/14
131.97,132.68,133.27,131.85,08/20/14
132.96,132.53,133.0099,132.045,08/21/14
132.99,132.82,133.46,132.42,08/22/14
133.38,134.79,134.93,133.38,08/25/14
135.05,137.27,137.67,135.05,08/26/14
137.7,137.83,138.57,136.69,08/27/14
137.65,138.69,139.375,137.2901,08/28/14
139.45,139.38,139.73,138.31,08/29/14
139.67,137.96,139.91,137.2,09/02/14
138.57,138.58,138.85,137.34,09/03/14
138.74,138.01,139.5,137.53,09/04/14
138.22,137.88,138.33,135.63,09/05/14
138.0,139.27,139.36,137.7,09/08/14
138.66,137.39,138.98,137.07,09/09/14
137.27,139.19,139.72,137.27,09/10/14
138.53,138.96,139.93,137.36,09/11/14
138.51,137.89,138.99,136.82,09/12/14
137.57,137.97,138.06,136.89,09/15/14
137.97,139.33,139.55,136.95,09/16/14
140.0,140.71,141.57,138.67,09/17/14
140.9,142.02,142.16,139.96,09/18/14
143.06,144.01,144.46,142.29,09/19/14
143.29,142.18,144.015,141.1,09/22/14
141.84,140.68,142.4,140.57,09/23/14
140.65,142.24,142.48,140.02,09/24/14
142.08,139.85,143.02,139.4,09/25/14
140.05,141.06,141.18,138.93,09/26/14
139.96,140.07,141.5,139.35,09/29/14
140.31,140.46,141.58,139.02,09/30/14
140.39,138.82,140.77,138.18,10/01/14
138.98,137.2,139.77,136.32,10/02/14
138.07,139.15,139.67,137.91,10/03/14
140.0,137.61,140.5467,136.98,10/06/14
137.14,136.03,137.54,135.98,10/07/14
136.5,140.07,140.375,135.4201,10/08/14
139.57,137.58,140.19,137.02,10/09/14
136.78,137.39,140.74,136.78,10/10/14
137.05,133.56,137.81,133.52,10/13/14
135.38,132.2,135.43,131.93,10/14/14
131.02,130.9,131.35,128.6,10/15/14
128.15,130.45,130.88,127.67,10/16/14
131.25,133.69,139.85,129.5,10/17/14
133.68,137.51,137.55,133.01,10/20/14
138.49,144.09,145.49,137.01,10/21/14
143.81,143.64,144.41,141.67,10/22/14
145.9,147.25,148.14,145.24,10/23/14
146.85,147.26,147.49,145.52,10/24/14
146.7,148.2,148.469,146.11,10/27/14
151.75,157.19,157.25,151.52,10/28/14
157.63,158.88,159.715,156.94,10/29/14
158.64,161.58,161.58,158.16,10/30/14
164.56,162.18,164.65,161.42,10/31/14
162.08,161.56,162.4099,159.664,11/03/14
160.21,160.41,161.99,159.17,11/04/14
161.31,158.94,161.31,158.81,11/05/14
159.97,160.35,160.94,159.5,11/06/14
162.17,160.25,162.2499,158.32,11/07/14
161.01,163.09,163.19,160.5,11/10/14
163.08,162.42,163.86,161.518,11/11/14
161.85,161.93,163.075,161.19,11/12/14
162.11,160.85,162.35,159.59,11/13/14
161.1,157.68,161.26,156.615,11/14/14
156.66,159.14,160.2,156.66,11/17/14
158.83,162.24,162.38,158.37,11/18/14
160.6,162.64,163.27,160.37,11/19/14
162.21,162.68,164.8278,161.75,11/20/14
165.58,162.81,165.58,161.43,11/21/14
163.0,164.18,165.65,163.0,11/24/14
164.06,162.24,164.41,160.7,11/25/14
162.75,164.72,164.84,160.72,11/26/14
165.0,165.31,167.345,164.52,11/28/14
165.12,166.41,167.37,164.17,12/01/14
167.6,169.28,169.33,166.8,12/02/14
169.28,168.07,169.49,166.52,12/03/14
167.54,166.55,168.76,166.5,12/04/14
166.5,169.24,169.41,166.11,12/05/14
169.39,171.64,173.14,169.0,12/08/14
170.32,169.39,173.08,167.45,12/09/14
169.0,165.39,169.75,165.09,12/10/14
166.7,166.08,169.64,165.6,12/11/14
163.14,164.53,169.56,162.3,12/12/14
164.77,159.6,164.99,159.41,12/15/14
159.17,159.44,163.96,157.98,12/16/14
159.46,163.48,164.0,158.642,12/17/14
166.07,168.48,168.48,164.58,12/18/14
168.15,170.17,171.73,167.42,12/19/14
168.31,164.53,169.04,163.91,12/22/14
164.99,157.52,164.99,154.36,12/23/14
156.8,160.67,163.17,156.53,12/24/14
162.16,163.46,164.13,161.85,12/26/14
162.78,162.85,164.0,161.52,12/29/14
162.62,160.63,162.7,160.179,12/30/14
161.67,159.29,163.27,159.28,12/31/14
160.22,159.89,162.59,158.6,01/02/15
157.43,157.99,159.5999,154.26,01/05/15
158.78,152.9,158.88,152.33,01/06/15
154.09,158.24,158.46,153.01,01/07/15
160.0,157.67,162.75,155.16,01/08/15
158.0,155.73,158.53,154.63,01/09/15
156.22,156.22,157.99,155.0,01/12/15
158.89,155.14,160.95,153.41,01/13/15
152.79,155.16,155.54,152.57,01/14/15
156.15,151.92,157.7399,151.54,01/15/15
152.43,158.43,158.44,152.03,01/16/15
159.19,157.6,159.73,154.69,01/20/15
156.61,157.38,158.27,155.8368,01/21/15
158.17,159.57,159.78,154.11,01/22/15
160.0,159.81,160.0,158.26,01/23/15
159.62,159.73,161.48,157.67,01/26/15
158.53,158.89,160.74,158.278,01/27/15
158.39,154.64,160.82,154.51,01/28/15
154.89,156.37,156.83,153.76,01/29/15
155.55,152.26,156.87,151.53,01/30/15
153.41,152.5,153.93,149.4,02/02/15
153.76,152.23,153.76,148.87,02/03/15
150.13,151.45,153.76,147.42,02/04/15
152.29,153.36,153.87,151.02,02/05/15
154.32,151.4,154.76,150.6,02/06/15
150.0,150.01,151.83,149.2,02/09/15
150.2,152.57,152.61,149.05,02/10/15
153.3,153.11,155.24,152.265,02/11/15
154.16,153.18,154.5,151.131,02/12/15
153.62,153.48,153.81,150.21,02/13/15
153.52,154.24,154.85,153.0,02/17/15
154.28,155.78,156.23,153.64,02/18/15
155.97,156.05,156.42,155.04,02/19/15
156.5,157.66,157.73,155.06,02/20/15
158.07,158.42,159.2,157.81,02/23/15
159.0,157.37,159.11,156.2599,02/24/15
157.76,158.08,158.75,155.77,02/25/15
158.48,158.97,159.4,156.0,02/26/15
159.23,157.72,159.24,157.2,02/27/15
159.02,159.63,159.9,157.63,03/02/15
159.4,158.56,159.4,157.51,03/03/15
158.05,159.19,159.74,156.8401,03/04/15
160.0,159.6,161.48,158.857,03/05/15
158.5,154.88,159.87,154.0,03/06/15
154.92,155.01,155.7065,152.785,03/09/15
152.87,153.58,155.625,152.29,03/10/15
154.12,152.7,154.27,152.42,03/11/15
154.26,154.25,154.77,152.95,03/12/15
153.28,154.26,154.75,152.58,03/13/15
157.73,163.03,163.2,156.77,03/16/15
162.25,163.07,163.76,161.739,03/17/15
162.97,166.54,167.5993,161.83,03/18/15
167.64,169.11,169.22,166.97,03/19/15
170.4,170.1,172.36,168.51,03/20/15
168.99,166.54,169.12,165.7001,03/23/15
166.06,166.01,168.23,165.4,03/24/15
166.0,160.62,166.79,160.58,03/25/15
159.06,160.55,162.65,157.36,03/26/15
161.26,162.59,163.445,161.0,03/27/15
164.51,164.305,165.795,163.06,03/30/15
163.32,159.85,164.09,159.72,03/31/15
159.39,157.1,159.39,154.64,04/01/15
157.88,155.88,158.18,155.05,04/02/15
154.8,155.28,157.27,154.6,04/06/15
155.62,157.28,159.47,155.28,04/07/15
157.68,160.33,160.94,157.66,04/08/15
161.23,161.49,161.78,159.0951,04/09/15
161.59,163.38,163.69,160.31,04/10/15
162.82,162.49,164.7,162.34,04/13/15
162.5,162.57,163.47,160.56,04/14/15
163.12,165.47,165.91,162.9,04/15/15
166.4,166.87,167.64,165.07,04/16/15
165.1,163.58,165.5,161.72,04/17/15
164.64,165.97,166.05,163.0601,04/20/15
167.09,168.46,168.88,167.09,04/21/15
172.87,169.1,173.6,167.01,04/22/15
167.94,169.17,169.55,166.58,04/23/15
168.15,167.91,169.53,166.06,04/24/15
168.49,162.38,168.72,161.55,04/27/15
162.15,162.49,165.3,160.6715,04/28/15
161.28,160.98,163.46,159.55,04/29/15
159.84,157.91,161.7,156.48,04/30/15
159.32,160.36,161.6899,158.7,05/01/15
161.5,162.11,163.82,161.47,05/04/15
161.31,159.44,162.19,159.25,05/05/15
159.91,158.95,160.3899,156.65,05/06/15
159.24,157.9,159.8,157.2,05/07/15
160.0,162.34,162.8476,159.13,05/08/15
162.31,161.05,162.9899,161.0,05/11/15
159.0,158.24,159.26,155.71,05/12/15
159.74,158.39,161.24,157.66,05/13/15
159.9,161.98,162.16,158.2,05/14/15
163.32,162.36,163.63,161.68,05/15/15
161.7,163.44,163.9004,161.28,05/18/15
163.86,163.56,164.12,162.46,05/19/15
163.97,163.98,165.59,162.4,05/20/15
163.52,163.84,164.71,162.82,05/21/15
163.58,163.58,164.57,163.03,05/22/15
160.84,159.01,162.46,158.0,05/26/15
159.96,160.44,161.0,159.32,05/27/15
159.6,157.35,159.6,155.88,05/28/15
156.79,156.26,157.97,155.58,05/29/15
157.45,157.03,158.0,155.5,06/01/15
156.88,156.44,157.97,154.8,06/02/15
157.51,157.13,157.86,156.4,06/03/15
156.51,158.09,158.47,156.39,06/04/15
158.21,157.25,159.4,156.05,06/05/15
157.3,156.47,158.47,155.63,06/08/15
156.55,154.8,157.11,153.91,06/09/15
153.49,155.55,155.86,150.85,06/10/15
157.87,157.96,158.965,156.49,06/11/15
157.23,156.12,157.74,155.03,06/12/15
155.02,156.1,156.37,153.57,06/15/15
155.81,156.23,156.81,155.0903,06/16/15
156.86,155.65,156.98,154.89,06/17/15
156.33,160.12,160.77,156.31,06/18/15
160.13,160.72,162.22,159.7701,06/19/15
161.62,162.22,163.24,161.45,06/22/15
163.26,161.69,163.5,161.0575,06/23/15
161.53,159.89,161.84,159.28,06/24/15
160.82,158.76,160.84,158.02,06/25/15
159.41,158.02,159.79,157.23,06/26/15
156.63,151.6,157.95,151.43,06/29/15
153.24,153.52,154.22,151.53,06/30/15
154.94,154.99,155.75,153.43,07/01/15
155.15,153.26,155.57,153.01,07/02/15
151.89,154.5,156.07,151.89,07/06/15
155.25,155.39,155.7,152.23,07/07/15
154.11,152.31,154.73,151.9278,07/08/15
152.44,151.31,153.9,151.04,07/09/15
153.99,154.1,154.53,152.49,07/10/15
155.28,155.76,156.56,154.92,07/13/15
156.34,159.32,160.31,155.76,07/14/15
160.46,160.45,162.53,159.5781,07/15/15
161.07,163.04,163.74,161.07,07/16/15
163.05,163.27,163.5,160.6,07/17/15
163.56,164.34,165.4,162.9,07/20/15
164.72,163.7,165.281,162.365,07/21/15
162.51,164.25,164.68,162.27,07/22/15
165.0,164.1,165.12,162.79,07/23/15
162.11,158.59,163.73,157.21,07/24/15
159.37,165.54,165.94,159.16,07/27/15
166.32,172.74,174.8,166.185,07/28/15
172.92,171.47,173.68,169.115,07/29/15
170.09,171.69,172.48,168.21,07/30/15
177.5,176.59,181.81,176.0,07/31/15
176.8,175.59,177.02,174.02,08/03/15
175.79,174.8,176.2195,173.6269,08/04/15
175.53,176.44,177.52,175.39,08/05/15
176.94,169.66,176.95,168.25,08/06/15
169.67,172.31,172.47,166.4,08/07/15
172.9,170.6,174.69,170.45,08/10/15
169.67,168.56,169.69,166.89,08/11/15
167.69,170.62,171.19,164.62,08/12/15
170.5,168.58,170.98,168.03,08/13/15
168.09,167.72,169.63,166.66,08/14/15
167.05,169.79,169.89,166.0,08/17/15
170.01,167.72,170.24,167.1,08/18/15
166.82,166.57,167.72,164.45,08/19/15
164.33,161.15,165.4985,161.03,08/20/15
158.97,155.19,163.92,155.19,08/21/15
145.33,147.64,154.4,140.0,08/24/15
152.5,145.19,153.848,145.0,08/25/15
151.23,153.98,154.11,147.125,08/26/15
154.88,155.72,157.1,151.36,08/27/15
156.38,155.89,158.0,153.71,08/28/15
155.33,151.78,156.35,151.32,08/31/15
149.11,147.46,150.99,146.975,09/01/15
149.07,152.29,152.35,147.305,09/02/15
152.68,149.23,154.08,148.93,09/03/15
147.2,147.02,154.08,145.77,09/04/15
151.58,154.56,154.66,151.0,09/08/15
156.12,151.08,156.74,150.63,09/09/15
150.84,153.14,154.32,150.56,09/10/15
152.05,153.21,153.445,150.93,09/11/15
153.89,151.0,153.89,150.05,09/14/15
152.02,152.14,152.79,150.25,09/15/15
151.97,151.18,152.875,148.48,09/16/15
151.7,153.91,156.34,151.0,09/17/15
151.66,150.59,153.35,149.03,09/18/15
151.97,147.09,152.8,146.36,09/21/15
145.0,145.93,146.78,142.82,09/22/15
146.08,145.72,147.03,144.03,09/23/15
144.72,143.51,145.63,141.36,09/24/15
146.06,138.53,146.75,136.76,09/25/15
137.99,132.24,138.19,130.09,09/28/15
132.0,133.82,138.0,131.43,09/29/15
136.66,138.32,139.25,135.86,09/30/15
138.55,140.23,140.62,136.62,10/01/15
137.82,142.47,142.54,135.64,10/02/15
144.0,143.8,144.905,142.22,10/05/15
142.12,141.22,143.37,138.06,10/06/15
141.92,148.05,148.31,140.24,10/07/15
147.68,149.9,150.985,145.03,10/08/15
149.25,149.59,150.75,148.005,10/09/15
152.95,153.03,155.12,151.63,10/12/15
151.54,147.58,152.98,147.44,10/13/15
148.38,147.81,150.92,147.13,10/14/15
147.45,152.54,152.77,146.97,10/15/15
153.19,152.61,154.12,150.58,10/16/15
152.61,154.47,156.14,152.46,10/19/15
154.19,150.45,155.0,149.5,10/20/15
152.37,150.09,152.7307,147.3,10/21/15
150.48,152.31,152.94,148.57,10/22/15
153.61,155.75,156.17,151.86,10/23/15
156.0,158.58,159.91,154.65,10/26/15
158.58,161.98,162.12,157.83,10/27/15
162.72,162.67,162.72,158.76,10/28/15
164.91,160.58,165.0,158.94,10/29/15
161.06,158.18,162.0,158.13,10/30/15
159.01,162.31,162.75,158.3657,11/02/15
160.97,162.46,163.15,160.52,11/03/15
162.85,161.88,163.98,160.8324,11/04/15
162.2,161.22,162.35,158.825,11/05/15
160.87,160.46,160.87,156.85,11/06/15
159.75,159.63,160.6,158.41,11/09/15
160.25,158.37,161.165,158.05,11/10/15
159.0,156.86,161.165,156.76,11/11/15
155.94,150.98,157.7,150.82,11/12/15
151.03,151.55,153.514,148.11,11/13/15
152.02,154.5,154.78,151.1,11/16/15
154.91,157.6,159.1299,153.6975,11/17/15
157.7,160.92,161.12,156.35,11/18/15
160.92,159.49,161.52,158.83,11/19/15
161.13,159.91,161.34,159.57,11/20/15
159.91,162.47,163.13,159.65,11/23/15
161.01,162.78,163.34,161.0,11/24/15
163.05,163.95,164.59,162.73,11/25/15
164.67,163.52,165.0,163.14,11/27/15
163.49,161.1,163.81,160.4,11/30/15
162.71,161.98,163.38,160.54,12/01/15
161.62,160.52,162.385,160.1,12/02/15
160.27,154.65,160.52,153.71,12/03/15
154.96,161.43,161.954,153.71,12/04/15
162.91,158.3,162.97,157.54,12/07/15
156.61,159.35,160.6699,156.04,12/08/15
158.35,157.89,160.6699,156.04,12/09/15
157.15,159.67,160.84,157.0,12/10/15
157.16,155.15,158.78,154.79,12/11/15
155.98,158.11,158.34,153.43,12/14/15
161.65,162.615,164.448,161.56,12/15/15
164.31,164.58,165.23,162.1011,12/16/15
164.58,161.43,164.99,159.82,12/17/15
160.5,158.8,161.65,158.62,12/18/15
159.88,159.28,160.38,157.38,12/21/15
160.5,162.3,163.37,160.0353,12/22/15
163.03,162.72,163.5,161.65,12/23/15
163.7,163.55,164.36,162.225,12/24/15
162.58,161.73,163.125,160.6,12/28/15
162.92,164.44,164.96,162.14,12/29/15
164.63,163.29,164.75,162.91,12/30/15
162.15,162.33,164.09,162.05,12/31/15
159.0,158.34,159.22,156.11,01/04/16
159.0,158.17,160.2,157.25,01/05/16
155.25,156.72,157.925,154.91,01/06/16
153.47,152.98,156.45,152.89,01/07/16
153.12,150.705,154.75,150.46,01/08/16
151.33,147.69,151.5899,144.21,01/11/16
148.43,150.79,151.5899,144.21,01/12/16
151.14,145.46,152.83,145.29,01/13/16
146.02,153.16,155.3,144.568,01/14/16
147.69,151.3,152.3,147.69,01/15/16
153.45,151.3,154.6,148.23,01/19/16
149.0,155.02,156.84,148.05,01/20/16
154.75,152.78,155.02,150.33,01/21/16
156.45,156.08,156.96,154.24,01/22/16
156.18,153.43,158.0,153.01,01/25/16
152.78,153.78,155.23,151.09,01/26/16
154.89,150.47,154.89,148.87,01/27/16
151.1,148.35,151.7116,145.42,01/28/16
149.4,152.73,152.8,145.25,01/29/16
151.31,152.75,153.7,149.38,02/01/16
150.2,150.11,151.49,148.49,02/02/16
150.5,150.69,151.13,147.0745,02/03/16
150.5,149.91,151.96,148.82,02/04/16
148.93,145.04,149.385,143.69,02/05/16
143.5,143.0,144.565,140.16,02/08/16
141.98,143.16,145.63,140.82,02/09/16
145.21,144.81,147.09,143.96,02/10/16
140.75,141.46,143.485,140.05,02/11/16
143.13,144.72,144.97,141.2,02/12/16
146.89,147.15,148.0,145.6858,02/16/16
148.21,151.07,151.52,147.4,02/17/16
150.79,149.3,152.36,149.08,02/18/16
148.98,150.12,151.76,148.26,02/19/16
147.12,148.56,149.77,146.94,02/22/16
148.15,147.26,149.72,146.86,02/23/16
145.5,147.11,147.27,143.9101,02/24/16
147.36,146.75,148.39,145.26,02/25/16
148.51,147.6,149.5,146.95,02/26/16
146.96,142.28,147.6738,142.22,02/29/16
144.17,148.39,148.45,142.28,03/01/16
148.0,147.49,148.6,146.21,03/02/16
147.22,145.84,147.29,145.32,03/03/16
147.03,145.98,147.3,144.54,03/04/16
144.98,147.31,147.87,144.76,03/07/16
146.89,144.63,147.0,144.32,03/08/16
144.0,140.9,144.01,139.91,03/09/16
142.06,141.03,143.46,139.0332,03/10/16
142.95,144.57,144.97,142.2,03/11/16
143.86,144.62,145.31,143.19,03/14/16
144.84,143.21,145.3,142.8,03/15/16
143.0,143.98,147.0,141.93,03/16/16
143.72,144.13,145.75,141.84,03/17/16
144.97,145.51,146.4,142.51,03/18/16
145.3,147.01,147.95,145.04,03/21/16
147.05,150.62,150.98,146.83,03/22/16
150.31,148.76,151.91,148.14,03/23/16
148.17,149.24,150.925,147.63,03/24/16
149.32,148.37,150.36,147.32,03/28/16
148.46,149.49,149.69,146.8,03/29/16
149.61,149.48,150.88,148.3,03/30/16
149.33,149.93,150.95,149.13,03/31/16
150.07,154.16,154.44,149.21,04/01/16
154.0,154.66,155.95,153.7,04/04/16
153.68,152.95,155.15,152.62,04/05/16
153.52,159.66,159.85,153.52,04/06/16
158.55,157.38,159.98,156.57,04/07/16
158.24,156.46,159.0,155.43,04/08/16
156.4,156.39,157.75,155.28,04/11/16
156.14,158.6,159.2,156.1142,04/12/16
159.02,160.06,160.88,158.23,04/13/16
159.81,160.12,160.77,159.37,04/14/16
160.15,160.13,160.39,158.46,04/15/16
160.14,161.7,162.1,159.43,04/18/16
162.0,162.1,162.5,160.35,04/19/16
163.0,162.76,163.83,161.805,04/20/16
162.44,164.35,164.54,162.03,04/21/16
164.52,163.19,164.7,162.18,04/22/16
163.15,163.46,163.745,162.2401,04/25/16
163.39,162.85,163.91,162.0242,04/26/16
162.72,161.0,162.9,160.5,04/27/16
159.6,160.56,163.68,159.36,04/28/16
159.345,158.3,161.92,156.381,04/29/16
158.62,158.99,159.4,157.21,05/02/16
158.37,156.35,158.4599,156.0,05/03/16
155.28,154.18,155.86,153.53,05/04/16
154.13,154.25,156.21,153.36,05/05/16
153.49,153.19,154.45,151.36,05/06/16
153.7,155.41,156.08,153.02,05/09/16
155.95,157.24,157.5,154.95,05/10/16
157.73,154.18,158.25,154.09,05/11/16
154.68,152.9,155.0,151.97,05/12/16
151.22,152.35,154.08,151.22,05/13/16
152.35,153.27,153.86,151.745,05/16/16
152.45,150.11,152.91,149.4401,05/17/16
149.24,150.83,151.43,149.21,05/18/16
149.45,148.67,150.225,147.12,05/19/16
148.92,150.18,151.71,148.87,05/20/16
150.04,149.3,150.7234,149.16,05/23/16
150.71,152.72,152.94,150.39,05/24/16
153.54,155.57,155.84,153.152,05/25/16
154.92,155.55,156.28,154.55,05/26/16
156.2,156.74,156.86,155.11,05/27/16
157.42,157.95,158.43,156.8554,05/31/16
157.61,158.05,158.84,156.67,06/01/16
158.23,159.87,159.87,157.96,06/02/16
159.86,159.19,159.985,156.82,06/03/16
