Open,Close,High,Low,Date
91.9,91.85,92.02,90.91,07/28/14
91.96,91.73,92.23,91.51,07/29/14
91.99,90.9,92.32,90.04,07/30/14
90.0,88.01,90.18,87.99,07/31/14
87.41,86.48,87.605,85.75,08/01/14
86.6,86.94,87.24,86.45,08/04/14
86.59,86.35,87.0199,85.89,08/05/14
86.04,86.39,86.785,86.0,08/06/14
86.8,86.01,87.14,85.89,08/07/14
86.22,87.45,87.51,85.92,08/08/14
87.92,86.95,88.16,86.94,08/11/14
86.96,87.06,87.09,86.7,08/12/14
87.51,87.4,88.0599,87.1701,08/13/14
87.52,87.27,87.8042,87.1,08/14/14
87.78,86.605,87.88,86.23,08/15/14
87.3,87.15,87.455,86.98,08/18/14
87.56,88.11,88.28,87.48,08/19/14
88.1,88.49,88.65,87.93,08/20/14
88.66,89.14,89.325,88.59,08/21/14
88.89,88.88,89.5,88.83,08/22/14
89.47,89.6,90.22,89.33,08/25/14
89.56,89.14,89.93,89.08,08/26/14
89.3,89.23,89.5899,88.99,08/27/14
88.82,89.03,89.33,88.62,08/28/14
89.33,89.54,89.7,89.09,08/29/14
90.05,89.71,90.12,89.28,09/02/14
90.14,90.15,90.49,90.0,09/03/14
90.11,89.66,90.45,89.42,09/04/14
89.55,89.6,89.74,89.03,09/05/14
89.4,88.9,89.83,88.62,09/08/14
88.85,87.89,88.86,87.75,09/09/14
88.08,88.39,88.66,88.03,09/10/14
88.13,88.41,88.6,87.89,09/11/14
88.2,87.65,88.3,87.45,09/12/14
88.33,87.395,88.33,87.11,09/15/14
87.22,88.37,88.7,86.88,09/16/14
88.57,89.09,89.56,88.33,09/17/14
89.5,90.09,90.59,89.31,09/18/14
90.66,89.7,90.66,89.42,09/19/14
89.62,88.99,90.09,88.9,09/22/14
88.61,88.32,89.256,88.24,09/23/14
88.48,88.54,88.65,87.87,09/24/14
88.53,86.79,88.82,86.78,09/25/14
86.79,88.36,88.6699,86.79,09/26/14
87.63,87.95,88.025,87.14,09/29/14
88.06,87.53,88.31,87.36,09/30/14
86.92,85.81,87.31,85.52,10/01/14
85.76,85.87,86.39,85.06,10/02/14
86.52,87.19,87.305,86.22,10/03/14
87.24,87.03,87.967,86.76,10/06/14
86.41,85.36,86.41,85.34,10/07/14
85.25,87.37,87.47,85.0039,10/08/14
87.29,85.92,87.98,85.82,10/09/14
85.85,85.0,86.7,84.99,10/10/14
84.74,82.76,85.24,82.61,10/13/14
83.25,82.73,83.39,82.51,10/14/14
81.3,80.98,81.79,78.4101,10/15/14
80.29,80.2,81.46,78.81,10/16/14
80.95,82.58,84.51,80.92,10/17/14
