Open,Close,High,Low,Date
123.46,123.04,124.56,122.17,07/28/14
123.46,122.31,123.63,122.21,07/29/14
123.09,122.29,123.8,121.76,07/30/14
121.52,120.46,122.0499,120.41,07/31/14
120.6,120.39,121.6999,119.64,08/01/14
121.14,119.94,121.19,119.77,08/04/14
119.78,121.2,121.9782,119.66,08/05/14
119.35,118.33,119.36,117.8707,08/06/14
119.03,119.83,120.22,118.87,08/07/14
119.8,120.62,120.65,119.28,08/08/14
121.17,120.81,121.76,120.76,08/11/14
120.57,120.46,120.94,120.01,08/12/14
120.67,122.0,122.23,120.67,08/13/14
122.2,124.12,124.69,122.16,08/14/14
124.47,123.17,124.48,122.16,08/15/14
123.68,124.97,125.24,123.57,08/18/14
125.22,125.59,125.785,125.11,08/19/14
125.89,127.38,127.71,125.58,08/20/14
127.52,127.51,127.78,126.74,08/21/14
127.45,127.46,127.8,126.97,08/22/14
128.09,128.23,128.48,127.775,08/25/14
128.73,128.61,129.13,128.31,08/26/14
128.74,128.17,128.99,127.95,08/27/14
127.34,127.11,127.75,126.72,08/28/14
126.82,126.79,127.35,126.05,08/29/14
125.62,125.48,126.26,124.57,09/02/14
125.54,125.93,126.24,125.2,09/03/14
126.64,125.47,126.75,125.26,09/04/14
125.74,124.69,125.74,124.1,09/05/14
125.75,128.0,128.25,125.75,09/08/14
127.81,128.21,128.67,127.62,09/09/14
128.46,128.25,128.47,127.48,09/10/14
127.8,127.61,127.99,127.2,09/11/14
127.09,126.94,127.56,126.61,09/12/14
126.75,126.32,126.93,125.695,09/15/14
126.2,127.32,127.7,125.72,09/16/14
128.105,127.8,128.38,127.2,09/17/14
128.19,128.58,128.9,128.0,09/18/14
129.12,129.33,129.68,128.92,09/19/14
129.25,128.62,129.87,128.46,09/22/14
128.13,127.42,128.35,127.03,09/23/14
127.42,128.69,128.79,127.23,09/24/14
128.15,127.2,128.79,127.01,09/25/14
127.17,128.68,129.0,126.96,09/26/14
127.21,128.75,129.53,127.0,09/29/14
128.62,127.42,129.39,127.31,09/30/14
127.36,124.63,127.37,124.31,10/01/14
124.4,124.18,125.55,123.8381,10/02/14
124.66,126.35,126.8699,124.66,10/03/14
127.05,126.29,127.1899,125.3856,10/06/14
125.52,123.31,125.52,123.31,10/07/14
123.58,124.93,125.09,122.15,10/08/14
124.72,122.81,124.75,122.345,10/09/14
122.63,121.5,123.36,121.5,10/10/14
122.05,120.44,123.19,120.255,10/13/14
121.5,122.31,123.367,120.72,10/14/14
121.06,120.2,121.12,116.32,10/15/14
118.435,120.28,121.3,118.395,10/16/14
122.2,123.25,123.87,121.78,10/17/14
123.1,124.35,124.69,123.02,10/20/14
125.11,127.12,127.24,124.93,10/21/14
128.0,121.46,128.0,121.34,10/22/14
121.27,122.02,122.88,121.06,10/23/14
122.25,122.27,122.8399,121.26,10/24/14
122.13,122.12,122.2274,121.26,10/27/14
122.5,123.61,123.79,121.96,10/28/14
124.48,123.1,124.48,122.555,10/29/14
122.67,123.85,124.123,122.02,10/30/14
125.08,124.91,125.89,124.73,10/31/14
124.83,126.02,126.2501,124.83,11/03/14
125.91,125.79,126.71,125.2601,11/04/14
125.98,124.22,126.24,124.2,11/05/14
124.43,124.53,124.8,123.37,11/06/14
124.93,124.45,124.94,124.17,11/07/14
124.63,124.67,124.99,123.8,11/10/14
