Open,Close,High,Low,Date
222.17,220.5,223.215,219.9,04/12/23
216.18,220.65,222.9,216.18,04/11/23
210.68,215.63,216.07,209.32,04/10/23
212.77,209.17,212.79,208.94,04/06/23
216.15,213.55,217.8791,211.56,04/05/23
228.92,217.45,229.27,216.28,04/04/23
230.45,229.86,233.785,228.86,04/03/23
226.5,228.73,229.055,224.9,03/31/23
225.35,224.54,226.344,223.99,03/30/23
222.63,223.05,223.22,221.5009,03/29/23
217.81,220.2,220.54,217.71,03/28/23
214.44,218.15,218.96,213.925,03/27/23
217.36,216.93,217.43,213.16,03/24/23
221.01,219.41,225.3,217.6007,03/23/23
225.2,219.94,226.59,219.86,03/22/23
224.39,224.93,226.0,223.66,03/21/23
217.93,220.41,221.87,217.46,03/20/23
217.4,215.03,217.4,211.43,03/17/23
215.43,218.78,219.74,213.33,03/16/23
219.39,217.36,221.18,212.57,03/15/23
228.48,225.66,229.59,222.2,03/14/23
222.5,224.64,228.33,221.55,03/13/23
235.88,226.91,238.13,225.8,03/10/23
248.77,240.97,250.12,240.605,03/09/23
247.775,248.75,251.11,246.76,03/08/23
253.56,246.22,254.75,245.95,03/07/23
255.285,253.91,255.65,251.63,03/06/23
252.39,255.25,255.39,249.91,03/03/23
246.27,252.21,252.49,246.18,03/02/23
242.09,248.68,249.7,241.59,03/01/23
240.08,239.58,241.0,238.71,02/28/23
239.64,240.03,241.25,238.78,02/27/23
234.83,236.19,236.69,233.02,02/24/23
240.5,238.02,240.82,235.6,02/23/23
241.1,237.85,242.23,236.43,02/22/23
244.29,240.71,248.0,239.75,02/21/23
247.86,247.72,250.86,245.63,02/17/23
246.84,246.52,248.53,244.57,02/16/23
244.075,248.69,248.77,243.225,02/15/23
247.05,244.44,247.05,241.65,02/14/23
243.5,248.16,248.38,242.66,02/13/23
246.69,247.65,248.63,244.64,02/10/23
250.87,246.38,251.97,245.48,02/09/23
248.69,248.94,251.56,247.08,02/08/23
250.705,249.74,251.95,245.445,02/07/23
248.37,251.46,252.115,248.35,02/06/23
243.73,247.9,250.94,243.1268,02/03/23
249.33,244.7,249.53,241.8,02/02/23
251.73,249.65,252.535,245.31,02/01/23
257.11,252.29,257.39,246.41,01/31/23
263.34,261.61,264.955,261.31,01/30/23
262.31,264.53,266.04,262.12,01/27/23
259.83,262.07,262.22,256.8913,01/26/23
254.55,258.44,259.185,254.32,01/25/23
251.495,257.64,259.04,249.75,01/24/23
250.89,252.61,253.66,249.27,01/23/23
246.33,249.69,249.91,244.81,01/20/23
250.5,245.71,251.24,244.31,01/19/23
257.275,252.77,258.89,252.075,01/18/23
258.85,256.21,260.48,255.935,01/17/23
256.5,258.53,258.575,255.33,01/13/23
251.99,255.08,257.3799,251.01,01/12/23
251.07,250.64,251.85,247.125,01/11/23
247.54,250.57,250.83,246.53,01/10/23
249.03,246.61,250.96,246.0,01/09/23
243.25,248.88,249.91,242.33,01/06/23
240.18,240.28,241.535,237.56,01/05/23
239.52,241.36,242.12,238.67,01/04/23
239.77,238.93,240.49,236.25,01/03/23
239.5,239.53,240.16,237.71,12/30/22
241.375,240.22,241.415,238.27,12/29/22
243.355,239.39,243.82,238.275,12/28/22
240.39,243.14,245.02,239.73,12/27/22
237.06,239.97,240.5183,236.5,12/23/22
240.31,237.82,240.8,233.04,12/22/22
238.0,241.9,241.91,237.66,12/21/22
232.84,235.1,235.72,231.86,12/20/22
233.97,232.36,236.93,230.93,12/19/22
228.77,232.69,233.215,228.05,12/16/22
232.3,230.64,232.93,227.72,12/15/22
235.93,234.47,238.22,233.12,12/14/22
237.72,235.42,237.91,232.14,12/13/22
227.7,233.16,233.4,227.02,12/12/22
231.63,227.31,232.68,227.19,12/09/22
230.95,230.78,232.5,229.62,12/08/22
226.48,228.94,229.84,225.78,12/07/22
232.11,228.16,233.01,225.58,12/06/22
235.0,232.7,235.87,232.305,12/05/22
233.51,236.105,238.44,233.51,12/02/22
236.67,235.72,236.96,232.0,12/01/22
