Open,Close,High,Low,Date
188.96,191.29,192.09,188.905,03/27/23
186.82,190.03,190.3,186.552,03/24/23
187.67,187.46,190.54,185.58,03/23/23
189.88,186.5,191.43,186.41,03/22/23
185.78,188.79,189.28,184.89,03/21/23
183.93,185.29,185.5,182.66,03/20/23
186.15,184.83,187.625,184.175,03/17/23
183.32,187.22,187.63,182.9801,03/16/23
179.16,182.98,183.835,178.63,03/15/23
179.6,182.76,185.31,179.3401,03/14/23
170.74,175.52,177.08,170.29,03/13/23
178.21,173.3,179.36,171.71,03/10/23
183.01,178.75,183.8441,178.6,03/09/23
182.56,182.95,184.9,181.8,03/08/23
184.87,183.33,186.16,183.06,03/07/23
185.05,183.8,189.0,183.625,03/06/23
187.56,186.4,189.77,184.29,03/03/23
193.91,186.61,193.91,185.2,03/02/23
163.33,167.34,167.96,162.98,03/01/23
162.53,163.53,164.435,161.54,02/28/23
163.68,163.14,164.77,162.22,02/27/23
160.64,162.25,162.38,159.655,02/24/23
165.45,164.1,165.47,161.57,02/23/23
163.11,163.4,165.0,162.11,02/22/23
163.31,161.61,164.51,161.48,02/21/23
165.39,165.18,167.11,162.75,02/17/23
168.85,168.19,170.33,167.9573,02/16/23
168.58,171.11,171.605,168.24,02/15/23
168.21,169.97,172.79,167.885,02/14/23
167.91,171.12,171.155,166.975,02/13/23
168.07,167.02,169.74,165.35,02/10/23
173.3,173.75,175.3699,172.02,02/09/23
169.99,169.65,172.45,169.285,02/08/23
167.93,171.21,171.73,166.61,02/07/23
168.255,169.04,171.17,167.3501,02/06/23
170.18,171.02,175.08,169.86,02/03/23
175.71,174.61,178.84,172.96,02/02/23
167.6,171.89,173.07,167.0,02/01/23
164.36,168.0,168.0,164.28,01/31/23
163.8,164.74,166.42,163.4,01/30/23
165.19,164.51,167.24,163.61,01/27/23
158.13,165.04,165.17,158.1,01/26/23
151.25,156.15,156.4,149.82,01/25/23
155.7,154.86,160.21,154.75,01/24/23
157.35,155.92,157.87,153.2386,01/23/23
144.31,151.25,151.525,144.3,01/20/23
143.35,146.45,146.66,143.25,01/19/23
149.25,145.46,149.52,145.29,01/18/23
149.75,148.5,150.49,146.13,01/17/23
146.235,149.48,149.96,146.0942,01/13/23
147.54,149.62,149.82,143.94,01/12/23
145.45,144.85,147.035,143.56,01/11/23
145.865,147.42,149.28,145.687,01/10/23
142.59,147.09,149.2,142.59,01/09/23
137.77,140.5,141.64,135.61,01/06/23
137.79,136.32,138.585,134.24,01/05/23
141.2,139.6,141.85,137.65,01/04/23
135.14,134.8,136.95,133.0302,01/03/23
130.61,132.605,132.64,130.36,12/30/22
129.73,132.55,132.95,129.5,12/29/22
129.51,128.43,131.14,128.17,12/28/22
128.685,130.72,131.75,127.69,12/27/22
128.77,129.45,129.86,127.59,12/23/22
128.55,129.29,129.54,126.34,12/22/22
127.95,130.3,132.1562,126.6,12/21/22
127.79,128.545,129.9865,127.19,12/20/22
127.77,129.0,129.56,127.21,12/19/22
128.83,128.2,129.88,126.8904,12/16/22
131.84,130.49,134.115,129.69,12/15/22
135.21,134.74,137.27,133.23,12/14/22
137.47,135.65,139.88,134.04,12/13/22
131.12,133.09,134.0889,130.95,12/12/22
129.77,131.13,133.36,128.39,12/09/22
128.37,130.27,131.46,127.03,12/08/22
132.41,130.42,133.75,130.02,12/07/22
132.93,133.29,134.54,130.91,12/06/22
142.87,133.86,144.37,132.89,12/05/22
144.29,144.59,145.21,142.78,12/02/22
