Open,Close,High,Low,Date
25.73,25.92,25.9969,25.57,07/28/14
25.88,25.71,26.01,25.69,07/29/14
25.83,25.63,25.84,25.47,07/30/14
25.48,25.23,25.5,25.17,07/31/14
25.11,24.99,25.21,24.8,08/01/14
24.94,25.16,25.22,24.87,08/04/14
25.08,24.97,25.12,24.87,08/05/14
24.89,24.94,25.21,24.85,08/06/14
25.01,24.86,25.1,24.69,08/07/14
24.84,25.03,25.06,24.74,08/08/14
25.09,25.23,25.37,25.02,08/11/14
25.21,25.15,25.27,25.0,08/12/14
25.2,25.2,25.27,24.93,08/13/14
24.93,24.54,24.9399,24.32,08/14/14
24.66,24.43,24.66,24.27,08/15/14
24.49,24.63,24.66,24.43,08/18/14
24.63,24.64,24.69,24.6,08/19/14
24.55,24.7,24.75,24.52,08/20/14
24.75,24.89,24.91,24.72,08/21/14
24.95,24.65,24.97,24.64,08/22/14
24.7,24.69,24.84,24.69,08/25/14
24.74,24.81,24.93,24.67,08/26/14
24.79,24.8,24.86,24.71,08/27/14
24.73,24.85,24.9,24.64,08/28/14
24.98,24.99,24.99,24.76,08/29/14
24.94,24.88,24.995,24.75,09/02/14
25.0,25.04,25.13,24.9225,09/03/14
25.14,24.91,25.14,24.83,09/04/14
24.97,25.0,25.07,24.86,09/05/14
24.93,24.95,25.0899,24.81,09/08/14
24.86,24.86,24.97,24.76,09/09/14
24.88,24.93,25.0,24.84,09/10/14
24.92,25.18,25.2,24.85,09/11/14
25.16,25.16,25.26,25.07,09/12/14
24.93,25.06,25.09,24.87,09/15/14
24.99,25.22,25.4129,24.98,09/16/14
25.15,25.205,25.31,25.07,09/17/14
25.2,25.22,25.27,25.15,09/18/14
25.26,25.2,25.3,25.01,09/19/14
25.13,24.97,25.19,24.86,09/22/14
24.98,24.7,25.03,24.67,09/23/14
24.73,24.98,25.04,24.63,09/24/14
24.86,24.54,25.04,24.5,09/25/14
24.47,25.0,25.09,24.46,09/26/14
24.81,25.12,25.2,24.76,09/29/14
24.88,25.17,25.25,24.85,09/30/14
25.19,25.03,25.25,24.94,10/01/14
25.08,25.06,25.11,24.75,10/02/14
25.26,25.31,25.37,25.04,10/03/14
25.36,25.01,25.4,24.96,10/06/14
25.01,24.635,25.0943,24.59,10/07/14
24.57,24.66,24.68,24.18,10/08/14
24.59,24.19,24.635,24.18,10/09/14
23.96,23.34,24.01,23.34,10/10/14
23.24,22.93,23.45,22.93,10/13/14
23.06,23.055,23.35,22.96,10/14/14
22.79,22.96,23.15,22.49,10/15/14
22.65,22.82,23.0784,22.56,10/16/14
22.98,23.25,23.33,22.92,10/17/14
22.95,22.93,23.08,22.69,10/20/14
23.21,23.51,23.6,22.96,10/21/14
23.67,23.26,23.68,23.24,10/22/14
23.61,23.565,23.76,23.4201,10/23/14
23.61,23.78,23.8,23.52,10/24/14
23.69,23.76,23.81,23.6,10/27/14
23.91,24.065,24.07,23.82,10/28/14
24.08,24.1,24.3,23.92,10/29/14
24.01,24.08,24.15,23.88,10/30/14
24.64,24.47,24.64,24.18,10/31/14
24.53,24.58,24.59,24.45,11/03/14
24.6,24.88,24.91,24.58,11/04/14
25.0,25.15,25.17,24.84,11/05/14
25.2,25.26,25.26,25.02,11/06/14
25.29,25.33,25.4,25.161,11/07/14
25.05,25.15,25.23,24.88,11/10/14
25.2,25.15,25.205,25.02,11/11/14
24.91,25.11,25.19,24.88,11/12/14
24.91,25.68,25.89,24.88,11/13/14
25.74,26.32,26.335,25.7,11/14/14
26.05,26.465,26.55,26.0,11/17/14
26.41,26.595,26.74,26.4,11/18/14
26.53,26.59,26.62,26.3,11/19/14
26.49,26.81,26.84,26.35,11/20/14
27.0,26.88,27.05,26.67,11/21/14
26.99,27.03,27.12,26.9,11/24/14
27.03,27.28,27.3,27.03,11/25/14
27.3,27.425,27.46,27.03,11/26/14
27.5,27.64,27.78,27.36,11/28/14
27.47,27.59,27.61,27.33,12/01/14
27.68,27.82,27.96,27.61,12/02/14
27.77,27.95,27.985,27.51,12/03/14
27.88,27.77,27.985,27.58,12/04/14
27.84,27.5,27.85,27.4,12/05/14
27.5,27.23,27.53,27.15,12/08/14
26.96,27.42,27.528,26.9,12/09/14
27.34,26.87,27.355,26.79,12/10/14
26.97,26.99,27.36,26.94,12/11/14
26.77,26.855,27.36,26.72,12/12/14
26.9,26.68,27.17,26.48,12/15/14
26.5,26.585,27.17,26.15,12/16/14
26.75,26.81,26.9,26.47,12/17/14
27.13,27.65,27.66,27.05,12/18/14
27.62,27.77,27.85,27.55,12/19/14
27.8,28.22,28.29,27.75,12/22/14
28.25,28.25,28.5,28.2,12/23/14
28.29,28.3,28.59,28.29,12/24/14
28.43,28.35,28.44,28.283,12/26/14
28.35,28.46,28.57,28.32,12/29/14
28.43,28.36,28.48,28.31,12/30/14
28.28,27.815,28.41,27.81,12/31/14
27.86,27.61,28.12,27.38,01/02/15
27.23,27.06,27.45,27.0,01/05/15
27.12,27.05,27.68,27.04,01/06/15
27.13,27.3,27.4,26.98,01/07/15
27.5,27.51,28.09,27.47,01/08/15
27.67,27.79,28.07,27.45,01/09/15
28.0,28.05,28.2,27.8234,01/12/15
28.14,28.095,28.695,27.9,01/13/15
27.84,27.92,28.05,27.64,01/14/15
28.07,27.41,28.195,27.35,01/15/15
27.36,27.68,27.77,27.21,01/16/15
27.86,28.07,28.265,27.655,01/20/15
28.07,27.84,28.185,27.7,01/21/15
27.71,28.5,28.51,27.225,01/22/15
28.38,28.21,28.5,28.14,01/23/15
28.1,27.97,28.22,27.7,01/26/15
27.57,26.9,27.59,26.66,01/27/15
27.31,26.805,27.6,26.8,01/28/15
26.75,27.22,27.31,26.64,01/29/15
26.88,26.365,27.11,26.32,01/30/15
26.37,26.83,26.87,25.92,02/02/15
26.9,27.12,27.12,26.69,02/03/15
27.01,26.69,27.22,26.6101,02/04/15
26.82,27.26,27.3,26.58,02/05/15
27.37,27.24,27.66,27.14,02/06/15
27.21,27.12,27.405,27.06,02/09/15
27.18,27.49,27.54,27.15,02/10/15
27.6,26.93,27.65,26.9,02/11/15
29.0,29.46,29.5799,28.84,02/12/15
29.32,29.43,29.5,29.11,02/13/15
29.26,29.31,29.35,29.03,02/17/15
29.19,29.49,29.55,29.12,02/18/15
29.32,29.31,29.39,29.13,02/19/15
29.36,29.61,29.66,29.155,02/20/15
29.61,29.63,29.65,29.42,02/23/15
29.55,29.63,29.71,29.43,02/24/15
29.46,29.49,29.57,29.32,02/25/15
29.55,29.91,29.99,29.53,02/26/15
29.85,29.51,29.91,29.38,02/27/15
29.39,30.19,30.31,29.34,03/02/15
30.1,29.54,30.11,29.47,03/03/15
29.36,29.33,29.52,29.11,03/04/15
29.47,29.3,29.49,29.12,03/05/15
29.15,28.925,29.27,28.8,03/06/15
28.9,29.36,29.45,28.76,03/09/15
29.16,28.66,29.16,28.66,03/10/15
28.69,28.26,28.76,28.21,03/11/15
28.22,28.24,28.54,28.08,03/12/15
28.04,27.94,28.26,27.565,03/13/15
28.14,28.3,28.38,28.04,03/16/15
28.28,28.15,28.28,27.95,03/17/15
27.94,28.15,28.34,27.72,03/18/15
28.21,28.26,28.54,28.03,03/19/15
28.42,28.44,28.62,28.32,03/20/15
28.44,28.405,28.69,28.37,03/23/15
28.35,28.0,28.57,27.99,03/24/15
