Open,Close,High,Low,Date
133.56,133.25,133.7999,132.89,07/28/14
133.11,132.47,133.71,132.42,07/29/14
132.97,132.53,133.69,131.5001,07/30/14
131.7,129.32,131.97,129.1,07/31/14
127.76,127.93,128.95,126.36,08/01/14
128.06,128.19,128.36,126.04,08/04/14
127.81,124.97,127.81,124.58,08/05/14
124.9,125.67,126.97,124.8,08/06/14
125.85,125.65,126.73,124.83,08/07/14
125.98,127.85,127.96,125.912,08/08/14
128.16,127.69,128.67,127.54,08/11/14
127.05,127.07,127.13,126.28,08/12/14
127.5,127.59,128.24,126.87,08/13/14
127.68,126.96,127.7,126.53,08/14/14
126.19,126.13,126.786,125.68,08/15/14
126.33,126.28,126.59,125.63,08/18/14
126.71,127.62,127.7,126.55,08/19/14
127.3,127.46,127.6,126.78,08/20/14
127.56,127.94,128.18,127.18,08/21/14
127.33,127.11,127.5,126.47,08/22/14
127.65,127.86,128.06,127.38,08/25/14
127.95,128.26,128.71,127.94,08/26/14
128.39,128.63,128.82,128.2,08/27/14
128.35,128.79,128.89,128.25,08/28/14
128.59,129.45,129.52,128.5,08/29/14
129.18,127.54,129.249,127.06,09/02/14
128.44,127.87,128.875,127.67,09/03/14
128.17,126.8,128.46,126.2,09/04/14
127.02,127.35,127.44,126.16,09/05/14
126.71,126.18,126.74,125.6941,09/08/14
124.43,125.22,125.79,124.26,09/09/14
124.47,124.27,124.7399,123.01,09/10/14
123.27,123.82,124.06,122.41,09/11/14
123.47,122.67,123.65,122.21,09/12/14
122.47,124.25,124.78,122.06,09/15/14
123.61,124.97,125.68,123.61,09/16/14
125.06,124.73,125.49,124.45,09/17/14
124.96,124.15,125.04,123.85,09/18/14
124.735,124.84,125.7,124.645,09/19/14
124.33,123.52,124.92,123.47,09/22/14
123.17,123.09,123.9799,122.86,09/23/14
122.82,122.4,123.03,120.85,09/24/14
122.3,120.73,123.0274,120.7,09/25/14
120.42,121.46,122.04,120.029,09/26/14
120.41,120.55,120.74,119.14,09/29/14
120.32,119.32,120.48,118.67,09/30/14
119.02,117.65,119.34,117.38,10/01/14
117.39,117.08,117.8999,116.13,10/02/14
117.93,117.65,117.99,116.41,10/03/14
117.83,118.02,119.0501,117.28,10/06/14
117.47,116.0,118.43,116.0,10/07/14
115.83,117.88,118.2455,115.15,10/08/14
116.99,114.56,117.08,114.2401,10/09/14
114.8,113.87,115.73,112.88,10/10/14
113.56,112.03,114.58,111.8534,10/13/14
112.71,109.75,113.05,109.1,10/14/14
108.66,109.28,109.5,106.65,10/15/14
107.63,111.09,111.3196,107.2,10/16/14
111.8,111.73,112.74,110.73,10/17/14
111.54,111.48,112.2754,110.97,10/20/14
112.66,115.04,115.17,112.66,10/21/14
115.2,114.01,116.23,113.91,10/22/14
116.0,116.13,117.32,114.95,10/23/14
116.23,115.87,116.26,114.53,10/24/14
114.38,115.03,115.37,113.46,10/27/14
116.05,117.11,117.26,115.17,10/28/14
118.14,117.11,118.93,116.1021,10/29/14
116.2,117.21,117.25,115.57,10/30/14
118.36,119.95,120.16,116.39,10/31/14
119.76,116.75,119.96,116.46,11/03/14
115.96,115.31,116.02,114.7999,11/04/14
117.25,117.0,117.29,114.87,11/05/14
116.53,118.5,118.545,116.37,11/06/14
118.75,118.78,119.72,118.36,11/07/14
119.6,117.9,119.66,117.321,11/10/14
117.95,118.45,118.6684,117.31,11/11/14
117.86,117.63,118.71,117.38,11/12/14
117.17,116.44,117.47,115.64,11/13/14
115.74,116.34,116.35,115.42,11/14/14
115.97,115.76,116.15,115.27,11/17/14
115.51,115.52,116.63,115.2593,11/18/14
115.89,116.46,116.68,115.0899,11/19/14
116.28,117.26,117.47,116.18,11/20/14
118.78,118.62,118.91,117.73,11/21/14
118.1,117.58,118.58,117.15,11/24/14
117.78,116.17,117.8,115.6347,11/25/14
116.43,115.13,117.8,115.02,11/26/14
111.25,108.91,111.69,108.44,11/28/14
109.36,111.7,112.49,108.68,12/01/14
111.3,114.0,114.5522,110.9,12/02/14
114.75,113.68,114.82,113.15,12/03/14
112.84,112.27,113.08,111.01,12/04/14
111.77,110.88,112.28,110.71,12/05/14
109.91,106.82,109.94,106.41,12/08/14
106.24,107.01,109.94,106.19,12/09/14
106.22,104.84,106.25,103.0774,12/10/14
105.19,104.87,107.27,104.3,12/11/14
103.65,102.47,107.25,102.37,12/12/14
103.12,100.8,103.91,100.42,12/15/14
100.53,101.69,104.4699,100.15,12/16/14
102.17,106.01,106.59,102.01,12/17/14
108.53,109.01,109.03,105.49,12/18/14
109.17,112.825,112.95,108.5,12/19/14
112.5,112.05,112.989,111.07,12/22/14
112.76,113.98,114.4498,112.32,12/23/14
113.43,113.53,114.1382,112.07,12/24/14
114.1,113.24,114.3499,112.8151,12/26/14
113.36,113.36,114.38,112.78,12/29/14
112.93,113.12,113.65,112.15,12/30/14
111.7,112.25,113.3,111.55,12/31/14
111.71,112.58,112.99,110.85,01/02/15
110.94,108.14,111.1,107.44,01/05/15
107.87,108.03,109.02,106.48,01/06/15
109.25,107.96,109.725,107.51,01/07/15
109.19,110.33,110.4337,108.61,01/08/15
110.11,108.29,110.22,107.672,01/09/15
107.46,106.05,107.47,105.5699,01/12/15
106.36,104.22,107.66,103.19,01/13/15
103.2,103.89,104.41,101.83,01/14/15
104.53,102.67,104.94,102.55,01/15/15
102.86,105.1,105.13,102.78,01/16/15
104.95,106.45,106.57,103.81,01/20/15
106.87,108.16,108.27,106.39,01/21/15
108.61,108.95,109.11,107.0,01/22/15
108.28,106.79,108.75,106.73,01/23/15
107.19,108.85,109.35,106.33,01/26/15
108.09,108.3,108.8,107.63,01/27/15
108.16,103.71,108.17,103.42,01/28/15
104.25,103.04,104.63,101.67,01/29/15
101.6,102.33,103.28,98.88,01/30/15
103.94,106.05,106.13,102.97,02/02/15
107.81,109.53,110.11,107.67,02/03/15
108.5,108.32,110.11,107.4,02/04/15
109.41,109.36,110.11,108.57,02/05/15
110.0,109.66,110.46,109.11,02/06/15
109.85,110.44,111.5,109.65,02/09/15
110.55,110.19,110.62,108.0852,02/10/15
108.98,109.96,110.18,108.29,02/11/15
110.3,110.85,111.05,109.82,02/12/15
111.15,112.75,112.84,111.1,02/13/15
112.4,112.41,112.93,111.53,02/17/15
111.25,110.46,111.65,110.37,02/18/15
108.0,108.4,109.58,107.24,02/19/15
108.31,108.58,108.87,107.5,02/20/15
107.77,107.82,108.5,107.35,02/23/15
107.89,107.95,108.24,107.355,02/24/15
108.08,108.58,108.78,107.7795,02/25/15
107.9,107.09,107.92,106.6,02/26/15
107.65,106.68,107.73,106.57,02/27/15
106.31,105.87,106.34,104.93,03/02/15
105.88,105.17,106.21,104.8097,03/03/15
105.42,105.16,105.49,104.4401,03/04/15
105.15,104.75,105.31,104.35,03/05/15
104.2,103.53,104.52,103.165,03/06/15
103.62,103.94,105.625,103.5,03/09/15
103.8,102.88,104.5,102.3301,03/10/15
103.48,103.55,103.89,102.47,03/11/15
104.26,102.39,104.51,102.3,03/12/15
101.73,101.63,101.8,100.66,03/13/15
