Open,Close,High,Low,Date
86.44,87.15,87.215,85.81,07/28/14
87.15,86.2,87.22,86.16,07/29/14
86.62,87.21,87.26,86.095,07/30/14
86.59,85.87,86.95,85.69,07/31/14
85.3,85.37,86.01,85.21,08/01/14
86.17,87.24,87.5184,86.015,08/04/14
87.16,86.76,87.2,86.02,08/05/14
86.17,86.58,87.62,86.17,08/06/14
86.94,85.52,86.98,85.24,08/07/14
85.69,86.85,86.89,85.632,08/08/14
87.08,87.48,87.98,87.05,08/11/14
87.11,87.22,87.62,86.785,08/12/14
87.88,87.6,87.9499,87.42,08/13/14
88.03,88.62,88.91,87.81,08/14/14
89.02,89.29,89.4655,88.7,08/15/14
89.66,89.97,90.365,89.65,08/18/14
90.06,90.1,90.29,89.67,08/19/14
89.72,89.85,90.05,89.67,08/20/14
90.04,90.39,90.53,89.9751,08/21/14
90.1,90.48,90.9,90.1,08/22/14
90.88,90.4,91.14,90.3,08/25/14
90.61,90.04,90.67,89.94,08/26/14
89.98,90.35,90.4,89.977,08/27/14
90.05,90.24,90.4801,89.96,08/28/14
90.315,89.9,90.36,89.33,08/29/14
90.02,90.8,90.93,90.02,09/02/14
91.07,90.94,91.16,90.6701,09/03/14
90.87,90.14,91.2,90.01,09/04/14
90.13,90.91,90.93,90.1,09/05/14
90.79,90.53,90.84,90.16,09/08/14
90.54,89.61,90.54,89.51,09/09/14
89.56,89.53,89.78,88.75,09/10/14
89.2,89.96,90.041,89.09,09/11/14
90.2,89.65,90.2,89.25,09/12/14
89.67,90.07,90.37,89.56,09/15/14
89.65,90.27,90.43,89.46,09/16/14
90.57,90.33,90.77,89.97,09/17/14
90.31,90.34,90.48,89.91,09/18/14
90.46,90.52,91.15,90.39,09/19/14
90.38,89.3,90.6,89.19,09/22/14
89.12,88.33,89.235,88.23,09/23/14
88.4,89.47,89.635,88.25,09/24/14
89.24,88.09,89.635,88.06,09/25/14
88.06,88.72,88.89,87.91,09/26/14
88.17,88.83,89.0429,87.36,09/29/14
88.94,89.04,89.54,88.54,09/30/14
89.14,87.48,89.24,87.2,10/01/14
87.1,86.79,87.64,84.65,10/02/14
88.05,88.44,88.9,87.55,10/03/14
88.8,88.56,89.17,88.07,10/06/14
88.01,87.1,88.25,87.04,10/07/14
87.09,88.09,88.15,86.33,10/08/14
88.04,85.73,88.16,85.578,10/09/14
85.61,86.24,87.0,85.41,10/10/14
85.92,83.93,86.39,83.76,10/13/14
84.76,84.16,85.5,83.9,10/14/14
82.01,82.05,83.76,78.6,10/15/14
79.89,81.72,82.46,79.55,10/16/14
82.5,83.81,84.65,82.5,10/17/14
84.34,85.51,85.61,84.145,10/20/14
86.49,87.53,87.68,86.25,10/21/14
87.93,87.09,88.61,86.98,10/22/14
88.2,87.97,88.63,87.77,10/23/14
87.69,88.61,88.65,87.58,10/24/14
88.56,88.43,88.99,88.24,10/27/14
89.04,89.89,89.955,88.9501,10/28/14
89.81,89.53,90.24,88.9501,10/29/14
89.59,90.22,90.54,88.91,10/30/14
91.5,91.35,91.97,90.75,10/31/14
91.24,91.71,91.82,91.0,11/03/14
91.97,90.33,91.98,89.8,11/04/14
91.42,90.99,91.49,89.59,11/05/14
91.29,91.98,92.0,91.15,11/06/14
89.32,90.0,90.015,88.65,11/07/14
90.24,89.78,90.42,88.95,11/10/14
90.01,89.97,90.02,89.13,11/11/14
89.75,89.88,90.12,89.335,11/12/14
90.12,90.48,90.71,90.03,11/13/14
90.46,90.82,90.845,90.38,11/14/14
90.545,90.41,90.78,90.09,11/17/14
90.35,90.26,90.69,90.13,11/18/14
90.18,89.81,90.28,89.185,11/19/14
89.18,88.8,89.43,88.75,11/20/14
89.77,88.93,89.8,88.76,11/21/14
89.34,90.59,90.66,89.33,11/24/14
90.75,91.66,91.92,90.71,11/25/14
92.03,91.91,92.28,90.73,11/26/14
92.36,92.55,92.96,92.23,11/28/14
92.63,92.71,93.14,92.1,12/01/14
92.65,93.46,93.81,92.42,12/02/14
93.49,93.1,93.64,92.5,12/03/14
93.61,93.23,93.63,92.565,12/04/14
93.33,93.75,93.98,93.34,12/05/14
94.1,93.795,94.5,93.412,12/08/14
93.4,92.93,94.5,91.7668,12/09/14
92.55,91.64,92.83,91.55,12/10/14
91.08,91.75,92.6568,90.66,12/11/14
91.18,91.52,92.6568,90.667,12/12/14
92.02,90.88,92.69,90.19,12/15/14
90.43,90.18,92.0,90.13,12/16/14
90.33,91.37,91.68,90.21,12/17/14
92.32,92.6,92.61,91.86,12/18/14
92.36,92.96,93.2,91.9,12/19/14
93.33,94.22,94.3501,93.22,12/22/14
94.45,94.71,95.07,94.41,12/23/14
94.78,94.42,95.12,94.37,12/24/14
94.75,95.04,95.3142,94.52,12/26/14
94.84,95.52,95.925,94.686,12/29/14
95.03,94.68,95.36,94.5,12/30/14
95.26,94.15,95.51,94.03,12/31/14
