Open,Close,High,Low,Date
51.5,49.8,53.0946,49.55,03/20/19
50.0,48.75,50.0,48.24,03/21/19
48.53,48.8,49.95,48.28,03/22/19
48.4,49.0,49.4,48.0,03/25/19
49.0,48.99,49.75,48.31,03/26/19
50.0,50.44,50.66,49.3,03/27/19
50.05,50.98,51.0,49.915,03/28/19
49.56,51.99,52.48,49.18,03/29/19
52.4,53.25,54.39,51.25,04/01/19
55.12,56.04,57.39,54.4,04/02/19
57.0,56.89,57.1,55.51,04/03/19
57.12,59.68,60.5,57.1,04/04/19
58.38,57.25,58.98,56.28,04/05/19
56.5,57.16,58.38,56.28,04/08/19
56.8,56.25,57.2,56.08,04/09/19
55.99,55.71,56.41,55.1,04/10/19
55.5,54.89,56.21,54.84,04/11/19
55.93,58.31,58.32,55.93,04/12/19
58.55,57.79,58.79,57.29,04/15/19
58.71,58.5,58.97,57.84,04/16/19
58.95,58.35,59.05,58.21,04/17/19
58.36,57.77,58.59,57.56,04/18/19
57.5,57.89,58.41,57.26,04/22/19
57.48,57.65,57.84,57.0,04/23/19
57.66,56.0,57.89,55.87,04/24/19
55.7,55.33,55.97,54.82,04/25/19
55.245,55.25,55.59,54.95,04/26/19
55.11,55.52,55.68,54.8,04/29/19
55.66,56.74,57.205,55.6,04/30/19
56.85,56.15,57.48,55.88,05/01/19
55.54,52.64,56.49,52.0495,05/02/19
53.2,53.27,53.35,51.72,05/03/19
52.06,53.17,54.03,51.71,05/06/19
53.15,52.97,53.325,52.65,05/07/19
53.18,52.49,53.395,52.31,05/08/19
52.26,52.92,53.14,51.55,05/09/19
52.9,53.06,53.7141,52.49,05/10/19
52.16,50.99,52.55,50.76,05/13/19
51.38,52.46,53.0,50.84,05/14/19
52.01,52.96,53.325,51.67,05/15/19
53.14,52.95,53.54,52.74,05/16/19
52.4,50.765,52.52,50.66,05/17/19
50.5,50.08,50.54,49.92,05/20/19
50.36,50.62,51.16,50.03,05/21/19
50.45,50.22,50.61,49.965,05/22/19
49.5,48.69,49.86,48.21,05/23/19
49.21,49.2,49.575,48.44,05/24/19
49.35,48.58,49.43,48.1,05/28/19
48.16,48.7,49.43,48.01,05/29/19
48.28,48.46,48.59,48.06,05/30/19
47.95,46.76,48.0,46.75,05/31/19
46.85,47.94,47.94,46.85,06/03/19
48.69,49.81,49.84,48.64,06/04/19
50.45,50.33,50.55,49.05,06/05/19
50.22,51.05,51.31,50.16,06/06/19
51.13,51.3,51.68,50.88,06/07/19
51.69,51.63,52.085,51.58,06/10/19
52.0,52.07,52.17,51.57,06/11/19
52.07,52.47,52.64,51.68,06/12/19
52.64,52.89,52.95,52.04,06/13/19
52.6,51.14,52.69,51.0,06/14/19
50.08,49.335,50.33,49.05,06/17/19
49.6,49.56,50.57,49.4,06/18/19
49.91,48.5,50.24,48.34,06/19/19
49.33,48.93,49.59,48.625,06/20/19
48.93,48.365,49.27,48.31,06/21/19
48.5,49.6,49.7,48.33,06/24/19
49.57,49.72,50.22,49.05,06/25/19
49.94,50.445,51.22,49.81,06/26/19
50.55,50.93,51.14,50.5307,06/27/19
51.1,49.27,51.2,49.08,06/28/19
50.0,50.14,50.2,49.52,07/01/19
49.97,49.43,50.04,48.76,07/02/19
49.41,49.27,49.64,49.2,07/03/19
49.06,49.29,49.35,48.96,07/05/19
49.34,48.51,49.5,48.385,07/08/19
48.3,47.87,48.43,47.5,07/09/19
48.25,47.55,48.4,47.52,07/10/19
47.6,47.75,48.06,47.18,07/11/19
48.51,49.7,50.04,48.08,07/12/19
49.78,50.92,50.95,49.75,07/15/19
50.95,52.32,52.6446,50.95,07/16/19
52.19,51.61,52.29,51.24,07/17/19
51.5,51.755,52.04,51.28,07/18/19
51.6,51.53,51.82,51.5,07/19/19
51.55,50.86,51.55,50.6,07/22/19
50.975,52.61,52.89,50.9562,07/23/19
52.5,52.78,52.99,52.05,07/24/19
51.54,50.77,51.99,50.3,07/25/19
50.27,49.14,50.3,48.92,07/26/19
48.5,48.05,48.88,47.98,07/29/19
47.71,48.41,48.44,47.71,07/30/19
48.385,48.41,49.42,47.955,07/31/19
