Open,Close,High,Low,Date
174.95,175.82,176.4599,174.67,07/28/14
176.11,175.59,177.1099,175.45,07/29/14
175.86,175.77,177.48,175.37,07/30/14
174.88,172.98,175.27,172.79,07/31/14
172.38,170.24,172.69,169.4,08/01/14
170.68,171.7,171.89,170.05,08/04/14
171.2,169.34,171.77,168.89,08/05/14
168.16,169.768,170.85,168.02,08/06/14
170.5,169.09,171.07,168.75,08/07/14
168.94,172.22,172.43,168.68,08/08/14
172.73,172.44,173.4098,171.62,08/11/14
171.77,172.37,173.11,171.38,08/12/14
172.4,172.35,172.89,171.27,08/13/14
172.79,172.72,173.1,171.69,08/14/14
172.84,171.9,174.6,171.45,08/15/14
173.2,174.51,174.63,172.775,08/18/14
174.52,173.92,175.1,173.63,08/19/14
173.28,174.05,174.18,172.6001,08/20/14
174.25,175.12,175.92,173.44,08/21/14
175.41,175.53,176.98,174.86,08/22/14
176.7,177.92,179.86,176.46,08/25/14
178.48,177.92,179.15,177.815,08/26/14
178.36,177.83,178.36,177.0101,08/27/14
177.03,177.66,177.75,175.89,08/28/14
177.89,178.86,179.5,177.852,08/29/14
179.26,179.76,180.2,178.39,09/02/14
180.48,179.66,182.04,179.43,09/03/14
179.81,180.06,181.5998,179.55,09/04/14
179.46,179.74,179.9,177.89,09/05/14
179.69,180.07,180.92,179.28,09/08/14
177.78,177.42,178.61,176.62,09/09/14
178.17,179.81,180.18,178.17,09/10/14
178.81,180.96,181.44,178.51,09/11/14
180.79,183.07,183.47,180.63,09/12/14
182.96,184.0,184.4,182.51,09/15/14
183.68,184.06,184.55,182.8,09/16/14
183.99,184.82,185.76,183.48,09/17/14
185.87,187.96,188.43,185.63,09/18/14
188.26,186.24,188.58,185.89,09/19/14
186.14,185.37,186.95,185.1,09/22/14
184.57,185.13,186.86,184.57,09/23/14
185.03,187.87,188.12,184.4669,09/24/14
187.65,184.22,188.1,183.46,09/25/14
184.86,185.09,185.6,183.227,09/26/14
183.77,183.76,184.55,182.2,09/29/14
