Open,Close,High,Low,Date
81.2,81.06,81.34,80.66,07/28/14
81.21,80.99,81.805,80.89,07/29/14
81.5,81.76,81.84,81.07,07/30/14
81.09,80.85,81.5599,80.85,07/31/14
80.54,79.75,81.0799,79.74,08/01/14
79.7,80.03,80.25,79.67,08/04/14
79.8,80.01,80.86,79.78,08/05/14
79.85,80.52,81.01,79.85,08/06/14
80.885,80.47,81.06,80.29,08/07/14
80.96,82.43,82.46,80.93,08/08/14
82.61,82.88,83.07,82.5,08/11/14
82.76,82.92,83.09,82.68,08/12/14
82.96,83.12,83.38,82.74,08/13/14
83.12,83.87,83.965,82.74,08/14/14
84.09,83.68,84.09,82.85,08/15/14
84.14,83.61,84.62,83.3,08/18/14
86.94,88.2,88.9886,86.58,08/19/14
88.17,90.75,91.07,88.08,08/20/14
90.75,91.18,91.8,90.67,08/21/14
90.71,91.04,91.32,90.65,08/22/14
91.25,91.22,91.81,90.95,08/25/14
90.98,91.64,91.83,90.9,08/26/14
91.69,91.86,91.96,91.3155,08/27/14
91.31,92.52,92.73,91.27,08/28/14
92.66,93.49,93.52,92.61,08/29/14
93.01,91.2,93.3,89.85,09/02/14
91.11,89.0,91.31,88.98,09/03/14
89.1,89.94,90.75,89.0,09/04/14
89.66,91.59,91.64,89.2809,09/05/14
91.33,90.82,91.78,90.57,09/08/14
90.28,88.93,90.33,88.775,09/09/14
88.67,89.26,89.4,88.33,09/10/14
89.14,89.205,89.42,88.62,09/11/14
89.3,88.84,89.5,88.465,09/12/14
89.18,89.39,89.54,88.6,09/15/14
89.27,90.29,90.74,88.54,09/16/14
90.77,91.21,91.54,89.95,09/17/14
91.83,92.1,92.435,91.205,09/18/14
92.61,92.38,93.75,92.21,09/19/14
91.98,91.9,92.42,91.68,09/22/14
91.71,91.5,92.22,91.46,09/23/14
91.68,93.03,93.11,91.3501,09/24/14
92.74,91.93,93.1,91.3501,09/25/14
92.31,92.83,92.99,91.8,09/26/14
92.07,92.88,93.17,91.95,09/29/14
93.03,91.77,93.2,91.4,09/30/14
92.13,91.02,92.33,90.92,10/01/14
91.15,92.22,92.46,91.1,10/02/14
92.4,93.52,93.68,92.335,10/03/14
93.82,93.27,94.25,93.06,10/06/14
92.88,92.46,93.56,92.44,10/07/14
92.4,94.07,94.15,92.24,10/08/14
93.81,93.07,94.79,93.03,10/09/14
93.3,92.55,93.85,92.54,10/10/14
92.53,90.6,92.94,90.4313,10/13/14
90.37,90.13,90.52,88.52,10/14/14
88.01,87.85,89.17,86.625,10/15/14
86.49,88.86,89.72,86.35,10/16/14
