Open,Close,High,Low,Date
228.06,229.16,229.26,224.25,05/11/21
226.64,220.04,227.26,219.89,05/12/21
218.83,223.68,224.86,218.74,05/13/21
225.74,227.36,228.23,224.86,05/14/21
227.86,226.47,227.86,224.735,05/17/21
225.48,222.32,225.985,222.24,05/18/21
220.67,221.32,221.47,216.78,05/19/21
221.1,222.13,222.89,220.47,05/20/21
223.0,223.2,225.625,222.66,05/21/21
224.5,225.0,225.515,223.17,05/24/21
225.0,224.04,225.7099,223.41,05/25/21
224.96,224.27,224.99,223.31,05/26/21
226.75,231.27,231.64,226.59,05/27/21
232.0,230.91,232.0,230.31,05/28/21
232.89,232.95,233.69,231.5147,06/01/21
234.02,230.74,234.02,230.5,06/02/21
230.71,229.2,231.64,228.47,06/03/21
229.76,230.05,230.75,229.1864,06/04/21
229.51,228.19,230.36,227.53,06/07/21
228.31,229.81,230.82,227.44,06/08/21
229.82,227.81,230.4,227.6,06/09/21
229.12,226.25,230.0,226.15,06/10/21
227.75,225.18,228.3,223.96,06/11/21
224.92,223.17,224.95,222.73,06/14/21
223.02,222.5,223.86,221.695,06/15/21
222.5,218.99,222.9,218.6,06/16/21
219.2,216.29,220.2,214.725,06/17/21
213.6,212.5,215.29,211.96,06/18/21
214.74,216.0,217.4,214.34,06/21/21
216.0,215.49,216.8,214.88,06/22/21
215.67,214.66,216.355,214.56,06/23/21
215.79,217.69,218.04,214.65,06/24/21
217.87,218.74,220.17,217.49,06/25/21
219.12,216.79,220.1,216.3,06/28/21
217.03,215.95,218.36,215.42,06/29/21
215.53,219.35,219.86,215.53,06/30/21
220.58,220.62,221.2063,219.695,07/01/21
220.99,221.32,222.05,219.7138,07/02/21
220.09,218.56,220.95,215.98,07/06/21
218.03,220.74,221.59,218.01,07/07/21
218.56,219.32,220.7125,217.1315,07/08/21
221.03,224.34,224.59,220.74,07/09/21
222.88,225.02,225.7,222.13,07/12/21
224.79,224.08,225.67,223.71,07/13/21
224.72,227.77,228.76,224.1676,07/14/21
230.0,232.81,233.43,229.04,07/15/21
232.19,230.33,233.82,229.62,07/16/21
225.67,220.66,226.61,220.02,07/19/21
221.64,229.66,230.83,221.5,07/20/21
229.2,231.85,232.07,228.73,07/21/21
232.71,232.74,234.25,230.13,07/22/21
228.29,229.32,231.12,226.181,07/23/21
228.09,229.25,229.76,225.22,07/26/21
229.03,230.36,232.25,228.09,07/27/21
230.75,230.49,232.24,229.41,07/28/21
232.66,232.88,233.25,231.335,07/29/21
232.79,233.79,233.93,232.08,07/30/21
235.0,232.42,236.86,232.22,08/02/21
233.17,232.65,233.8538,230.58,08/03/21
231.8,229.59,232.98,228.9055,08/04/21
229.53,229.88,231.55,228.95,08/05/21
229.92,229.68,230.89,229.02,08/06/21
228.77,228.23,229.32,227.55,08/09/21
228.41,231.88,232.07,228.12,08/10/21
232.46,234.18,234.6775,231.87,08/11/21
233.52,231.94,233.745,230.7,08/12/21
231.85,231.76,232.66,231.15,08/13/21
231.7,233.74,233.8,230.24,08/16/21
233.19,231.45,233.7,228.35,08/17/21
229.96,228.42,231.49,228.24,08/18/21
227.58,227.73,229.238,226.04,08/19/21
228.13,227.7,228.73,226.52,08/20/21
227.8,229.11,231.61,227.8,08/23/21
228.85,230.44,230.915,228.31,08/24/21
230.86,230.66,232.3409,228.8,08/25/21
230.24,230.88,231.18,229.43,08/26/21
231.58,231.14,233.555,230.66,08/27/21
231.22,231.87,232.78,230.56,08/30/21
231.43,231.91,232.65,230.57,08/31/21
233.19,229.8,233.19,229.3,09/01/21
230.92,230.97,231.44,229.77,09/02/21
231.0,228.36,231.0,227.77,09/03/21
227.7,222.93,227.7,222.77,09/07/21
222.75,224.4,224.9,221.82,09/08/21
224.62,222.93,224.97,222.37,09/09/21
222.97,222.37,225.19,222.24,09/10/21
224.72,223.6,225.705,222.215,09/13/21
224.05,220.19,224.12,219.71,09/14/21
220.63,221.69,222.91,220.14,09/15/21
221.27,219.65,221.41,218.54,09/16/21
219.86,218.49,219.86,217.5002,09/17/21
216.69,215.73,217.73,214.19,09/20/21
216.79,214.9,216.94,214.36,09/21/21
216.44,217.02,218.4286,216.35,09/22/21
217.3,219.7,221.3708,217.3,09/23/21
218.77,219.19,220.81,218.47,09/24/21
218.94,217.9,219.83,217.73,09/27/21
216.8,214.97,218.35,214.48,09/28/21
215.83,214.92,216.4,214.55,09/29/21
216.17,212.28,216.24,212.1,09/30/21
212.98,215.65,216.4213,211.635,10/01/21
215.25,214.21,216.58,213.19,10/04/21
213.61,215.72,217.02,213.61,10/05/21
213.77,216.86,216.99,213.13,10/06/21
218.0,218.37,219.86,217.71,10/07/21
219.0,217.7,219.55,216.74,10/08/21
216.7,215.29,218.22,215.26,10/11/21
215.7,214.33,216.22,213.94,10/12/21
215.29,215.58,216.58,212.94,10/13/21
217.16,218.59,218.78,216.529,10/14/21
220.21,220.72,221.45,219.2601,10/15/21
218.58,220.63,221.47,217.845,10/18/21
221.36,221.78,221.84,219.46,10/19/21
222.23,223.64,223.69,220.83,10/20/21
223.62,224.52,224.86,221.24,10/21/21
223.62,217.4,223.86,217.25,10/22/21
216.81,217.54,218.99,215.645,10/25/21
218.2,218.32,220.47,216.78,10/26/21
218.1,215.72,218.163,215.2186,10/27/21
214.38,218.48,218.7794,214.38,10/28/21
218.0,218.62,220.3,217.07,10/29/21
218.7,219.76,220.025,218.0747,11/01/21
220.54,221.19,221.97,219.2524,11/02/21
220.91,222.8,223.0,219.58,11/03/21
223.1,222.49,224.84,222.08,11/04/21
224.0,226.06,227.57,223.82,11/05/21
227.62,225.73,228.24,224.38,11/08/21
226.06,227.75,228.26,225.35,11/09/21
227.175,225.41,227.91,225.18,11/10/21
225.5,221.01,225.5,220.6,11/11/21
221.94,222.39,222.5394,219.5,11/12/21
222.63,222.47,224.0408,221.64,11/15/21
222.62,221.37,223.23,221.06,11/16/21
220.99,220.49,221.285,219.6039,11/17/21
220.05,220.7,220.95,219.04,11/18/21
221.01,218.49,221.2,217.17,11/19/21
218.33,218.14,221.05,218.03,11/22/21
217.36,216.0,218.46,215.15,11/23/21
215.33,212.21,215.91,211.84,11/24/21
204.95,208.21,208.97,202.57,11/26/21
210.21,207.66,210.21,207.0,11/29/21
206.01,202.24,206.29,201.34,11/30/21
205.65,199.42,205.88,199.18,12/01/21
200.64,204.0,205.42,199.5,12/02/21
204.01,203.5,204.48,201.0,12/03/21
205.0,206.25,208.09,204.88,12/06/21
207.33,207.15,209.6,205.76,12/07/21
205.0,204.65,205.33,202.5201,12/08/21
204.58,206.0,207.16,203.0,12/09/21
206.84,209.81,210.04,205.82,12/10/21
209.8,209.23,210.75,208.6,12/13/21
208.83,206.68,211.54,205.92,12/14/21
207.09,209.76,210.4,205.24,12/15/21
211.25,209.61,211.25,209.31,12/16/21
209.46,205.17,210.11,204.71,12/17/21
202.12,199.85,202.6548,198.1,12/20/21
201.15,201.67,202.78,200.34,12/21/21
201.22,201.84,202.0,200.08,12/22/21
203.2,205.22,206.31,203.0,12/23/21
205.75,206.43,206.6399,204.9109,12/27/21
206.47,207.05,208.11,206.2204,12/28/21
207.41,207.53,208.04,206.52,12/29/21
208.1,207.11,208.855,206.91,12/30/21
206.86,208.51,209.19,206.39,12/31/21
207.86,206.8,209.3499,205.56,01/03/22
