Open,Close,High,Low,Date
185.67128,187.06637,187.65881,185.18396,07/28/14
186.82749,185.95794,187.18104,185.89106,07/29/14
186.52171,185.3464,187.27659,184.32397,07/30/14
184.26664,183.14865,185.65217,183.02443,07/31/14
181.99245,180.75989,182.9671,180.46358,08/01/14
181.02735,181.2089,181.49557,180.21514,08/04/14
180.37758,178.77227,180.6738,178.15117,08/05/14
177.11919,177.63518,178.54294,176.24009,08/06/14
178.34228,176.05853,178.3805,175.43743,08/07/14
176.11587,178.25628,178.37094,175.48521,08/08/14
179.16404,179.13538,179.98581,178.03651,08/11/14
179.11627,179.04938,180.30114,178.50472,08/12/14
179.60359,179.57493,180.10048,179.03982,08/13/14
179.52715,179.48893,179.80426,178.61939,08/14/14
179.49848,179.13538,180.48269,178.48561,08/15/14
179.73737,180.95091,181.37135,179.41249,08/18/14
181.59112,181.53379,181.79178,180.94135,08/19/14
181.39046,181.6389,181.92556,180.83624,08/20/14
182.41289,182.73777,183.52896,182.03067,08/21/14
182.40333,181.916,183.34932,181.83001,08/22/14
182.91932,182.72821,183.27287,182.23229,08/25/14
182.77599,184.41952,184.92596,182.53711,08/26/14
184.44819,183.68376,185.49928,183.04354,08/27/14
182.66133,183.47354,183.74931,182.18356,08/28/14
183.89398,183.73153,184.17968,182.64394,08/29/14
184.11375,182.99577,184.39086,182.45111,09/02/14
183.66465,183.4162,184.35741,183.33976,09/03/14
183.23465,182.26955,184.12331,181.61033,09/04/14
181.86823,182.66133,183.2251,181.67712,09/05/14
182.22178,181.68667,182.69955,181.08468,09/08/14
181.92556,181.56245,182.26,181.34268,09/09/14
181.82045,182.93843,183.5882,181.66756,09/10/14
181.71534,183.18687,184.19975,181.67712,09/11/14
182.90977,182.7091,183.08176,182.10711,09/12/14
182.73777,183.34932,183.92264,182.10711,09/15/14
182.52755,184.43863,184.94507,182.33644,09/16/14
184.05642,184.2953,185.03107,183.75064,09/17/14
184.21886,185.14573,185.49928,184.14242,09/18/14
185.99617,185.3464,186.33061,184.60108,09/19/14
185.10751,184.54374,185.50884,184.07075,09/22/14
184.08508,183.15821,184.48641,183.00532,09/23/14
182.432,183.74109,183.89398,181.43823,09/24/14
183.52131,180.70247,183.94175,180.56869,09/25/14
180.60691,181.60068,181.86823,180.24381,09/26/14
180.14825,181.19935,181.50512,179.75648,09/29/14
181.18979,181.43823,182.36511,180.74069,09/30/14
181.21846,178.85827,181.88734,178.48561,10/01/14
178.7245,178.60027,179.4316,177.96006,10/02/14
179.71826,180.20558,180.94135,179.23093,10/03/14
180.85535,180.62602,182.40333,180.32025,10/06/14
179.26915,177.39629,179.73737,177.29118,10/07/14
177.69251,180.89357,181.17068,177.35807,10/08/14
180.71202,178.11295,181.07513,177.81673,10/09/14
177.63518,177.62562,179.39337,176.87074,10/10/14
177.06185,175.44699,178.34228,175.26543,10/13/14
176.63186,175.62854,177.34852,175.42788,10/14/14
174.34811,173.67924,175.61899,170.80191,10/15/14
171.43371,171.77771,173.40213,170.81261,10/16/14
173.32569,173.9659,174.70386,172.21726,10/17/14
159.30789,161.47697,162.75835,159.29834,10/20/14
158.93523,155.95394,159.22189,154.49196,10/21/14
155.14173,154.68307,158.05613,154.00463,10/22/14
154.90284,154.90284,155.59074,154.35819,10/23/14
