Open,Close,High,Low,Date
34.25,34.23,34.32,33.88,07/28/14
34.27,34.19,34.37,34.095,07/29/14
34.36,34.35,34.57,34.04,07/30/14
34.07,33.89,34.25,33.81,07/31/14
33.76,33.74,34.03,33.61,08/01/14
33.79,34.05,34.09,33.55,08/04/14
33.71,32.82,33.78,32.595,08/05/14
32.59,32.86,33.19,32.4,08/06/14
32.93,32.68,33.15,32.54,08/07/14
32.75,32.6,33.0,32.54,08/08/14
32.82,33.02,33.24,32.81,08/11/14
32.96,33.13,33.15,32.68,08/12/14
33.26,34.1,34.15,33.24,08/13/14
34.05,33.94,34.23,33.74,08/14/14
34.13,34.16,34.21,33.7149,08/15/14
34.22,34.41,34.47,33.975,08/18/14
34.5,34.34,34.5,34.25,08/19/14
34.25,34.5,34.51,34.21,08/20/14
34.5,35.15,35.19,34.45,08/21/14
35.2,34.94,35.2,34.91,08/22/14
35.09,34.81,35.15,34.65,08/25/14
34.88,34.8,35.05,34.7,08/26/14
34.88,34.79,34.94,34.63,08/27/14
34.68,34.65,34.81,34.615,08/28/14
34.82,34.92,34.935,34.67,08/29/14
34.79,34.57,34.91,34.431,09/02/14
34.83,34.57,34.88,34.4528,09/03/14
34.53,34.905,35.09,34.52,09/04/14
34.93,35.0,35.12,34.83,09/05/14
34.88,35.33,35.56,34.88,09/08/14
35.23,34.91,35.29,34.85,09/09/14
34.92,35.02,35.13,34.67,09/10/14
34.79,35.02,35.02,34.53,09/11/14
34.9,34.62,34.91,34.5,09/12/14
34.71,34.54,34.77,34.23,09/15/14
34.51,34.93,35.08,34.48,09/16/14
34.93,34.98,35.19,34.74,09/17/14
35.03,35.17,35.17,34.86,09/18/14
35.19,34.82,35.22,34.82,09/19/14
34.72,34.71,35.03,34.55,09/22/14
34.71,34.42,34.71,34.38,09/23/14
34.41,34.75,34.85,34.37,09/24/14
34.68,34.14,34.85,33.88,09/25/14
34.24,34.26,34.35,33.63,09/26/14
34.06,34.9,34.99,33.94,09/29/14
34.93,34.82,35.0,34.4199,09/30/14
34.55,33.99,34.78,33.84,10/01/14
33.98,33.52,34.0,33.26,10/02/14
33.66,34.03,34.18,33.47,10/03/14
34.15,34.11,34.48,33.87,10/06/14
33.97,33.47,34.05,33.415,10/07/14
33.49,34.27,34.37,33.14,10/08/14
34.15,33.62,34.43,33.58,10/09/14
32.63,31.91,32.86,30.53,10/10/14
31.72,31.47,32.37,31.47,10/13/14
32.09,32.14,32.665,31.71,10/14/14
30.52,31.275,31.64,29.65,10/15/14
30.89,30.85,31.51,30.75,10/16/14
31.13,31.38,31.71,30.97,10/17/14
31.11,31.58,31.7,30.9,10/20/14
31.75,32.61,32.62,31.58,10/21/14
32.69,32.27,32.87,32.22,10/22/14
32.72,32.69,32.91,32.6,10/23/14
32.72,33.18,33.33,32.57,10/24/14
33.08,33.2,33.29,32.77,10/27/14
33.37,33.74,33.75,33.28,10/28/14
33.76,33.92,33.97,33.51,10/29/14
33.58,32.58,33.61,32.4,10/30/14
33.76,34.01,34.01,33.18,10/31/14
33.84,34.31,34.48,33.79,11/03/14
34.3,34.54,34.78,34.205,11/04/14
34.09,33.76,34.1,33.6,11/05/14
33.79,33.82,34.23,33.417,11/06/14
33.98,33.58,34.0,33.2,11/07/14
33.45,33.26,33.49,33.08,11/10/14
33.35,33.31,33.54,33.195,11/11/14
33.23,33.38,33.42,33.0,11/12/14
33.49,33.68,33.855,33.36,11/13/14
33.8,33.95,33.97,33.35,11/14/14
33.82,34.24,34.25,33.7601,11/17/14
34.19,34.71,34.9,34.16,11/18/14
34.71,34.35,34.79,34.25,11/19/14
34.15,35.95,35.97,34.0,11/20/14
36.1,35.59,36.46,35.5,11/21/14
35.88,36.25,36.4299,35.84,11/24/14
36.32,36.32,36.48,36.16,11/25/14
36.31,36.9,36.99,36.16,11/26/14
37.0,37.25,37.687,36.94,11/28/14
37.23,37.17,37.62,36.9,12/01/14
37.26,37.6,37.6,37.18,12/02/14
37.68,37.43,37.8835,37.41,12/03/14
37.39,37.46,37.46,37.05,12/04/14
37.52,37.67,37.9,37.52,12/05/14
37.48,37.2,37.73,36.94,12/08/14
36.68,36.89,37.73,36.3,12/09/14
36.93,36.42,37.02,36.3,12/10/14
36.44,36.7,37.21,36.44,12/11/14
36.34,36.225,37.21,36.22,12/12/14
36.39,35.92,36.78,35.91,12/15/14
35.82,35.56,36.49,35.56,12/16/14
35.62,36.24,36.33,35.33,12/17/14
36.78,37.02,37.02,36.43,12/18/14
36.96,36.37,37.14,36.23,12/19/14
36.39,37.21,37.26,36.39,12/22/14
37.4,37.43,37.7,37.3,12/23/14
37.44,37.44,37.6,37.18,12/24/14
37.52,37.55,37.7418,37.52,12/26/14
37.39,37.18,37.52,37.17,12/29/14
37.08,36.76,37.19,36.76,12/30/14
36.62,36.29,37.04,36.29,12/31/14
36.69,36.36,37.15,36.11,01/02/15
36.2,35.95,36.45,35.94,01/05/15
36.16,35.28,36.16,35.26,01/06/15
