Open,Close,High,Low,Date
101.89,102.11,102.4,101.66,07/28/14
102.31,102.01,102.51,101.7,07/29/14
102.51,102.31,102.85,101.81,07/30/14
101.62,100.11,101.84,100.05,07/31/14
99.75,99.94,100.41,98.8,08/01/14
99.99,100.2,100.37,99.315,08/04/14
99.96,99.78,100.24,99.55,08/05/14
99.69,100.73,100.83,99.61,08/06/14
100.94,99.9,101.19,99.58,08/07/14
100.08,101.07,101.15,99.82,08/08/14
101.64,101.15,101.78,101.02,08/11/14
101.08,100.64,101.22,100.31,08/12/14
100.93,101.73,101.95,100.93,08/13/14
101.89,102.0,102.05,101.5,08/14/14
102.21,101.17,102.44,100.8,08/15/14
101.93,102.69,102.72,101.755,08/18/14
102.63,102.95,102.96,102.02,08/19/14
102.9,103.2,103.3,102.7,08/20/14
103.56,104.2,104.42,103.44,08/21/14
103.73,103.1,104.03,102.97,08/22/14
103.62,103.28,103.8099,103.09,08/25/14
103.42,103.45,103.72,103.17,08/26/14
103.65,103.19,103.71,102.91,08/27/14
102.83,102.99,103.1652,102.71,08/28/14
103.13,103.72,103.76,103.0069,08/29/14
103.3,103.33,103.7097,103.03,09/02/14
103.9,103.76,104.09,103.55,09/03/14
103.76,103.87,104.1,103.76,09/04/14
103.81,104.35,104.37,103.3524,09/05/14
104.39,104.04,104.58,103.83,09/08/14
104.4,103.79,104.4,103.55,09/09/14
104.12,105.01,105.34,103.96,09/10/14
104.91,104.54,104.91,104.0999,09/11/14
104.25,104.59,104.805,103.96,09/12/14
104.57,104.71,104.91,104.35,09/15/14
104.56,105.89,105.94,104.3,09/16/14
105.88,106.16,106.63,105.82,09/17/14
106.18,107.36,107.41,106.07,09/18/14
107.72,108.04,108.37,107.62,09/19/14
108.02,107.89,108.25,107.775,09/22/14
107.77,107.47,108.1,107.19,09/23/14
107.67,108.7,108.77,107.34,09/24/14
108.54,107.11,108.765,107.07,09/25/14
107.36,107.07,107.49,106.2,09/26/14
106.35,106.51,106.65,106.05,09/29/14
106.54,106.62,107.2099,106.485,09/30/14
105.9,104.33,106.25,103.95,10/01/14
104.28,103.83,104.54,103.25,10/02/14
104.16,105.1,105.18,104.158,10/03/14
105.69,104.9,106.0,104.37,10/06/14
104.44,102.34,104.46,102.34,10/07/14
102.44,104.87,105.03,102.0401,10/08/14
104.63,102.1,104.86,101.8,10/09/14
102.04,101.23,102.53,101.23,10/10/14
101.42,99.2,101.46,99.02,10/13/14
100.53,97.06,100.9,95.35,10/14/14
96.01,98.24,98.72,95.1,10/15/14
97.0,96.72,98.0,96.5,10/16/14
97.55,98.67,99.125,97.31,10/17/14
98.79,99.18,99.2,98.325,10/20/14
99.83,100.36,100.375,99.34,10/21/14
101.3,101.25,101.79,100.52,10/22/14
102.26,102.55,102.98,101.94,10/23/14
102.86,103.14,103.29,102.2056,10/24/14
102.91,104.04,104.23,102.91,10/27/14
104.53,104.78,104.8,103.56,10/28/14
105.0,105.53,105.56,104.86,10/29/14
105.17,107.04,107.05,104.98,10/30/14
107.92,107.74,108.18,107.26,10/31/14
107.81,107.51,108.11,106.75,11/03/14
107.645,108.58,108.73,107.34,11/04/14
109.11,108.8,109.25,107.95,11/05/14
108.93,109.0,109.32,108.56,11/06/14
108.87,108.15,109.03,107.92,11/07/14
108.04,108.83,108.92,107.2,11/10/14
108.89,108.9,109.39,108.55,11/11/14
108.68,108.78,109.0,108.3862,11/12/14
109.09,109.04,109.49,108.5,11/13/14
108.98,108.175,109.06,108.0143,11/14/14
107.95,108.31,108.69,107.611,11/17/14
108.15,108.88,109.06,107.72,11/18/14
108.6,108.76,108.81,108.1,11/19/14
108.55,108.19,108.57,107.69,11/20/14
108.41,107.84,108.659,107.62,11/21/14
108.19,106.86,108.2,106.64,11/24/14
107.19,106.77,107.19,106.7,11/25/14
107.0,107.2,107.2401,106.62,11/26/14
107.37,108.29,108.82,107.37,11/28/14
107.79,108.04,108.81,107.35,12/01/14
107.77,108.5,108.53,107.5,12/02/14
108.53,107.73,108.9899,107.65,12/03/14
108.09,107.52,108.3,107.39,12/04/14
107.56,108.48,108.74,107.221,12/05/14
108.45,108.56,108.88,108.1405,12/08/14
108.22,108.01,108.88,106.89,12/09/14
107.54,106.25,107.9514,106.15,12/10/14
105.85,106.69,107.305,105.36,12/11/14
106.65,104.46,107.305,104.39,12/12/14
104.71,103.86,105.05,103.63,12/15/14
103.21,102.77,105.21,102.5,12/16/14
103.07,104.12,104.49,102.7,12/17/14
105.62,106.82,106.82,104.74,12/18/14
106.59,105.67,107.39,105.51,12/19/14
105.73,106.81,106.83,105.69,12/22/14
106.61,104.3,106.91,103.92,12/23/14
104.5,104.62,105.33,104.44,12/24/14
105.07,105.06,105.69,104.69,12/26/14
104.93,105.36,105.69,104.64,12/29/14
105.18,105.31,105.8,105.06,12/30/14
105.59,104.57,106.11,104.54,12/31/14
105.09,104.49,105.55,104.13,01/02/15
104.28,103.85,104.7299,103.682,01/05/15
104.31,103.25,104.98,102.94,01/06/15
103.94,105.56,105.82,103.8172,01/07/15
106.06,106.37,106.49,105.75,01/08/15
106.41,104.96,106.5,104.75,01/09/15
105.3,104.6,105.79,104.3049,01/12/15
105.45,104.75,106.33,104.24,01/13/15
103.95,103.99,104.42,103.51,01/14/15
103.28,102.53,103.93,101.95,01/15/15
102.03,103.92,104.62,102.0,01/16/15
101.67,101.21,102.05,100.26,01/20/15
100.56,101.94,102.0975,100.4,01/21/15
102.27,103.77,103.83,101.57,01/22/15
102.94,102.17,102.97,101.9397,01/23/15
101.9,102.18,102.44,101.21,01/26/15
101.48,102.12,102.7671,100.93,01/27/15
102.46,101.49,102.92,101.44,01/28/15
101.58,102.41,102.46,100.67,01/29/15
101.55,100.2,102.0,100.09,01/30/15
100.49,100.82,100.85,99.3825,02/02/15
101.41,102.44,102.56,101.1253,02/03/15
102.12,101.34,102.56,101.02,02/04/15
101.62,102.45,102.56,101.475,02/05/15
102.13,101.07,102.45,100.83,02/06/15
100.83,99.75,101.03,99.1,02/09/15
100.01,100.33,100.7,99.425,02/10/15
100.42,100.38,100.78,99.96,02/11/15
100.45,98.42,100.52,97.15,02/12/15
98.5,99.57,99.67,98.39,02/13/15
99.49,100.36,100.48,99.1201,02/17/15
100.7,99.93,100.94,99.38,02/18/15
99.98,100.78,100.84,99.6126,02/19/15
100.19,100.25,100.3601,99.11,02/20/15
100.595,100.19,100.7,99.8,02/23/15
100.27,100.69,101.05,100.0,02/24/15
100.92,101.18,101.29,100.16,02/25/15
101.39,102.83,103.18,101.22,02/26/15
103.04,102.51,103.16,102.48,02/27/15
102.9,103.18,103.41,102.7,03/02/15
102.92,102.32,103.07,101.81,03/03/15
102.05,101.63,102.1,101.17,03/04/15
102.0,102.54,103.21,102.05,03/05/15
102.1,100.08,102.43,99.88,03/06/15
100.06,100.65,100.91,99.76,03/09/15
100.37,99.56,100.44,99.51,03/10/15
99.7,98.36,99.825,98.22,03/11/15
98.96,99.82,100.24,98.84,03/12/15
100.11,99.25,100.0,98.6393,03/13/15
99.87,101.05,101.07,99.85,03/16/15
100.39,99.88,100.5128,99.41,03/17/15
99.89,101.45,101.74,99.13,03/18/15
101.13,101.75,101.955,100.91,03/19/15
101.77,102.37,102.9,101.76,03/20/15
102.27,102.87,103.35,102.24,03/23/15
102.76,101.96,103.23,101.93,03/24/15
101.76,100.37,102.5,100.35,03/25/15
100.0,100.11,100.81,99.56,03/26/15
100.24,100.31,100.915,100.16,03/27/15
101.01,101.53,101.86,100.79,03/30/15
100.81,100.6,101.49,100.59,03/31/15
100.59,99.125,100.46,98.61,04/01/15
99.44,99.62,99.99,98.89,04/02/15
98.81,99.17,99.56,98.04,04/06/15
99.72,100.12,100.862,99.433,04/07/15
100.13,100.17,100.45,99.6,04/08/15
100.57,101.33,101.65,100.36,04/09/15
101.33,102.04,102.14,100.93,04/10/15
101.51,100.64,101.98,100.56,04/13/15
101.05,100.57,101.45,100.19,04/14/15
100.69,100.59,101.24,100.33,04/15/15
100.24,99.79,100.3199,99.78,04/16/15
99.36,99.59,99.8515,99.12,04/17/15
100.28,100.21,100.88,100.09,04/20/15
100.755,100.3,100.99,100.17,04/21/15
100.66,100.45,100.79,99.96,04/22/15
100.5,100.47,100.82,99.91,04/23/15
100.34,101.09,101.52,99.91,04/24/15
101.24,100.58,101.59,100.47,04/27/15
100.41,100.78,100.9455,99.31,04/28/15
100.46,100.4,100.605,99.9,04/29/15
100.02,99.2,100.15,98.77,04/30/15
99.65,100.16,100.38,99.65,05/01/15
100.21,100.35,100.55,100.16,05/04/15
100.13,99.52,100.28,99.29,05/05/15
99.68,99.18,99.87,98.66,05/06/15
99.18,99.665,100.0,98.91,05/07/15
100.31,101.45,101.67,100.45,05/08/15
101.32,101.06,101.66,101.01,05/11/15
100.81,100.48,101.05,100.28,05/12/15
100.58,100.58,101.122,100.47,05/13/15
100.97,101.8,101.87,101.01,05/14/15
101.94,102.29,102.32,101.6701,05/15/15
102.37,103.43,104.34,102.32,05/18/15
103.86,104.05,104.1199,103.2549,05/19/15
104.41,103.59,104.48,103.2549,05/20/15
102.83,102.45,103.3007,102.34,05/21/15
102.25,101.36,102.375,101.33,05/22/15
101.23,100.84,101.54,100.58,05/26/15
101.03,101.11,101.41,100.8,05/27/15
100.81,101.17,101.68,100.81,05/28/15
101.39,100.15,101.58,100.1,05/29/15
100.27,100.02,100.59,99.72,06/01/15
99.93,99.98,100.24,99.1,06/02/15
100.2,100.13,100.43,99.84,06/03/15
100.1,99.27,100.46,99.06,06/04/15
99.04,98.59,99.05,98.2,06/05/15
98.6,97.98,98.98,97.96,06/08/15
98.39,98.17,98.54,97.8,06/09/15
98.45,98.88,99.55,98.21,06/10/15
98.97,99.3,99.8,98.8458,06/11/15
98.83,98.29,99.229,98.12,06/12/15
97.87,97.47,97.87,97.01,06/15/15
97.5,98.33,98.48,97.1001,06/16/15
98.4,98.76,99.1199,98.15,06/17/15
99.09,100.33,100.55,98.99,06/18/15
99.97,99.84,100.2,99.78,06/19/15
100.62,100.09,100.8362,99.99,06/22/15
100.18,99.78,100.34,99.48,06/23/15
99.51,99.36,99.808,99.07,06/24/15
99.54,99.125,99.98,99.11,06/25/15
99.06,99.64,100.12,99.12,06/26/15
98.85,97.685,99.35,97.62,06/29/15
98.28,97.42,98.4,97.3,06/30/15
98.31,98.55,98.675,97.65,07/01/15
98.88,98.44,99.0,98.32,07/02/15
