Open,Close,High,Low,Date
58.865,59.17,59.26,58.67,07/28/14
59.11,58.65,59.11,58.445,07/29/14
59.06,58.905,59.28,58.61,07/30/14
58.65,57.68,58.68,57.66,07/31/14
57.4,56.47,57.48,55.97,08/01/14
56.95,56.66,56.96,56.34,08/04/14
56.43,56.04,56.6,55.6,08/05/14
55.87,56.23,56.69,55.83,08/06/14
56.66,55.91,56.69,55.68,08/07/14
55.89,56.33,56.36,55.64,08/08/14
56.57,56.295,56.57,56.18,08/11/14
56.17,56.35,56.55,56.13,08/12/14
56.61,56.72,56.84,56.5065,08/13/14
56.78,56.98,57.0,56.71,08/14/14
57.23,56.735,57.5,56.39,08/15/14
56.87,57.22,57.43,56.76,08/18/14
57.59,57.56,57.72,57.34,08/19/14
57.45,57.63,57.85,57.39,08/20/14
57.54,58.5,58.77,57.54,08/21/14
58.45,58.5,59.08,58.33,08/22/14
58.93,59.36,59.83,58.87,08/25/14
59.56,59.75,59.95,59.385,08/26/14
59.8,59.58,59.95,59.53,08/27/14
59.22,59.18,59.36,58.81,08/28/14
59.33,59.44,59.65,59.2301,08/29/14
59.45,59.66,59.71,59.15,09/02/14
60.02,59.715,60.37,59.46,09/03/14
59.69,59.715,60.14,59.43,09/04/14
59.58,59.89,59.91,59.221,09/05/14
59.82,59.89,60.22,59.74,09/08/14
59.66,59.06,59.68,58.78,09/09/14
59.15,59.24,59.56,58.92,09/10/14
59.13,59.76,59.84,59.01,09/11/14
59.8,60.04,60.41,59.76,09/12/14
59.74,59.93,59.99,59.45,09/15/14
59.73,59.995,60.19,59.62,09/16/14
59.95,60.3,60.59,59.82,09/17/14
60.58,61.31,61.4,60.57,09/18/14
61.75,61.169,61.83,60.981,09/19/14
60.98,60.92,61.45,60.8,09/22/14
60.78,60.95,61.4,60.77,09/23/14
61.11,61.63,61.64,61.02,09/24/14
61.42,60.2,61.64,60.15,09/25/14
60.35,60.56,60.88,60.32,09/26/14
59.89,60.335,60.5,59.73,09/29/14
60.43,60.25,60.74,60.13,09/30/14
60.27,59.78,60.4,59.73,10/01/14
59.15,58.84,59.49,58.6101,10/02/14
59.26,60.29,60.385,59.05,10/03/14
60.75,60.185,60.8,60.0,10/06/14
59.88,59.26,59.89,59.185,10/07/14
59.26,60.37,60.43,59.21,10/08/14
60.315,59.095,60.33,58.89,10/09/14
59.02,58.53,59.81,58.51,10/10/14
58.45,58.18,59.145,58.11,10/13/14
56.59,57.97,58.52,56.06,10/14/14
57.01,55.51,57.38,54.26,10/15/14
54.69,55.075,55.98,54.28,10/16/14
55.91,56.19,56.78,55.57,10/17/14
56.09,56.62,56.7472,56.075,10/20/14
57.21,57.91,58.01,57.08,10/21/14
57.94,57.47,58.26,57.44,10/22/14
58.12,58.04,58.595,57.939,10/23/14
58.0,58.74,58.775,58.0,10/24/14
58.46,58.64,58.79,58.25,10/27/14
58.92,59.62,59.69,58.81,10/28/14
59.59,59.27,59.78,58.76,10/29/14
59.02,59.38,59.68,58.92,10/30/14
60.13,60.47,60.54,59.87,10/31/14
60.63,60.88,61.15,60.36,11/03/14
60.25,60.22,60.35,59.42,11/04/14
60.8,61.13,61.23,60.39,11/05/14
61.12,61.23,61.3101,60.63,11/06/14
61.08,61.45,61.55,60.86,11/07/14
61.32,61.93,61.93,61.2,11/10/14
61.68,61.36,61.89,61.295,11/11/14
60.4,60.55,60.84,60.23,11/12/14
60.5,60.22,60.625,59.99,11/13/14
60.25,60.29,60.62,60.18,11/14/14
60.03,60.36,60.53,59.9,11/17/14
60.32,60.54,60.82,60.2,11/18/14
60.45,60.6,60.79,60.15,11/19/14
60.19,60.11,60.24,59.75,11/20/14
61.03,60.42,61.05,60.3,11/21/14
60.75,60.95,61.3,60.7,11/24/14
61.09,60.3,61.09,59.955,11/25/14
60.55,60.34,61.075,59.955,11/26/14
60.43,60.18,60.56,60.03,11/28/14
60.01,59.995,60.21,59.55,12/01/14
60.01,61.06,61.19,60.0,12/02/14
60.96,61.54,61.62,60.81,12/03/14
61.12,61.39,61.565,60.84,12/04/14
62.01,62.71,63.06,61.88,12/05/14
62.57,62.69,63.16,62.2601,12/08/14
61.76,62.43,63.157,61.56,12/09/14
62.16,60.69,62.24,60.375,12/10/14
61.17,61.16,62.06,61.11,12/11/14
60.53,60.06,62.06,59.97,12/12/14
60.7,59.15,60.73,58.79,12/15/14
58.5,58.43,59.86,58.1175,12/16/14
58.55,59.77,59.83,58.34,12/17/14
60.65,61.45,61.48,60.44,12/18/14
61.37,61.94,62.35,61.37,12/19/14
62.2,61.94,62.33,61.61,12/22/14
62.05,62.47,62.97,61.945,12/23/14
62.77,62.455,62.87,62.27,12/24/14
62.64,62.55,62.89,62.41,12/26/14
62.41,62.99,63.3361,62.25,12/29/14
62.69,63.15,63.28,62.58,12/30/14
63.33,62.6,63.49,62.58,12/31/14
62.62,62.5,62.96,62.075,01/02/15
62.1,60.55,62.28,60.24,01/05/15
60.73,58.99,60.75,58.35,01/06/15
59.75,59.06,59.82,58.665,01/07/15
59.97,60.395,60.73,59.97,01/08/15
60.74,59.35,60.79,59.29,01/09/15
59.28,58.81,59.4,58.27,01/12/15
59.24,58.88,59.7,58.37,01/13/15
56.9,56.79,56.99,55.27,01/14/15
55.74,55.0,56.61,54.51,01/15/15
54.61,55.98,56.0,54.655,01/16/15
56.07,55.73,56.39,55.4232,01/20/15
55.5,55.9,56.42,55.2,01/21/15
56.39,57.61,57.73,55.955,01/22/15
57.62,56.68,57.87,56.66,01/23/15
56.41,56.77,56.99,56.2,01/26/15
56.04,56.215,56.61,55.755,01/27/15
56.58,54.765,56.68,54.75,01/28/15
55.23,55.675,55.89,54.69,01/29/15
54.95,54.42,55.495,54.37,01/30/15
54.545,55.48,55.65,54.27,02/02/15
55.94,56.73,56.78,55.87,02/03/15
56.4,56.39,57.065,55.9,02/04/15
56.86,56.77,57.04,56.46,02/05/15
57.72,57.9,58.73,57.55,02/06/15
57.41,57.81,58.095,57.2355,02/09/15
58.42,58.44,58.7082,58.0501,02/10/15
58.09,58.36,58.655,57.84,02/11/15
58.82,59.54,59.71,58.55,02/12/15
59.51,59.66,60.22,59.34,02/13/15
59.49,60.07,60.14,59.315,02/17/15
59.79,59.35,59.8324,59.1238,02/18/15
59.15,59.225,59.48,58.8,02/19/15
58.97,59.79,59.89,58.36,02/20/15
59.5,59.35,59.53,58.8,02/23/15
60.25,60.83,61.25,60.1,02/24/15
60.79,61.15,61.27,60.75,02/25/15
61.03,61.59,61.695,60.91,02/26/15
61.18,61.3,61.92,61.18,02/27/15
61.23,61.76,61.83,61.03,03/02/15
61.69,61.97,61.99,61.5,03/03/15
61.57,62.13,62.17,61.3525,03/04/15
62.18,62.0,62.2,61.6,03/05/15
62.18,60.89,62.87,60.8,03/06/15
60.86,61.51,61.63,60.8,03/09/15
60.71,60.02,61.01,59.96,03/10/15
60.12,60.22,60.65,59.955,03/11/15
60.8,61.35,61.45,60.67,03/12/15
61.37,60.98,61.86,60.4301,03/13/15
61.5,61.85,61.9199,61.25,03/16/15
61.34,61.63,61.66,60.92,03/17/15
61.39,61.74,62.05,61.085,03/18/15
61.57,61.23,61.65,60.76,03/19/15
61.32,61.76,62.1,61.1599,03/20/15
61.63,61.125,62.08,61.12,03/23/15
60.98,60.47,61.24,60.45,03/24/15
60.63,59.62,60.64,59.5951,03/25/15
59.46,59.55,59.79,58.87,03/26/15
59.34,59.54,59.78,59.0,03/27/15
60.86,60.96,61.46,60.615,03/30/15
60.71,60.63,60.94,60.42,03/31/15
60.3,59.97,60.57,59.73,04/01/15
60.1,60.52,60.6999,60.05,04/02/15
59.92,60.49,60.744,59.65,04/06/15
61.12,60.85,61.34,60.85,04/07/15
61.08,61.05,61.56,60.95,04/08/15
61.23,61.455,61.57,60.83,04/09/15
61.35,61.7,61.78,61.23,04/10/15
61.54,62.12,62.27,61.5,04/13/15
62.98,63.06,63.6,62.74,04/14/15
63.08,64.19,64.48,63.01,04/15/15
64.0,63.815,64.27,63.66,04/16/15
63.25,62.84,63.39,62.49,04/17/15
63.16,63.24,63.52,63.14,04/20/15
63.25,62.32,63.59,62.13,04/21/15
62.6,62.93,63.15,62.03,04/22/15
62.805,62.81,63.21,62.6,04/23/15
62.63,62.62,63.21,62.35,04/24/15
62.7,62.35,63.15,62.31,04/27/15
62.49,62.76,62.78,61.77,04/28/15
62.51,63.6,63.89,62.47,04/29/15
63.63,63.26,63.87,62.92,04/30/15
63.75,63.59,63.87,63.33,05/01/15
63.68,64.71,64.87,63.65,05/04/15
64.39,64.39,65.32,64.29,05/05/15
64.54,63.91,65.06,63.42,05/06/15
63.72,64.47,64.595,63.25,05/07/15
64.97,65.47,65.65,64.6,05/08/15
65.31,65.46,65.64,65.075,05/11/15
65.31,65.35,65.54,64.76,05/12/15
65.37,65.53,65.63,65.065,05/13/15
65.84,66.045,66.18,65.71,05/14/15
66.13,65.86,66.16,65.435,05/15/15
65.88,66.42,66.54,65.85,05/18/15
66.65,67.02,67.1899,66.57,05/19/15
67.01,66.47,67.1899,66.4,05/20/15
66.14,66.67,66.68,66.015,05/21/15
66.62,66.49,66.83,66.325,05/22/15
66.25,65.75,66.28,65.31,05/26/15
65.95,66.47,66.645,65.825,05/27/15
66.36,66.21,66.4,65.74,05/28/15
66.21,65.77,66.22,65.36,05/29/15
66.03,66.06,66.66,66.0,06/01/15
65.87,66.0,66.39,65.58,06/02/15
66.43,66.7,67.13,66.27,06/03/15
66.44,66.36,67.05,66.01,06/04/15
67.35,67.42,67.84,67.01,06/05/15
67.46,66.86,67.55,66.81,06/08/15
66.9,67.17,67.27,66.47,06/09/15
67.56,68.25,68.495,67.4701,06/10/15
68.37,68.54,68.68,68.1547,06/11/15
68.31,68.24,68.54,67.87,06/12/15
67.58,67.99,68.21,67.3,06/15/15
67.79,68.38,68.52,67.6201,06/16/15
68.41,68.13,68.68,68.035,06/17/15
68.32,68.77,68.81,67.9,06/18/15
68.45,68.06,68.67,67.92,06/19/15
68.86,68.96,69.29,68.76,06/22/15
69.31,69.75,69.82,69.19,06/23/15
69.47,69.02,69.77,68.91,06/24/15
69.34,68.67,69.475,68.64,06/25/15
68.97,68.96,69.285,68.765,06/26/15
67.78,67.22,68.26,67.16,06/29/15
67.84,67.77,68.11,67.16,06/30/15
68.28,68.1,68.39,67.78,07/01/15
67.92,67.49,68.13,67.185,07/02/15
66.78,67.33,67.46,66.54,07/06/15
67.13,66.83,67.22,65.3,07/07/15
66.1,65.41,66.16,65.205,07/08/15
66.49,66.12,66.7034,65.99,07/09/15
67.15,67.05,67.39,66.825,07/10/15
67.85,68.04,68.14,67.68,07/13/15
68.0,69.06,69.1,67.76,07/14/15
69.26,69.18,69.41,68.85,07/15/15
69.69,69.58,69.95,69.41,07/16/15
69.41,69.21,69.49,68.92,07/17/15
69.44,69.23,69.766,69.18,07/20/15
69.16,69.08,69.54,68.87,07/21/15
69.2,70.06,70.2901,69.2,07/22/15
70.16,69.625,70.605,69.46,07/23/15
69.4,68.91,69.56,68.68,07/24/15
68.15,67.99,68.21,67.57,07/27/15
68.59,68.04,68.6,67.77,07/28/15
68.31,68.96,69.0962,68.16,07/29/15
68.91,69.04,69.45,68.5399,07/30/15
69.01,68.56,69.04,68.4001,07/31/15
68.62,68.55,68.84,68.0,08/03/15
68.51,68.46,68.95,68.31,08/04/15
69.05,68.74,69.4159,68.57,08/05/15
68.64,68.27,68.94,68.0,08/06/15
68.33,68.06,68.73,67.551,08/07/15
68.415,68.92,69.005,68.29,08/10/15
68.23,68.24,68.4,67.85,08/11/15
67.41,67.23,67.55,66.07,08/12/15
67.25,67.58,67.8,66.98,08/13/15
67.41,67.89,67.91,67.41,08/14/15
67.58,68.06,68.23,67.41,08/17/15
67.98,68.22,68.36,67.8399,08/18/15
67.92,67.61,68.31,67.365,08/19/15
66.82,65.95,67.0325,65.94,08/20/15
65.0,63.57,65.44,63.57,08/21/15
59.32,60.27,62.92,50.07,08/24/15
63.18,59.94,63.3203,59.73,08/25/15
61.81,62.93,62.98,60.55,08/26/15
63.92,64.62,64.72,63.14,08/27/15
64.14,64.14,64.46,63.6,08/28/15
63.69,64.12,64.35,63.47,08/31/15
62.73,61.44,62.83,60.99,09/01/15
62.62,62.545,62.9125,61.545,09/02/15
