Open,Close,High,Low,Date
40.98,40.68,41.0,40.61,07/28/14
40.66,40.36,40.78,40.35,07/29/14
40.45,39.615,40.5,39.61,07/30/14
39.53,39.3,39.73,39.25,07/31/14
39.03,39.3,39.49,39.03,08/01/14
39.38,39.4,39.46,39.115,08/04/14
39.39,39.17,39.525,39.1,08/05/14
39.13,39.92,39.96,39.13,08/06/14
40.01,39.35,40.01,39.33,08/07/14
39.34,39.46,39.575,39.26,08/08/14
39.52,39.57,39.87,39.52,08/11/14
39.56,39.67,39.84,39.55,08/12/14
39.81,39.93,40.1,39.77,08/13/14
39.93,40.19,40.19,39.93,08/14/14
40.8,40.88,41.15,40.6601,08/15/14
40.83,41.35,41.42,40.81,08/18/14
41.28,41.26,41.48,41.17,08/19/14
41.165,41.24,41.34,41.09,08/20/14
41.3,41.4,41.69,41.22,08/21/14
41.37,41.12,41.52,41.1,08/22/14
41.32,41.42,41.445,41.12,08/25/14
41.41,41.6,41.7,41.41,08/26/14
41.5,41.59,41.71,41.44,08/27/14
41.5,41.64,41.69,41.44,08/28/14
41.6,41.72,41.75,41.47,08/29/14
41.53,41.63,41.84,41.31,09/02/14
41.85,41.785,41.85,41.67,09/03/14
41.82,41.86,42.17,41.7325,09/04/14
41.74,41.83,41.86,41.61,09/05/14
41.7,41.77,41.94,41.65,09/08/14
41.76,41.94,42.03,41.76,09/09/14
41.9,42.18,42.19,41.87,09/10/14
41.68,41.955,42.06,41.66,09/11/14
41.86,41.455,41.92,41.36,09/12/14
41.55,41.5,41.58,41.33,09/15/14
41.29,41.65,41.795,41.18,09/16/14
41.8,41.61,41.8,41.315,09/17/14
41.53,41.8,41.88,41.53,09/18/14
41.97,42.03,42.34,41.75,09/19/14
41.85,42.24,42.25,41.85,09/22/14
42.02,41.9,42.16,41.88,09/23/14
41.85,42.27,42.34,41.85,09/24/14
42.07,41.79,42.34,41.77,09/25/14
41.92,42.19,42.25,41.71,09/26/14
41.91,42.26,42.26,41.89,09/29/14
42.1,42.67,42.81,42.08,09/30/14
42.55,42.73,42.85,42.37,10/01/14
42.69,42.65,42.779,42.42,10/02/14
42.86,42.99,43.07,42.66,10/03/14
43.03,43.605,43.68,42.97,10/06/14
43.48,43.93,44.14,43.48,10/07/14
43.64,44.54,44.56,43.51,10/08/14
44.42,43.89,44.75,43.87,10/09/14
43.88,44.47,44.87,43.88,10/10/14
44.28,44.08,44.63,44.03,10/13/14
44.07,43.65,44.12,43.47,10/14/14
42.85,43.23,43.53,42.745,10/15/14
42.58,42.54,42.94,42.38,10/16/14
42.69,42.88,43.025,42.315,10/17/14
42.75,43.26,43.4672,42.71,10/20/14
40.69,40.67,41.18,40.26,10/21/14
40.21,40.63,41.11,40.1,10/22/14
40.96,40.84,41.37,40.74,10/23/14
41.0,41.02,41.2699,40.92,10/24/14
40.8,40.755,40.905,40.56,10/27/14
40.76,40.54,40.86,40.51,10/28/14
40.68,40.96,41.02,40.5201,10/29/14
40.96,41.4,41.59,40.83,10/30/14
41.81,41.87,41.89,41.4,10/31/14
41.79,41.79,42.28,41.59,11/03/14
41.81,41.82,42.05,41.7,11/04/14
42.35,42.295,42.54,41.99,11/05/14
42.45,42.28,42.62,42.11,11/06/14
42.45,42.31,42.4599,42.14,11/07/14
42.28,42.39,42.57,42.09,11/10/14
42.38,42.51,42.71,42.379,11/11/14
42.47,42.705,42.89,42.31,11/12/14
42.69,42.79,43.08,42.6299,11/13/14
42.56,42.73,42.97,42.5,11/14/14
42.75,42.92,42.99,42.73,11/17/14
42.99,43.54,43.86,42.75,11/18/14
43.54,44.21,44.4297,43.54,11/19/14
43.85,44.27,44.4132,43.85,11/20/14
44.62,44.5,44.74,44.28,11/21/14
44.49,44.29,44.771,44.2,11/24/14
44.17,44.43,44.59,44.12,11/25/14
43.98,44.29,44.59,43.97,11/26/14
44.23,44.85,45.0,44.19,11/28/14
44.32,44.58,44.765,44.22,12/01/14
44.38,44.56,44.67,44.23,12/02/14
44.42,43.79,44.43,43.76,12/03/14
43.62,43.49,43.84,43.37,12/04/14
43.32,43.53,43.61,43.2,12/05/14
43.56,43.14,43.629,43.0901,12/08/14
42.31,42.01,43.629,41.67,12/09/14
42.04,41.61,42.24,41.56,12/10/14
41.61,41.54,42.01,41.5,12/11/14
41.35,40.91,42.01,40.88,12/12/14
41.1,40.57,41.18,40.56,12/15/14
40.21,40.42,41.31,39.8,12/16/14
40.44,41.555,41.76,40.39,12/17/14
41.86,42.37,42.39,41.75,12/18/14
42.49,41.95,42.79,41.89,12/19/14
42.14,42.36,42.435,42.09,12/22/14
42.54,42.975,43.14,42.47,12/23/14
43.11,42.95,43.23,42.92,12/24/14
42.95,42.96,43.3,42.93,12/26/14
42.82,42.88,43.06,42.49,12/29/14
42.72,42.76,42.99,42.655,12/30/14
42.91,42.23,42.94,42.22,12/31/14
42.28,42.13,42.4,41.8,01/02/15
42.69,42.155,42.96,42.08,01/05/15
42.38,42.41,42.94,42.24,01/06/15
42.57,42.98,43.11,42.58,01/07/15
43.24,43.49,43.57,43.1,01/08/15
43.5,43.02,43.56,42.95,01/09/15
43.08,42.63,43.195,42.46,01/12/15
42.82,42.64,43.24,42.4528,01/13/15
42.08,42.56,42.599,42.08,01/14/15
42.85,42.38,42.86,42.17,01/15/15
42.36,42.52,42.59,42.24,01/16/15
42.7,43.17,43.325,42.615,01/20/15
42.89,43.37,43.43,42.77,01/21/15
43.41,43.78,43.825,43.0744,01/22/15
43.59,43.31,43.75,43.18,01/23/15
43.16,42.995,43.23,42.83,01/26/15
42.52,42.43,42.638,42.15,01/27/15
42.6,41.94,42.79,41.9,01/28/15
41.9,42.09,42.15,41.47,01/29/15
41.77,41.18,41.93,41.11,01/30/15
41.21,41.59,41.63,40.9,02/02/15
41.83,41.62,41.847,41.37,02/03/15
41.77,41.68,42.0848,41.375,02/04/15
41.8,41.79,41.82,41.51,02/05/15
41.63,41.47,41.76,41.32,02/06/15
41.36,41.22,41.45,41.04,02/09/15
42.95,42.4,43.03,42.2,02/10/15
42.09,42.35,42.49,41.7,02/11/15
42.4,42.17,42.66,42.07,02/12/15
42.04,41.99,42.23,41.76,02/13/15
41.8,41.79,41.88,41.64,02/17/15
41.75,41.715,41.8,41.47,02/18/15
41.69,42.12,42.24,41.53,02/19/15
42.03,41.97,42.03,41.64,02/20/15
41.7,41.86,42.165,41.69,02/23/15
41.83,42.15,42.33,41.78,02/24/15
42.21,42.04,42.24,41.74,02/25/15
42.03,42.48,42.55,41.97,02/26/15
42.53,43.3,43.66,42.47,02/27/15
43.14,43.185,43.28,43.08,03/02/15
43.08,42.96,43.16,42.84,03/03/15
42.91,42.5,42.91,42.47,03/04/15
42.58,42.4,42.605,42.25,03/05/15
42.12,41.51,42.195,41.33,03/06/15
41.53,41.395,41.55,41.32,03/09/15
41.1,40.71,41.15,40.68,03/10/15
40.69,40.1,40.7,40.08,03/11/15
40.06,40.56,40.57,40.02,03/12/15
40.4,39.92,40.55,39.61,03/13/15
39.99,40.29,40.35,39.99,03/16/15
40.63,40.52,40.73,40.32,03/17/15
40.48,40.58,40.79,39.8,03/18/15
40.47,40.03,40.52,39.96,03/19/15
40.09,40.62,40.65,40.01,03/20/15
40.64,40.62,40.94,40.5,03/23/15
40.75,40.49,40.985,40.47,03/24/15
40.6,40.45,40.7,40.24,03/25/15
40.39,40.35,40.56,40.23,03/26/15
40.43,40.08,40.47,39.97,03/27/15
40.08,40.51,40.61,39.94,03/30/15
40.51,40.55,40.9,40.355,03/31/15
40.81,40.68,40.81,40.23,04/01/15
40.74,40.68,40.87,40.48,04/02/15
40.8,41.19,41.61,40.59,04/06/15
41.08,40.99,41.35,40.97,04/07/15
40.98,40.89,41.09,40.745,04/08/15
40.8,41.03,41.08,40.63,04/09/15
41.09,40.89,41.15,40.855,04/10/15
40.96,40.715,40.96,40.7,04/13/15
40.65,40.525,40.65,40.3199,04/14/15
40.58,40.395,40.81,40.32,04/15/15
40.41,40.61,40.86,40.3,04/16/15
40.46,40.31,40.66,40.105,04/17/15
40.42,40.66,40.9,40.41,04/20/15
40.7,40.8,40.9875,40.54,04/21/15
41.68,41.305,41.57,41.07,04/22/15
41.22,40.97,41.41,40.9218,04/23/15
41.02,40.885,41.41,40.815,04/24/15
41.0,40.84,41.15,40.78,04/27/15
40.97,40.79,40.97,40.6,04/28/15
40.66,40.48,40.75,40.4,04/29/15
40.4,40.56,40.58,40.28,04/30/15
40.67,40.92,40.925,40.5,05/01/15
40.865,40.96,41.09,40.78,05/04/15
41.14,40.75,41.14,40.6837,05/05/15
40.99,40.69,41.08,40.39,05/06/15
40.63,40.7,40.9,40.5162,05/07/15
40.99,40.97,41.17,40.85,05/08/15
41.02,40.94,41.39,40.88,05/11/15
40.77,40.695,40.959,40.52,05/12/15
40.75,41.05,41.355,40.72,05/13/15
41.3,41.48,41.595,41.2549,05/14/15
41.45,41.515,41.69,41.43,05/15/15
41.48,41.31,41.49,41.25,05/18/15
41.19,41.3,41.39,41.135,05/19/15
41.37,41.35,41.59,41.135,05/20/15
41.27,41.24,41.32,41.07,05/21/15
