Open,Close,High,Low,Date
95.5,95.78,95.97,95.4,07/28/14
95.72,95.84,96.42,95.7126,07/29/14
96.12,95.97,96.335,95.572,07/30/14
95.07,94.58,95.35,94.57,07/31/14
94.26,94.32,94.72,94.211,08/01/14
94.42,94.31,94.42,93.52,08/04/14
94.0,93.43,94.29,93.35,08/05/14
93.42,93.46,93.95,93.39,08/06/14
93.8,93.31,94.0,93.2368,08/07/14
92.98,93.55,93.79,92.92,08/08/14
93.775,93.52,93.92,93.46,08/11/14
93.43,93.55,93.64,93.15,08/12/14
93.71,93.95,94.31,93.55,08/13/14
93.65,93.66,93.89,93.27,08/14/14
94.08,93.79,94.47,93.41,08/15/14
93.94,94.26,94.74,93.93,08/18/14
94.57,94.45,94.75,94.26,08/19/14
94.45,94.19,94.54,94.0,08/20/14
94.34,94.53,94.76,94.24,08/21/14
94.46,94.45,94.8595,94.27,08/22/14
94.875,94.45,95.37,94.41,08/25/14
94.4,94.1,94.79,94.05,08/26/14
94.24,94.64,94.68,93.605,08/27/14
93.58,94.16,94.75,93.52,08/28/14
94.2,93.71,94.2,93.51,08/29/14
93.24,92.79,93.69,92.69,09/02/14
93.33,93.14,93.49,93.0375,09/03/14
93.03,93.01,93.23,92.8,09/04/14
93.07,93.03,93.12,92.8,09/05/14
92.8,92.49,92.82,92.2,09/08/14
92.31,91.09,92.66,91.02,09/09/14
90.84,93.0,93.05,90.5301,09/10/14
92.94,92.97,93.29,92.42,09/11/14
92.74,93.35,93.84,92.74,09/12/14
93.27,93.465,93.91,93.25,09/15/14
93.27,93.74,94.11,93.25,09/16/14
93.59,93.53,93.82,93.1902,09/17/14
93.55,93.48,93.9,93.26,09/18/14
93.86,94.4,94.92,93.82,09/19/14
94.18,93.93,94.46,93.82,09/22/14
93.71,93.53,94.15,93.44,09/23/14
93.72,95.03,95.32,93.664,09/24/14
94.9,94.2,95.32,93.664,09/25/14
94.07,94.69,94.88,94.04,09/26/14
94.28,96.23,97.3,93.98,09/29/14
96.25,94.81,96.308,94.34,09/30/14
94.39,94.2,95.08,94.01,10/01/14
94.03,94.12,94.6,94.0,10/02/14
95.29,94.85,95.29,94.506,10/03/14
94.35,93.83,94.43,93.69,10/06/14
93.51,92.8,93.54,92.8,10/07/14
93.08,93.83,93.945,92.81,10/08/14
93.75,92.71,94.0,92.71,10/09/14
92.56,92.3,93.445,92.3,10/10/14
92.2,90.75,92.42,90.66,10/13/14
90.8,91.13,91.74,90.6281,10/14/14
90.49,90.45,90.98,89.57,10/15/14
89.49,89.87,90.2899,89.34,10/16/14
90.25,91.03,91.14,89.64,10/17/14
91.26,91.54,91.59,90.7073,10/20/14
89.94,90.95,91.45,89.7,10/21/14
90.71,90.95,91.51,90.6,10/22/14
91.85,90.98,92.0999,90.88,10/23/14
90.77,91.66,91.79,90.55,10/24/14
