Open,Close,High,Low,Date
144.93,145.53,145.63,143.79,07/28/14
145.42,144.03,146.26,143.99,07/29/14
144.43,143.75,144.75,143.55,07/30/14
143.1,140.92,143.55,140.6,07/31/14
140.3,140.13,141.01,139.08,08/01/14
140.45,140.78,140.98,139.21,08/04/14
140.13,139.79,141.11,139.34,08/05/14
139.07,139.53,139.93,138.43,08/06/14
140.065,139.13,140.3701,138.96,08/07/14
139.48,140.8,140.885,138.91,08/08/14
140.93,140.56,141.5,140.54,08/11/14
140.58,140.88,141.21,140.5,08/12/14
141.35,141.8,141.83,140.92,08/13/14
141.98,142.3,142.39,141.86,08/14/14
142.78,141.9,142.98,141.02,08/15/14
142.75,144.12,144.19,142.75,08/18/14
144.46,144.24,144.51,143.81,08/19/14
143.57,144.6,144.82,143.57,08/20/14
144.63,144.51,144.99,144.3501,08/21/14
144.36,144.13,144.82,144.0201,08/22/14
144.64,144.74,144.9837,144.43,08/25/14
144.74,144.59,145.39,144.58,08/26/14
144.45,143.94,144.84,143.63,08/27/14
143.38,144.0,144.12,143.045,08/28/14
144.12,143.99,144.39,143.18,08/29/14
143.54,144.21,144.604,143.3,09/02/14
144.54,143.84,144.71,143.55,09/03/14
144.14,143.62,144.65,143.345,09/04/14
143.35,144.18,144.31,143.15,09/05/14
144.28,144.86,145.44,144.11,09/08/14
144.85,144.46,145.26,144.25,09/09/14
144.69,144.67,144.99,144.0,09/10/14
143.99,144.35,144.38,143.6,09/11/14
144.44,143.93,144.45,143.5,09/12/14
144.34,144.48,144.68,143.67,09/15/14
144.0,144.84,144.98,143.59,09/16/14
144.86,145.38,145.78,144.27,09/17/14
145.78,146.86,147.06,145.7,09/18/14
147.715,146.7,147.87,146.52,09/19/14
146.77,145.74,147.0,145.5,09/22/14
145.1,144.42,145.595,144.35,09/23/14
144.2,144.92,145.12,143.72,09/24/14
144.46,142.54,145.12,142.07,09/25/14
142.52,142.4,142.89,140.98,09/26/14
140.68,142.17,142.34,140.66,09/29/14
142.51,141.69,142.8915,141.28,09/30/14
141.31,139.15,141.67,138.72,10/01/14
138.76,138.68,139.32,137.95,10/02/14
139.21,140.16,140.45,138.57,10/03/14
140.54,140.35,141.26,139.59,10/06/14
139.65,137.69,140.18,137.66,10/07/14
138.22,141.36,141.48,137.72,10/08/14
141.07,138.67,141.5,138.34,10/09/14
139.3,133.84,139.597,133.82,10/10/14
134.26,132.94,135.35,132.6801,10/13/14
133.57,134.2,135.89,133.2175,10/14/14
132.21,134.16,134.63,130.6,10/15/14
132.76,134.99,135.97,132.752,10/16/14
135.75,137.35,137.85,135.75,10/17/14
137.33,137.58,137.74,136.76,10/20/14
138.41,140.94,141.1,138.34,10/21/14
140.82,138.96,141.08,138.71,10/22/14
141.92,145.08,147.92,141.92,10/23/14
144.97,148.61,148.79,144.81,10/24/14
148.58,149.6,149.71,147.34,10/27/14
149.84,150.99,151.1279,149.56,10/28/14
151.39,151.02,151.7299,150.2,10/29/14
150.5,152.13,152.4,150.0,10/30/14
153.34,153.69,154.43,153.09,10/31/14
153.24,153.22,154.39,152.98,11/03/14
153.85,154.97,155.23,153.24,11/04/14
155.68,155.6,156.24,154.14,11/05/14
155.74,156.07,156.67,155.21,11/06/14
155.75,156.55,156.62,155.475,11/07/14
156.31,157.69,157.7,156.05,11/10/14
157.8,157.11,157.96,156.655,11/11/14
156.66,157.71,157.87,156.5,11/12/14
157.97,158.37,159.07,157.62,11/13/14
158.53,158.88,158.88,157.71,11/14/14
158.29,158.69,159.135,158.09,11/17/14
158.94,160.15,160.46,158.8775,11/18/14
159.31,158.76,159.39,157.97,11/19/14
158.23,159.33,159.55,157.87,11/20/14
160.37,160.12,160.86,159.59,11/21/14
160.16,159.89,160.554,159.41,11/24/14
159.52,158.23,159.64,158.06,11/25/14
158.0,158.37,159.64,157.5,11/26/14
158.78,160.13,160.82,158.8,11/28/14
158.35,158.21,159.5,157.86,12/01/14
158.8,160.56,160.77,158.54,12/02/14
161.08,162.24,162.44,160.21,12/03/14
161.92,162.26,162.92,160.91,12/04/14
162.5,162.21,162.9,161.89,12/05/14
162.16,160.99,162.8,160.1,12/08/14
159.89,160.85,162.754,159.13,12/09/14
160.6,158.32,160.71,157.7,12/10/14
159.22,159.16,160.22,158.42,12/11/14
158.73,157.26,160.21,157.1901,12/12/14
158.12,156.84,158.4399,155.59,12/15/14
157.26,159.09,161.43,157.15,12/16/14
159.02,160.58,160.89,157.78,12/17/14
162.57,165.2,165.3,162.0,12/18/14
164.93,165.52,166.08,164.3801,12/19/14
166.19,167.28,167.305,166.14,12/22/14
167.46,166.94,168.16,166.87,12/23/14
166.42,167.06,167.6,166.34,12/24/14
167.71,166.29,167.77,166.16,12/26/14
166.54,166.7,167.12,165.83,12/29/14
166.525,165.83,166.74,165.29,12/30/14
166.03,164.34,167.17,164.2,12/31/14
163.65,164.07,165.06,162.7399,01/02/15
163.0,160.37,163.64,160.09,01/05/15
160.85,158.6,161.3699,157.744,01/06/15
159.89,159.82,160.28,158.96,01/07/15
161.01,163.48,163.69,160.52,01/08/15
163.84,161.71,163.99,161.27,01/09/15
162.02,160.74,162.39,160.04,01/12/15
162.33,160.59,164.3773,159.45,01/13/15
159.1,159.8,160.47,158.53,01/14/15
160.52,159.67,161.44,159.3675,01/15/15
159.81,161.98,162.175,159.11,01/16/15
163.13,161.88,163.4,160.06,01/20/15
161.3,162.58,163.353,161.02,01/21/15
163.59,165.91,165.99,162.13,01/22/15
165.69,163.94,165.97,163.91,01/23/15
163.8,164.16,164.28,161.8001,01/26/15
162.38,163.6,165.14,160.9694,01/27/15
164.61,164.0,166.57,163.76,01/28/15
164.04,166.13,166.16,162.91,01/29/15
164.75,162.41,165.13,162.3,01/30/15
162.16,164.44,164.62,160.9,02/02/15
165.17,165.9,166.19,164.71,02/03/15
165.78,164.76,166.175,164.25,02/04/15
165.31,166.49,166.59,164.77,02/05/15
166.32,166.03,167.68,165.56,02/06/15
164.67,164.83,165.5002,163.84,02/09/15
165.4,165.78,166.125,164.6148,02/10/15
164.34,164.4,164.97,163.48,02/11/15
164.9,165.9,165.95,164.85,02/12/15
166.0,165.88,166.62,165.33,02/13/15
165.8,166.87,166.92,165.13,02/17/15
166.28,167.34,167.51,166.01,02/18/15
167.3,167.1,167.55,166.64,02/19/15
166.58,168.04,168.27,165.13,02/20/15
168.15,168.81,168.8668,167.7045,02/23/15
168.51,169.09,169.25,168.07,02/24/15
168.99,168.85,169.66,168.62,02/25/15
168.85,169.6,169.97,168.66,02/26/15
169.22,168.66,169.74,168.555,02/27/15
168.17,170.49,170.5,168.16,03/02/15
169.57,168.28,169.6,167.36,03/03/15
168.13,167.17,168.2,166.46,03/04/15
167.21,167.57,167.7,166.7,03/05/15
166.55,164.29,166.77,164.03,03/06/15
164.51,166.33,166.77,164.51,03/09/15
164.67,162.44,164.78,162.26,03/10/15
162.44,161.76,163.22,161.66,03/11/15
162.83,164.42,164.52,162.59,03/12/15
164.07,162.82,164.34,161.78,03/13/15
163.79,166.14,166.25,163.75,03/16/15
165.53,164.23,165.53,163.38,03/17/15
163.16,166.43,166.95,162.05,03/18/15
165.89,165.67,166.2,164.86,03/19/15
166.0,166.48,167.134,165.4,03/20/15
166.85,166.2,166.905,165.83,03/23/15
165.58,166.35,167.65,165.53,03/24/15
166.3,162.72,166.51,162.66,03/25/15
162.0,162.59,163.36,161.21,03/26/15
162.29,163.47,163.89,162.188,03/27/15
164.485,166.09,166.77,164.2,03/30/15
165.4,164.985,166.0,164.62,03/31/15
164.28,162.54,164.5,161.9225,04/01/15
163.38,162.78,163.97,162.12,04/02/15
161.66,165.48,165.983,161.42,04/06/15
165.37,166.15,167.57,165.29,04/07/15
166.29,166.27,167.22,165.21,04/08/15
166.28,166.81,167.18,165.08,04/09/15
167.48,167.05,167.68,166.22,04/10/15
167.0,165.85,167.3599,165.61,04/13/15
165.3,166.03,166.48,164.17,04/14/15
166.39,166.36,167.32,166.09,04/15/15
165.46,165.85,166.65,165.1,04/16/15
164.34,161.71,164.54,161.14,04/17/15
162.99,164.53,165.38,162.76,04/20/15
165.33,164.02,165.68,163.62,04/21/15
163.92,164.68,164.89,162.58,04/22/15
159.59,159.87,161.4428,158.61,04/23/15
159.53,158.99,161.4428,157.85,04/24/15
159.74,158.07,160.035,157.81,04/27/15
157.69,158.3,158.36,156.18,04/28/15
157.7,156.94,157.92,156.182,04/29/15
156.78,156.44,157.915,156.01,04/30/15
156.79,157.62,158.08,156.79,05/01/15
157.91,159.04,159.85,157.88,05/04/15
158.64,157.91,159.45,157.4169,05/05/15
157.92,157.65,159.08,156.55,05/06/15
157.4,158.64,159.19,157.23,05/07/15
160.4,160.56,161.384,160.12,05/08/15
160.09,159.91,161.0,159.8,05/11/15
158.72,160.11,160.39,158.01,05/12/15
160.4,161.35,161.71,160.43,05/13/15
162.16,163.11,163.3,161.8,05/14/15
163.15,163.31,163.77,162.65,05/15/15
163.26,162.84,163.58,162.31,05/18/15
162.76,163.16,163.566,162.56,05/19/15
162.4,161.92,163.566,161.84,05/20/15
161.97,162.02,162.3537,161.81,05/21/15
162.03,161.01,162.33,160.66,05/22/15
161.14,159.64,161.32,159.0399,05/26/15
160.08,161.05,161.31,159.53,05/27/15
160.57,160.89,160.89,159.61,05/28/15
160.4,159.13,160.79,158.74,05/29/15
159.57,159.06,159.76,158.57,06/01/15
158.28,159.09,159.88,157.95,06/02/15
159.74,160.19,160.493,158.98,06/03/15
160.23,158.44,160.38,158.1,06/04/15
157.69,157.08,157.97,156.97,06/05/15
156.74,156.6,157.41,156.3,06/08/15
156.85,156.97,158.26,156.63,06/09/15
157.3,158.97,159.56,157.3,06/10/15
159.11,159.89,160.36,159.0,06/11/15
159.85,158.04,159.99,157.9,06/12/15
157.06,155.87,157.17,155.39,06/15/15
155.76,156.44,157.04,155.37,06/16/15
156.75,156.95,157.5796,155.78,06/17/15
157.76,159.62,160.24,157.385,06/18/15
159.51,158.97,159.88,158.95,06/19/15
159.64,159.71,160.6997,159.45,06/22/15
160.41,159.93,160.87,159.52,06/23/15
159.55,157.56,159.95,157.56,06/24/15
158.15,155.93,158.32,155.92,06/25/15
156.36,157.11,157.98,155.93,06/26/15
155.83,154.01,156.44,153.92,06/29/15
154.65,154.28,155.3,154.0704,06/30/15
156.1,155.74,156.43,154.665,07/01/15
155.83,155.33,156.08,154.9,07/02/15
154.01,155.08,155.5699,153.84,07/06/15
155.14,155.47,155.63,153.166,07/07/15
154.02,152.77,154.5,152.71,07/08/15
154.02,153.78,155.5,153.76,07/09/15
154.96,154.97,155.8598,154.5001,07/10/15
156.16,156.48,156.77,155.65,07/13/15
156.55,156.78,157.07,156.28,07/14/15
156.78,156.05,157.0,155.9,07/15/15
157.67,157.18,157.94,156.7,07/16/15
156.44,156.69,157.37,156.43,07/17/15
156.73,157.06,157.65,156.27,07/20/15
156.89,155.8,157.1799,155.36,07/21/15
155.74,155.44,156.29,154.44,07/22/15
151.94,149.7,153.69,149.02,07/23/15
148.86,149.31,150.8,148.7,07/24/15
148.77,148.82,149.0,147.75,07/27/15
148.8,151.12,151.7,148.35,07/28/15
151.41,151.42,151.69,150.7238,07/29/15
150.99,151.57,151.73,150.3301,07/30/15
151.92,151.4,152.81,151.03,07/31/15
151.25,150.195,151.6599,148.9439,08/03/15
150.72,150.39,151.54,150.12,08/04/15
151.55,151.02,153.2,150.92,08/05/15
150.7,149.27,151.22,148.9,08/06/15
148.7,148.92,149.26,148.1625,08/07/15
150.21,151.23,151.39,149.89,08/10/15
149.6,148.49,150.0,148.26,08/11/15
147.17,148.5,148.71,146.07,08/12/15
148.46,147.4,148.5595,147.082,08/13/15
147.44,148.33,148.51,147.33,08/14/15
147.52,149.3,149.31,146.37,08/17/15
148.96,148.33,148.87,147.88,08/18/15
146.2,145.89,147.54,145.28,08/19/15
144.48,143.38,144.87,143.34,08/20/15
142.79,142.23,145.32,141.92,08/21/15
135.8,138.57,142.09,134.0,08/24/15
141.86,137.82,142.06,137.39,08/25/15
140.39,142.67,142.79,138.53,08/26/15
143.75,143.92,144.93,141.33,08/27/15
143.41,144.24,144.32,142.82,08/28/15
142.98,142.15,143.83,142.02,08/31/15
139.38,138.56,140.49,137.94,09/01/15
140.03,141.24,141.24,139.24,09/02/15
141.94,141.72,142.9,141.31,09/03/15
139.63,139.89,142.9,139.16,09/04/15
141.97,143.42,143.55,141.52,09/08/15
144.29,140.88,145.35,140.57,09/09/15
141.18,140.77,141.91,140.15,09/10/15
139.76,141.23,141.33,139.77,09/11/15
141.81,140.92,141.58,140.03,09/14/15
141.55,143.57,143.84,141.05,09/15/15
143.54,144.18,144.46,143.21,09/16/15
144.095,142.94,145.55,142.53,09/17/15
141.19,139.62,141.3,139.21,09/18/15
140.82,140.0,140.97,139.35,09/21/15
