Open,Close,High,Low,Date
55.67585,55.3416,55.71405,55.2461,07/28/14
56.15334,55.93369,56.61174,55.52305,07/29/14
55.93369,55.4944,56.20109,55.01213,07/30/14
55.19835,54.18606,55.4562,54.16696,07/31/14
54.05237,54.26246,54.54896,53.74868,08/01/14
54.41526,54.50121,54.69221,53.82794,08/04/14
54.17651,53.48892,54.40571,53.31702,08/05/14
53.36477,53.42207,53.61307,53.21293,08/06/14
53.66082,53.13558,54.01417,53.06873,08/07/14
53.36477,53.98552,54.06039,53.0735,08/08/14
54.14786,54.10012,54.47734,53.91867,08/11/14
54.00462,54.46301,54.55851,53.97597,08/12/14
54.80681,55.27475,55.2843,54.58716,08/13/14
55.4371,56.14379,56.14379,55.38935,08/14/14
56.17244,55.97189,56.34434,55.418,08/15/14
56.14379,55.76657,56.22019,55.7236,08/18/14
56.20109,56.25839,56.29659,55.71405,08/19/14
56.03874,56.80751,56.88868,55.89549,08/20/14
56.78363,56.19154,56.96508,56.14379,08/21/14
56.33479,56.50669,56.68814,56.24884,08/22/14
56.68814,57.06058,57.17518,56.58786,08/25/14
57.05103,57.49988,57.68132,56.98418,08/26/14
57.68132,57.54763,57.84367,57.40438,08/27/14
57.15608,57.32798,57.51898,57.14653,08/28/14
57.49988,57.40438,57.53808,57.13698,08/29/14
57.24203,57.08923,57.3805,56.98418,09/02/14
57.39483,57.75772,58.12062,57.35663,09/03/14
57.84367,57.37573,58.25432,57.22293,09/04/14
57.64312,58.38802,58.41666,57.44258,09/05/14
58.38802,58.30684,58.56946,58.09197,09/08/14
58.16837,57.83412,58.28297,57.74817,09/09/14
57.88187,58.02512,58.13017,57.63357,09/10/14
57.49033,57.40438,57.71952,57.11788,09/11/14
57.22293,56.86958,57.42348,56.59264,09/12/14
56.96508,56.85048,57.28978,56.82183,09/15/14
56.90778,57.29933,57.35185,56.61174,09/16/14
56.85048,57.18473,57.30888,56.62129,09/17/14
57.40438,57.60492,57.62402,57.12743,09/18/14
57.97737,57.78637,58.14927,57.76727,09/19/14
57.54763,57.87232,58.22567,57.54763,09/22/14
57.46168,57.59537,57.99647,57.00328,09/23/14
57.59537,57.64312,57.80547,57.51898,09/24/14
57.56672,56.95553,57.79592,56.94598,09/25/14
56.99373,56.69291,57.09878,55.91459,09/26/14
56.43984,56.74543,57.03193,56.16289,09/29/14
56.86958,56.62129,57.28023,56.58309,09/30/14
56.25839,56.06739,56.54489,55.86684,10/01/14
56.18199,56.19154,56.40164,55.6663,10/02/14
56.63084,57.18473,57.39005,56.51624,10/03/14
57.44258,56.89823,57.5333,56.63093,10/06/14
56.71678,55.82865,56.72633,55.8191,10/07/14
56.22974,57.45213,57.51898,55.93369,10/08/14
57.29933,56.55444,57.78637,56.44939,10/09/14
56.83138,56.02919,57.22293,56.02919,10/10/14
55.90504,53.58442,55.90504,53.46027,10/13/14
54.00462,53.81362,54.37706,53.22153,10/14/14
52.91593,52.26654,53.33612,51.84634,10/15/14
51.5121,51.00595,51.65439,50.12736,10/16/14
51.2829,51.59422,52.17104,51.1301,10/17/14
51.76039,51.61714,51.81769,51.51057,10/20/14
52.08509,52.63898,52.78223,51.87499,10/21/14
52.74403,53.02098,53.34567,52.52438,10/22/14
53.70857,54.05714,54.50121,53.66082,10/23/14
54.24336,55.00735,55.06465,54.08102,10/24/14
54.52031,53.89957,54.66356,53.40297,10/27/14
54.02372,53.33612,54.02372,51.66489,10/28/14
53.49847,53.66082,54.06192,53.12603,10/29/14
53.21198,54.73041,54.80681,53.21198,10/30/14
55.3607,55.3034,55.50395,55.06465,10/31/14
55.3416,56.25839,56.27749,54.97871,11/03/14
56.24884,56.66904,57.01761,56.24884,11/04/14
57.26113,56.86958,57.53808,56.70723,11/05/14
56.94598,56.55444,57.20383,56.52579,11/06/14
56.71678,56.64994,56.93643,56.40164,11/07/14
55.5135,56.14379,56.51624,55.10285,11/10/14
57.07013,56.70723,57.25158,56.54489,11/11/14
56.54489,56.64039,56.86958,56.43602,11/12/14
56.93643,56.86958,57.25158,56.51624,11/13/14
56.89823,56.41119,56.89823,56.12469,11/14/14
56.93643,56.78363,57.20383,56.64994,11/17/14
56.81228,57.21328,57.42348,56.49714,11/18/14
56.94598,56.94598,57.04148,56.47279,11/19/14
56.52579,56.69769,56.72538,56.21542,11/20/14
57.26113,56.95553,57.31843,56.65958,11/21/14
57.11788,56.56399,57.11788,56.33956,11/24/14
56.64994,56.71678,56.96986,56.46849,11/25/14
57.01283,57.05581,57.07968,56.46849,11/26/14
57.07013,57.70997,58.13017,57.08923,11/28/14
57.68132,57.80547,58.55991,57.57627,12/01/14
57.85322,58.05377,58.23522,57.5715,12/02/14
58.02512,57.84367,58.16837,57.59537,12/03/14
57.78637,58.19702,58.61731,57.78637,12/04/14
58.25432,58.70316,58.98966,58.09197,12/05/14
58.41666,59.10426,59.4003,58.23522,12/08/14
57.08923,57.28978,59.4003,56.10559,12/09/14
57.25158,57.28023,57.79592,57.01283,12/10/14
57.07968,56.64994,57.85322,56.52579,12/11/14
56.36344,55.17925,57.85322,55.1124,12/12/14
55.17925,54.36751,55.44655,54.24336,12/15/14
54.33886,54.25291,55.6663,54.22904,12/16/14
54.48211,55.0742,55.19835,54.01417,12/17/14
55.95279,56.31569,56.32524,55.4753,12/18/14
56.35389,56.90301,57.20154,56.35389,12/19/14
56.43984,56.31569,56.85048,55.91459,12/22/14
56.15334,54.65401,56.33479,54.46301,12/23/14
54.67311,54.89276,55.25565,54.67311,12/24/14
55.0551,55.1888,55.3989,55.04555,12/26/14
54.88321,55.1506,55.31295,54.86411,12/29/14
54.98826,55.04555,55.1697,54.72086,12/30/14
54.71131,54.23381,55.2461,54.17651,12/31/14
54.64446,54.61581,55.1888,54.45824,01/02/15
55.56125,55.4371,55.84775,54.98826,01/05/15
55.7045,57.59537,57.76727,55.6854,01/06/15
57.70042,58.82731,58.84641,57.67177,01/07/15
59.25706,60.02105,60.10222,59.06606,01/08/15
59.9733,59.7632,60.28844,59.37165,01/09/15
60.21204,59.50535,60.64179,59.3048,01/12/15
60.11654,59.39075,60.75639,58.95146,01/13/15
58.88461,59.83005,60.07835,58.76046,01/14/15
60.0306,59.09471,60.15474,59.04696,01/15/15
59.09471,60.16429,60.31709,58.76046,01/16/15
59.9542,59.8014,60.44745,59.09948,01/20/15
59.5722,59.3812,59.9542,59.2857,01/21/15
59.4767,59.77275,59.88735,58.76046,01/22/15
59.725,59.67725,60.16334,59.60085,01/23/15
59.46715,60.00195,60.14042,59.3239,01/26/15
59.73455,59.7632,60.18339,59.33345,01/27/15
59.9924,58.68884,60.12686,58.55991,01/28/15
58.65541,59.29525,59.35255,58.02512,01/29/15
58.76046,57.79592,59.14246,57.33753,01/30/15
57.85322,58.14927,58.18747,57.08923,02/02/15
58.19702,58.24477,58.31162,57.24203,02/03/15
57.02238,56.38254,58.31162,55.71405,02/04/15
56.55444,56.50669,56.58309,55.87162,02/05/15
56.43029,56.17244,57.07968,55.94324,02/06/15
56.05784,55.69495,56.34434,55.3225,02/09/15
