Open,Close,High,Low,Date
44.36,43.97,44.51,43.93,07/28/14
43.83,43.885,44.09,43.64,07/29/14
44.07,43.58,44.09,43.29,07/30/14
43.38,43.16,43.69,43.08,07/31/14
43.15,42.86,43.25,42.6,08/01/14
42.97,43.37,43.47,42.81,08/04/14
43.28,43.08,43.46,42.83,08/05/14
42.71,42.77,43.17,42.21,08/06/14
42.77,43.23,43.45,42.65,08/07/14
43.23,43.2,43.315,42.91,08/08/14
43.27,43.2,43.45,43.02,08/11/14
43.04,43.52,43.59,43.0,08/12/14
43.67,44.08,44.18,43.521,08/13/14
44.12,44.27,44.4157,44.01,08/14/14
44.64,44.79,44.895,44.4,08/15/14
44.91,45.11,45.11,44.68,08/18/14
44.99,45.33,45.33,44.83,08/19/14
45.38,44.95,45.4,44.9,08/20/14
44.88,45.22,45.25,44.83,08/21/14
45.36,45.16,45.47,45.07,08/22/14
45.38,45.17,45.43,45.04,08/25/14
45.31,45.005,45.39,44.94,08/26/14
44.93,44.87,45.0,44.76,08/27/14
44.76,44.88,44.98,44.61,08/28/14
45.07,45.43,45.44,44.855,08/29/14
45.43,45.09,45.46,44.85,09/02/14
44.55,44.96,45.11,44.53,09/03/14
44.72,45.26,45.27,44.72,09/04/14
45.11,45.91,45.93,45.11,09/05/14
46.01,46.47,46.8,45.99,09/08/14
46.47,46.76,46.97,46.42,09/09/14
46.86,46.84,46.94,46.28,09/10/14
46.74,47.0,47.0,46.47,09/11/14
46.91,46.695,47.02,46.6,09/12/14
46.54,46.24,46.71,46.1,09/15/14
46.43,46.76,46.8499,46.29,09/16/14
46.29,46.52,46.69,46.23,09/17/14
46.57,46.68,46.83,46.46,09/18/14
46.81,47.52,47.57,46.65,09/19/14
47.19,47.06,47.38,46.98,09/22/14
46.93,46.56,46.98,46.47,09/23/14
46.63,47.08,47.11,46.34,09/24/14
46.88,46.04,47.11,46.03,09/25/14
45.89,46.41,46.615,45.76,09/26/14
45.99,46.44,46.56,45.76,09/29/14
46.32,46.36,46.4763,46.01,09/30/14
46.28,45.9,46.53,45.845,10/01/14
45.83,45.76,46.1,45.64,10/02/14
45.92,46.09,46.3,45.61,10/03/14
46.12,46.09,46.3,45.9199,10/06/14
45.86,45.53,45.93,45.42,10/07/14
45.41,46.78,46.89,45.36,10/08/14
46.54,45.85,46.8,45.74,10/09/14
45.63,44.03,46.12,43.95,10/10/14
43.82,43.65,44.56,43.49,10/13/14
43.85,43.73,44.38,43.56,10/14/14
42.99,43.22,43.39,42.1,10/15/14
42.59,42.74,43.08,42.23,10/16/14
43.22,43.63,43.935,42.79,10/17/14
43.06,44.08,44.14,42.81,10/20/14
44.36,44.88,44.97,44.19,10/21/14
45.05,44.38,45.07,44.225,10/22/14
44.63,45.02,45.445,44.53,10/23/14
46.83,46.13,46.9,45.18,10/24/14
45.75,45.91,46.1,45.75,10/27/14
45.94,46.49,46.5,45.77,10/28/14
46.5,46.62,46.7,46.34,10/29/14
46.25,46.05,46.32,45.77,10/30/14
46.95,46.95,46.97,46.48,10/31/14
46.75,47.44,47.46,46.73,11/03/14
47.43,47.57,47.73,47.25,11/04/14
47.81,47.86,47.9,47.26,11/05/14
47.8,48.7,48.86,47.79,11/06/14
48.92,48.68,48.92,48.2901,11/07/14
48.7,48.89,49.15,48.55,11/10/14
48.83,48.87,48.93,48.645,11/11/14
48.59,48.78,48.92,48.53,11/12/14
48.85,49.61,49.645,48.705,11/13/14
49.76,49.58,50.045,49.39,11/14/14
49.5,49.46,49.705,49.14,11/17/14
49.05,48.74,49.32,48.7,11/18/14
48.66,48.22,48.7549,47.93,11/19/14
48.03,48.7,48.7,47.87,11/20/14
49.05,47.98,49.05,47.57,11/21/14
