Open,Close,High,Low,Date
38.965,39.2,39.3,38.76,07/28/14
39.22,39.05,39.43,39.05,07/29/14
39.225,39.805,39.97,39.155,07/30/14
39.33,38.58,39.51,38.49,07/31/14
38.27,38.38,38.62,38.2,08/01/14
38.46,38.585,38.7025,38.15,08/04/14
38.38,38.455,38.82,38.265,08/05/14
38.32,38.57,38.62,38.23,08/06/14
38.855,38.18,38.865,37.995,08/07/14
38.175,38.525,38.55,37.955,08/08/14
38.705,38.525,38.75,38.49,08/11/14
38.575,38.36,38.72125,38.245,08/12/14
38.455,38.625,38.895,38.27,08/13/14
38.705,38.65,38.905,38.48,08/14/14
38.835,38.555,39.0,38.25,08/15/14
38.865,39.285,39.345,38.785,08/18/14
39.355,39.26,39.545,39.175,08/19/14
39.125,39.46,39.54,39.095,08/20/14
39.515,39.47,39.7,39.325,08/21/14
39.675,39.65,39.865,39.4625,08/22/14
39.8,40.005,40.1475,39.75,08/25/14
39.975,39.735,40.05,39.715,08/26/14
39.975,39.86,39.98,39.71,08/27/14
39.51,39.43,39.605,39.33,08/28/14
39.415,39.28,39.47,39.14,08/29/14
39.175,39.64,39.76,39.175,09/02/14
39.895,39.41,39.94,39.27,09/03/14
39.59,39.955,40.11,39.59,09/04/14
39.745,41.02,41.0525,39.68,09/05/14
40.945,41.2,41.395,40.545,09/08/14
41.13,40.9175,41.27,40.76,09/09/14
40.865,41.25,41.3025,40.75,09/10/14
41.16,40.91,41.29,40.775,09/11/14
40.965,40.92,41.0,40.7075,09/12/14
40.955,40.8,41.09,40.52,09/15/14
40.59,40.6,40.77,40.415,09/16/14
40.725,40.75,40.915,40.5,09/17/14
40.835,40.975,41.0,40.625,09/18/14
41.34,40.91,41.37,40.67,09/19/14
40.83,40.365,40.93,40.1,09/22/14
40.18,40.065,40.28885,39.945,09/23/14
40.07,40.41,40.435,39.97,09/24/14
40.275,39.875,40.435,39.635,09/25/14
44.015,44.745,44.995,43.65005,09/26/14
44.15,44.59,45.045,44.14,09/29/14
44.375,44.605,45.145,44.2,09/30/14
44.445,43.85,44.5,43.75665,10/01/14
43.775,44.645,44.75005,43.45,10/02/14
44.865,45.14,45.225,44.585,10/03/14
45.26,44.62,45.26,44.28,10/06/14
44.375,44.025,44.595,44.015,10/07/14
44.02,44.41,44.58,43.765,10/08/14
44.17,43.62,44.495,43.5525,10/09/14
43.61,43.595,44.1,43.505,10/10/14
43.43,42.715,43.54,42.62,10/13/14
42.88,42.55,42.94,42.42,10/14/14
42.54,42.595,43.4,42.06,10/15/14
42.095,43.515,43.62,41.925,10/16/14
43.895,43.59,44.1738,43.465,10/17/14
43.45,44.445,44.4625,43.385,10/20/14
44.52,45.325,45.35,44.515,10/21/14
45.345,44.93,45.765,44.905,10/22/14
45.04,45.165,45.655,44.98,10/23/14
44.985,45.45,45.495,44.96,10/24/14
45.415,45.81,45.89,45.215,10/27/14
45.765,46.215,46.225,45.66,10/28/14
46.08,45.97,46.25,45.71005,10/29/14
45.855,46.485,46.5,45.775,10/30/14
47.065,46.48,47.07,46.335,10/31/14
46.675,46.715,46.74,46.435,11/03/14
46.39,46.965,47.01,46.30805,11/04/14
47.205,47.335,47.4,46.855,11/05/14
47.34,47.3,47.545,47.27,11/06/14
47.17,46.875,47.235,46.7675,11/07/14
47.045,47.475,47.535,47.02,11/10/14
47.615,47.445,47.649,47.29,11/11/14
47.215,47.905,47.96,47.12,11/12/14
48.085,48.055,48.275,47.78,11/13/14
47.74,47.76,47.915,47.505,11/14/14
47.66,48.05,48.09495,47.52,11/17/14
48.0,48.255,48.42,47.88,11/18/14
48.235,48.47,48.55,48.175,11/19/14
48.33,48.645,48.85,48.155,11/20/14
49.31,48.72,49.48,48.33,11/21/14
48.915,49.0,49.25,48.87,11/24/14
49.15,48.64,49.25,48.635,11/25/14
48.505,48.91,49.23185,48.55,11/26/14
49.115,49.655,49.88,49.115,11/28/14
49.33,48.845,49.695,48.83,12/01/14
49.03,49.015,49.36,48.845,12/02/14
49.055,49.245,49.3,48.7655,12/03/14
49.25,49.525,49.695,49.045,12/04/14
49.61,49.655,49.75,49.415,12/05/14
49.505,48.855,49.525,48.65,12/08/14
48.535,48.52,49.525,47.995,12/09/14
48.64,48.84,49.12,48.495,12/10/14
49.065,48.45,49.3,48.42,12/11/14
48.15,48.13,49.292,48.09,12/12/14
48.255,47.7,48.465,47.39,12/15/14
47.615,46.615,47.71,46.485,12/16/14
46.805,47.255,47.38,46.45,12/17/14
48.0175,48.495,48.54,47.53,12/18/14
47.755,47.415,48.085,46.415,12/19/14
47.52,47.96,47.965,47.51,12/22/14
47.975,48.0,48.25,47.795,12/23/14
48.135,48.16,48.675,48.0425,12/24/14
48.38,48.415,48.605,48.125,12/26/14
48.465,48.66,48.825,48.305,12/29/14
48.46,48.445,48.645,48.32,12/30/14
48.545,48.06,48.805,48.02,12/31/14
48.31,47.52,48.475,47.055,01/02/15
47.28,46.77,47.255,46.565,01/05/15
46.75,46.48,47.075,46.035,01/06/15
46.805,47.415,47.65,46.575,01/07/15
47.935,48.51,48.545,47.81,01/08/15
48.44,48.02,48.495,47.8,01/09/15
47.975,47.935,48.26,47.615,01/12/15
48.18,47.51,48.725,47.325,01/13/15
46.69,46.87,47.185,46.455,01/14/15
