Open,Close,High,Low,Date
79.41,79.25,79.62,78.85,07/28/14
79.11,78.67,79.5,78.65,07/29/14
78.76,78.16,79.0,78.14,07/30/14
77.82,77.34,78.01,77.29,07/31/14
79.39,79.635,80.67,78.83,08/01/14
79.54,79.23,79.54,78.66,08/04/14
78.99,79.405,79.73,78.98,08/05/14
79.4,81.08,81.3,79.33,08/06/14
81.02,80.13,81.18,80.01,08/07/14
80.04,80.93,81.03,80.04,08/08/14
81.21,81.47,81.87,81.05,08/11/14
81.41,81.425,81.86,81.21,08/12/14
81.64,81.5,81.795,81.11,08/13/14
81.59,81.95,82.035,81.435,08/14/14
82.23,81.78,82.23,81.18,08/15/14
82.02,82.43,82.85,81.81,08/18/14
82.32,82.68,82.87,82.12,08/19/14
82.51,82.79,82.94,82.47,08/20/14
82.73,83.26,83.47,82.7,08/21/14
83.16,83.38,83.66,83.16,08/22/14
83.67,83.57,83.82,83.31,08/25/14
83.61,83.39,83.83,83.33,08/26/14
83.4,83.29,83.59,83.1601,08/27/14
83.02,83.04,83.22,82.76,08/28/14
83.09,83.1,83.13,82.6,08/29/14
83.14,82.97,83.49,82.71,09/02/14
83.26,82.9,83.48,82.77,09/03/14
82.93,83.73,83.749,82.78,09/04/14
83.18,83.75,83.8,83.07,09/05/14
83.49,83.29,83.6,83.13,09/08/14
82.91,82.99,83.29,82.84,09/09/14
83.22,83.65,83.96,83.15,09/10/14
83.61,83.49,83.7463,83.37,09/11/14
83.25,83.25,83.38,82.865,09/12/14
83.26,83.87,84.25,83.26,09/15/14
83.6,84.07,84.45,83.56,09/16/14
83.97,84.17,84.4904,83.93,09/17/14
84.18,84.2,84.44,84.073,09/18/14
84.55,84.48,84.77,84.18,09/19/14
84.55,84.815,84.95,84.52,09/22/14
84.62,84.45,84.92,84.44,09/23/14
84.33,85.27,85.4,84.33,09/24/14
85.07,84.355,85.4,84.35,09/25/14
84.59,84.56,84.74,83.86,09/26/14
84.11,84.44,84.47,83.66,09/29/14
