Open,Close,High,Low,Date
170.67,171.38,171.795,170.325,04/06/23
167.29,170.34,170.55,167.13,04/05/23
172.59,168.67,172.64,167.3,04/04/23
171.46,172.3,172.69,170.9,04/03/23
171.9,171.43,172.26,170.075,03/31/23
170.43,170.84,171.0799,168.86,03/30/23
168.04,169.87,169.94,167.085,03/29/23
166.36,165.93,166.95,164.87,03/28/23
167.21,166.35,167.71,165.45,03/27/23
162.8,164.93,165.34,161.33,03/24/23
165.64,163.86,166.725,163.27,03/23/23
171.35,166.64,172.375,166.56,03/22/23
171.01,171.76,172.565,170.4,03/21/23
166.34,168.65,169.2503,165.75,03/20/23
169.73,165.045,170.39,164.07,03/17/23
165.93,172.21,172.905,165.89,03/16/23
166.9,166.67,167.781,163.72,03/15/23
173.83,171.68,174.35,169.96,03/14/23
173.82,172.26,176.65,171.465,03/13/23
173.13,175.72,178.145,172.66,03/10/23
177.09,173.97,177.09,173.35,03/09/23
180.07,177.73,181.17,177.02,03/08/23
183.51,180.34,183.7,179.64,03/07/23
183.15,183.37,184.805,183.07,03/06/23
183.0,183.59,183.75,180.47,03/03/23
183.77,183.17,183.97,181.508,03/02/23
183.75,184.06,184.93,182.72,03/01/23
184.87,185.165,186.1,184.795,02/28/23
187.07,185.3,187.13,184.44,02/27/23
184.54,185.33,185.86,183.3901,02/24/23
186.66,185.46,187.78,183.0801,02/23/23
185.23,186.1,187.35,183.85,02/22/23
184.53,185.23,186.36,184.14,02/21/23
183.11,185.72,186.4443,182.97,02/17/23
184.74,183.05,185.03,182.77,02/16/23
183.86,185.26,185.29,183.435,02/15/23
187.56,184.25,187.705,183.18,02/14/23
186.68,187.6,188.1,186.42,02/13/23
185.13,186.78,187.24,185.13,02/10/23
187.99,185.46,189.22,184.54,02/09/23
187.87,187.46,189.88,187.0,02/08/23
185.31,189.03,189.46,184.81,02/07/23
181.93,186.01,186.39,181.69,02/06/23
182.01,182.76,183.45,180.78,02/03/23
184.8,181.74,184.8,176.665,02/02/23
188.73,185.195,189.56,182.91,02/01/23
188.93,191.14,191.16,187.13,01/31/23
188.75,187.91,189.75,187.1,01/30/23
191.68,188.69,191.68,187.81,01/27/23
191.11,192.02,192.45,190.33,01/26/23
193.37,190.75,194.51,189.42,01/25/23
187.55,193.17,193.77,185.53,01/24/23
185.77,186.4,187.34,184.97,01/23/23
184.16,185.29,185.45,182.03,01/20/23
182.95,184.03,184.42,182.31,01/19/23
