Open,Close,High,Low,Date
85.04,85.75,85.9,84.6,07/28/14
85.4,84.28,85.56,83.99,07/29/14
84.73,82.94,84.87,81.72,07/30/14
82.18,81.08,82.18,80.56,07/31/14
81.03,81.49,82.07,80.56,08/01/14
81.6,82.275,82.53,81.155,08/04/14
81.83,80.98,82.53,80.57,08/05/14
80.95,81.51,82.1199,80.74,08/06/14
81.0,79.27,81.055,79.16,08/07/14
79.51,80.11,80.19,78.74,08/08/14
80.26,79.86,80.65,79.76,08/11/14
79.82,80.22,80.39,79.55,08/12/14
80.59,81.51,81.67,80.385,08/13/14
81.78,81.81,82.07,80.1599,08/14/14
82.19,81.47,82.23,80.8101,08/15/14
81.77,82.32,82.48,81.35,08/18/14
82.43,83.46,83.76,82.05,08/19/14
82.89,83.43,83.75,82.36,08/20/14
83.75,83.78,84.1,83.59,08/21/14
83.46,83.78,84.0,83.46,08/22/14
84.28,84.26,84.75,83.95,08/25/14
84.39,85.13,85.34,84.175,08/26/14
85.16,86.38,86.97,84.96,08/27/14
85.97,86.35,87.0,85.52,08/28/14
86.76,86.67,87.23,86.36,08/29/14
87.21,86.39,87.22,85.765,09/02/14
86.86,86.8,87.35,86.43,09/03/14
86.75,87.06,88.45,86.71,09/04/14
86.93,87.73,87.8,86.74,09/05/14
87.66,87.9,88.0,87.4201,09/08/14
87.87,88.555,88.85,87.49,09/09/14
88.4,87.27,88.5,86.69,09/10/14
86.64,87.08,87.12,86.205,09/11/14
87.1,86.18,87.23,85.86,09/12/14
86.38,86.03,86.81,85.83,09/15/14
85.93,87.16,87.37,85.85,09/16/14
86.95,87.0,87.5597,86.48,09/17/14
87.42,87.63,87.97,87.21,09/18/14
88.11,87.845,88.72,87.6401,09/19/14
87.81,87.78,88.44,87.49,09/22/14
87.61,86.61,87.69,86.3831,09/23/14
86.71,88.24,88.46,86.6,09/24/14
87.78,86.21,88.46,86.03,09/25/14
86.21,86.6,86.96,85.91,09/26/14
85.94,86.51,86.94,85.58,09/29/14
86.69,86.25,87.075,86.12,09/30/14
86.0,84.91,86.26,84.61,10/01/14
84.84,84.9,85.27,83.74,10/02/14
85.41,86.02,86.28,85.095,10/03/14
86.63,85.08,86.945,84.96,10/06/14
84.83,84.18,85.13,83.93,10/07/14
84.34,86.6,86.8301,84.23,10/08/14
86.29,84.95,86.54,84.63,10/09/14
85.2,85.39,86.82,85.12,10/10/14
85.22,83.91,85.94,83.76,10/13/14
84.24,82.81,84.57,82.55,10/14/14
82.18,82.11,82.98,80.73,10/15/14
84.76,85.37,86.69,84.096,10/16/14
86.86,88.18,88.8,86.75,10/17/14
88.24,88.56,88.84,88.0,10/20/14
89.12,90.92,91.08,88.85,10/21/14
91.28,89.78,91.44,89.72,10/22/14
90.94,90.64,91.28,90.42,10/23/14
90.7,91.65,91.7,90.62,10/24/14
91.5,92.16,92.28,91.375,10/27/14
91.17,92.62,92.78,90.37,10/28/14
92.9,92.97,93.68,92.685,10/29/14
92.73,93.88,94.15,91.0053,10/30/14
94.93,94.97,95.67,94.31,10/31/14
95.06,94.88,95.66,94.5,11/03/14
94.93,94.98,95.59,94.25,11/04/14
95.57,95.8,96.01,95.026,11/05/14
96.04,96.18,96.64,95.9035,11/06/14
95.67,93.6,95.71,93.01,11/07/14
93.75,94.76,95.0,93.5,11/10/14
95.05,95.69,95.75,94.72,11/11/14
95.23,95.69,95.97,94.52,11/12/14
95.46,95.88,96.74,95.4,11/13/14
96.11,95.12,96.111,94.87,11/14/14
94.93,96.45,96.69,94.85,11/17/14
96.99,98.21,98.61,96.865,11/18/14
97.81,96.88,98.39,96.79,11/19/14
96.46,96.85,96.85,96.17,11/20/14
97.15,96.73,98.04,96.59,11/21/14
97.27,96.9,97.29,96.51,11/24/14
97.08,97.9,98.135,96.91,11/25/14
98.0,98.13,98.74,96.91,11/26/14
98.7,98.64,99.42,98.43,11/28/14
98.75,99.08,99.829,98.01,12/01/14
98.91,99.83,100.0,98.2,12/02/14
99.8,100.81,101.33,99.71,12/03/14
100.8,99.62,100.93,99.42,12/04/14
99.71,100.32,100.71,99.69,12/05/14
100.1,99.96,100.89,99.635,12/08/14
99.08,101.01,101.09,98.76,12/09/14
100.76,99.09,101.02,99.0071,12/10/14
99.39,99.69,100.67,99.24,12/11/14
99.64,98.81,100.66,98.69,12/12/14
98.98,98.29,99.75,97.41,12/15/14
