Open,Close,High,Low,Date
53.565,53.5625,53.7375,53.28,07/28/14
53.625,53.4325,53.9275,53.33253,07/29/14
53.3725,53.515,53.6975,53.3613,07/30/14
53.3175,52.8275,53.34,52.7525,07/31/14
52.455,52.955,53.26498,52.445,08/01/14
53.2125,53.0475,53.2875,52.88,08/04/14
52.8225,52.6425,53.0725,52.2925,08/05/14
52.495,52.6625,52.84,52.4825,08/06/14
52.75,52.26,52.863,52.15,08/07/14
52.2125,52.5875,52.6375,52.055,08/08/14
52.7125,52.645,52.804,52.5075,08/11/14
52.5475,52.62,52.7845,52.3625,08/12/14
52.72,52.855,53.025,52.615,08/13/14
53.0225,53.1075,53.145,52.8275,08/14/14
53.195,52.565,53.33,52.4825,08/15/14
52.865,53.555,53.6075,52.8175,08/18/14
53.6925,53.7275,53.9225,53.53258,08/19/14
53.63,54.055,54.10998,53.6075,08/20/14
54.11,53.9775,54.24248,53.93,08/21/14
54.035,54.005,54.2375,53.825,08/22/14
54.3575,54.015,54.3575,53.9625,08/25/14
54.1225,54.25,54.5,54.07,08/26/14
54.35,54.245,54.3825,53.82268,08/27/14
53.75,53.665,53.9325,53.4425,08/28/14
53.65,53.16,53.7475,53.0275,08/29/14
53.35,53.6675,53.7425,53.185,09/02/14
53.805,53.7275,54.035,53.5775,09/03/14
53.91,53.6125,54.03,53.5,09/04/14
53.5725,53.5375,53.5925,53.2775,09/05/14
53.5025,53.95,54.055,53.375,09/08/14
53.71,53.59,53.8675,53.5,09/09/14
53.56,54.2325,54.6625,53.51,09/10/14
54.2425,53.7525,54.2425,53.6125,09/11/14
53.7225,53.535,53.9375,53.1875,09/12/14
53.6125,53.65,53.9,53.4725,09/15/14
53.6075,54.33,54.445,53.4125,09/16/14
54.3975,53.8525,54.3975,53.43625,09/17/14
53.97,54.0225,54.17,53.78625,09/18/14
54.505,54.09,54.505,53.8725,09/19/14
53.8375,53.48,54.245,53.4375,09/22/14
53.475,53.1475,53.475,53.115,09/23/14
53.165,53.6,53.75,53.0625,09/24/14
53.4575,52.6975,53.75,52.60513,09/25/14
52.825,52.97,53.05448,52.64,09/26/14
52.6,52.6975,52.8575,52.28,09/29/14
52.8425,53.3425,53.50568,52.755,09/30/14
53.2125,52.54,53.4525,52.4375,10/01/14
52.255,52.4175,52.5,51.95,10/02/14
52.8,53.0025,53.075,52.545,10/03/14
53.1225,52.9525,53.2875,52.915,10/06/14
52.7025,51.9825,52.7725,51.9625,10/07/14
52.0075,53.055,53.135,51.925,10/08/14
52.92,51.9575,52.9725,51.895,10/09/14
51.9725,51.2575,52.3925,51.25,10/10/14
51.125,51.0675,51.9375,50.935,10/13/14
51.0875,50.75,51.475,50.61,10/14/14
50.1925,50.1175,50.4925,49.2375,10/15/14
49.2475,50.6125,50.8025,48.7975,10/16/14
51.09,51.48,51.6425,50.8925,10/17/14
51.4975,51.9275,52.05,51.285,10/20/14
52.2775,53.3075,53.345,51.97503,10/21/14
53.3025,52.765,53.485,52.7025,10/22/14
53.4125,53.5325,53.9675,53.17,10/23/14
53.49,53.3525,53.5375,52.975,10/24/14
53.2375,53.315,53.6825,53.0525,10/27/14
53.5175,54.165,54.2125,53.515,10/28/14
54.075,53.6875,54.6,53.4375,10/29/14
57.2075,59.235,59.81938,57.01,10/30/14
59.4675,60.275,60.625,59.385,10/31/14
60.25,60.41,60.795,59.75,11/03/14
59.915,60.7125,60.7525,59.78,11/04/14
61.0425,62.35,63.085,61.0,11/05/14
62.385,62.5,62.725,61.895,11/06/14
62.5375,63.1025,63.1075,62.26,11/07/14
63.0275,62.5525,63.0885,62.1325,11/10/14
62.295,62.3975,62.47,62.05125,11/11/14
62.2125,63.0,63.04,62.085,11/12/14
63.0,62.66,63.1,62.4025,11/13/14
62.7875,62.2475,62.7875,62.1825,11/14/14
62.145,62.45,62.8575,62.04,11/17/14
62.34,62.4625,62.93303,62.2675,11/18/14
62.275,62.42,62.7075,61.7975,11/19/14
61.895,62.9175,62.9725,61.8775,11/20/14
63.785,63.4925,64.1375,63.205,11/21/14
63.75,63.6725,63.81,63.4,11/24/14
63.84,64.4475,64.4975,63.705,11/25/14
64.315,64.335,64.7375,63.705,11/26/14
64.655,64.6325,64.875,64.4775,11/28/14
64.45,64.6275,65.1625,64.10625,12/01/14
64.795,64.9675,65.0625,64.55625,12/02/14
64.9275,65.4125,65.4675,64.6725,12/03/14
65.5025,65.265,65.5425,65.0135,12/04/14
65.3475,65.835,65.87125,65.25,12/05/14
66.0575,65.7925,66.4025,65.6325,12/08/14
65.03875,66.0775,66.4019,64.89,12/09/14
65.945,65.4375,66.20998,65.2525,12/10/14
65.6325,65.795,66.395,65.6585,12/11/14
65.125,64.35,66.3825,64.21,12/12/14
64.4775,64.1075,64.7125,63.3436,12/15/14
63.1725,63.3725,64.5725,63.0875,12/16/14
63.4675,64.74,64.8875,63.4625,12/17/14
65.46,66.0125,66.10675,65.285,12/18/14
65.85,65.43,66.145,65.3475,12/19/14
65.805,66.07,66.075,65.5075,12/22/14
66.245,66.37,66.605,66.015,12/23/14
66.3725,66.875,67.21,66.345,12/24/14
66.9425,66.685,67.31125,66.6675,12/26/14
66.7475,66.3525,66.92,66.2625,12/29/14
66.295,66.17,66.345,65.7705,12/30/14
66.37,65.55,66.8125,65.545,12/31/14
66.405,66.23,66.685,65.6225,01/02/15
65.8425,64.8875,65.87498,64.7163,01/05/15
65.03,64.3125,65.17,63.71375,01/06/15
64.61,65.1775,65.285,64.375,01/07/15
65.8075,65.9675,66.28,65.6575,01/08/15
66.3875,65.1725,66.117,64.9475,01/09/15
65.365,65.06,65.5,64.785,01/12/15
65.68,65.205,66.4525,64.7825,01/13/15
64.13,63.8675,64.6475,63.5325,01/14/15
64.1775,63.3,64.3675,63.09,01/15/15
62.975,63.7,63.775,62.875,01/16/15
64.0225,64.2025,64.9225,63.565,01/20/15
63.8525,64.3225,64.9075,63.625,01/21/15
63.8625,64.4475,64.75,63.3425,01/22/15
64.63,64.6125,65.1625,64.545,01/23/15
64.235,64.13,64.3225,63.4725,01/26/15
63.2375,62.775,63.4475,62.1475,01/27/15
63.1325,61.625,63.2025,61.575,01/28/15
61.8975,62.0,62.1125,61.3225,01/29/15
65.1,63.8575,65.90455,63.7275,01/30/15
64.0,63.77,64.0275,62.425,02/02/15
64.1775,64.905,65.11,63.6875,02/03/15
64.875,66.2675,66.6825,63.7075,02/04/15
66.775,67.8275,67.95,66.49688,02/05/15
67.95,66.8525,68.1125,66.51,02/06/15
66.8525,66.3375,67.085,66.32,02/09/15
66.7475,66.152,66.9675,65.9067,02/10/15
66.2275,66.4675,66.5725,66.0625,02/11/15
66.905,67.7,67.725,66.765,02/12/15
68.1875,67.415,68.1875,67.195,02/13/15
67.505,67.6925,67.9925,67.4675,02/17/15
67.71,67.2675,67.75,67.0375,02/18/15
67.5175,67.235,67.5175,67.0,02/19/15
67.25,68.19,68.25,66.7675,02/20/15
68.19,68.2775,68.33,67.5625,02/23/15
68.38,68.1275,68.4375,67.7925,02/24/15
67.985,68.2725,68.5575,67.93,02/25/15
68.32,68.41,68.6175,68.01,02/26/15
68.3075,67.8575,68.5475,67.8275,02/27/15
69.3175,69.5125,69.5725,68.61,03/02/15
69.5775,68.8075,69.59,68.4375,03/03/15
68.7875,68.3975,68.7875,68.065,03/04/15
68.6675,68.4925,68.785,68.4375,03/05/15
68.5425,67.4025,68.62,67.3125,03/06/15
67.63,67.8175,68.0525,67.27,03/09/15
67.3975,66.41,67.465,66.3,03/10/15
66.4075,66.2175,66.845,65.7775,03/11/15
66.625,67.415,67.49998,66.5925,03/12/15
67.3575,66.285,67.21,66.125,03/13/15
66.8275,67.225,67.5125,66.6575,03/16/15
67.015,66.065,67.09,66.06,03/17/15
66.1125,66.875,66.995,64.7525,03/18/15
66.82,66.88,67.19,65.75,03/19/15
67.25,67.34,67.7,66.78,03/20/15
67.96,67.07,68.21,67.07,03/23/15
67.23,67.11,67.68,66.84,03/24/15
67.1,65.85,67.43,65.73,03/25/15
65.25,65.62,66.3,65.03,03/26/15
65.4,65.45,65.79,65.15,03/27/15
66.01,65.64,66.32,65.5,03/30/15
65.57,65.48,66.205,65.39,03/31/15
65.35,65.16,65.4415,64.45,04/01/15
65.12,65.2,65.62,64.81,04/02/15
64.59,65.17,65.64,64.42,04/06/15
65.39,65.77,66.19,65.31,04/07/15
65.87,66.5,66.84,65.8,04/08/15
66.57,66.42,66.82,65.761,04/09/15
66.64,66.34,66.69,65.93,04/10/15
66.21,65.59,66.79,65.51,04/13/15
65.52,65.54,65.94,64.88,04/14/15
65.59,65.65,65.91,65.3,04/15/15
65.57,65.65,66.0,65.35,04/16/15
65.1,64.52,65.49,64.35,04/17/15
65.01,64.7,65.21,64.58,04/20/15
65.05,65.32,65.83,64.99,04/21/15
65.82,68.01,69.98,65.82,04/22/15
68.13,67.71,68.2199,67.52,04/23/15
68.05,67.495,68.2199,67.31,04/24/15
68.235,67.11,68.38,66.9301,04/27/15
67.3,66.78,67.5,66.41,04/28/15
66.86,67.36,68.46,66.815,04/29/15
67.18,66.02,67.5,65.424,04/30/15
65.25,65.71,66.66,65.15,05/01/15
66.05,65.56,66.14,65.47,05/04/15
65.79,65.96,66.39,65.61,05/05/15
66.16,65.71,66.65,65.23,05/06/15
65.58,66.6,66.7777,65.5375,05/07/15
67.07,69.51,70.1599,67.01,05/08/15
69.3,69.0,69.7,68.79,05/11/15
68.55,68.67,69.0,67.97,05/12/15
68.84,68.63,68.8799,68.19,05/13/15
68.99,69.97,70.03,68.88,05/14/15
70.17,69.57,70.69,69.311,05/15/15
69.74,69.97,70.24,69.13,05/18/15
70.18,70.17,70.5625,70.0,05/19/15
70.25,69.77,70.5625,69.48,05/20/15
69.55,69.36,69.87,69.28,05/21/15
69.3,69.64,69.85,69.3,05/22/15
69.3,68.57,69.497,68.31,05/26/15
68.795,69.49,69.74,68.5,05/27/15
69.48,69.59,69.78,68.8,05/28/15
69.35,68.69,69.6043,68.5151,05/29/15
69.17,69.095,69.44,68.43,06/01/15
68.74,69.05,69.46,68.01,06/02/15
69.26,68.96,69.5,68.89,06/03/15
68.63,68.23,69.145,68.025,06/04/15
68.27,68.38,68.6998,68.0,06/05/15
68.19,67.68,68.28,67.62,06/08/15
67.68,67.93,68.09,67.5283,06/09/15
68.22,69.59,69.67,68.11,06/10/15
69.7,69.65,70.02,69.4152,06/11/15
69.28,69.32,69.7383,69.03,06/12/15
68.83,68.58,68.99,68.18,06/15/15
68.41,69.0,69.17,68.2903,06/16/15
69.11,68.77,69.4,68.511,06/17/15
69.0,69.48,69.83,68.88,06/18/15
69.26,68.7,69.32,68.48,06/19/15
69.3,69.07,69.44,68.9,06/22/15
69.1,69.45,69.5899,69.09,06/23/15
69.1,68.88,69.4,68.77,06/24/15
69.31,68.67,69.38,68.51,06/25/15
68.71,68.74,69.095,68.41,06/26/15
67.98,66.75,68.49,66.69,06/29/15
67.34,67.12,67.48,66.7635,06/30/15
67.94,67.9,68.3,67.53,07/01/15
68.15,68.24,68.32,67.63,07/02/15
67.59,68.08,68.12,67.36,07/06/15
68.13,67.77,68.197,66.53,07/07/15
67.0,66.8,67.32,66.65,07/08/15
67.65,67.04,67.9399,67.02,07/09/15
68.1,68.4,68.53,67.91,07/10/15
69.12,69.52,69.6,68.85,07/13/15
69.94,70.09,70.3,69.48,07/14/15
70.12,70.05,70.28,69.69,07/15/15
70.56,70.56,70.59,69.97,07/16/15
70.4,70.88,70.96,70.28,07/17/15
71.32,72.7,72.995,71.24,07/20/15
72.78,72.02,72.88,71.76,07/21/15
71.97,71.9,72.15,71.62,07/22/15
72.19,71.66,72.25,71.2,07/23/15
76.78,74.71,76.92,74.405,07/24/15
74.27,73.83,74.7099,73.582,07/27/15
74.3,74.73,75.175,73.85,07/28/15
75.2,76.05,76.43,74.88,07/29/15
75.86,76.35,76.76,75.25,07/30/15
76.45,75.45,76.5,75.32,07/31/15
75.55,75.83,76.04,75.01,08/03/15
75.57,75.25,76.08,75.03,08/04/15
76.05,74.99,76.1605,74.92,08/05/15
75.195,73.57,75.41,73.55,08/06/15
73.66,74.23,74.31,73.32,08/07/15
74.8,74.35,75.18,73.86,08/10/15
73.8,73.36,74.27,73.22,08/11/15
72.87,73.57,73.835,72.4,08/12/15
73.6,73.95,74.425,73.38,08/13/15
73.85,74.21,74.4,73.45,08/14/15
74.0,74.43,74.44,73.5,08/17/15
74.22,74.42,74.73,74.01,08/18/15
74.15,74.43,74.96,73.67,08/19/15
73.59,74.0,74.53,72.81,08/20/15
72.56,71.19,73.62,70.96,08/21/15
64.01,68.38,71.05,60.06,08/24/15
71.69,66.845,71.8,66.76,08/25/15
69.1,70.77,70.99,67.91,08/26/15
71.94,72.49,72.49,70.8,08/27/15
72.1,72.41,72.665,71.6,08/28/15
71.85,71.2,72.085,70.82,08/31/15
69.61,69.14,70.39,68.5,09/01/15
69.87,69.6,69.94,68.7,09/02/15
70.38,70.42,71.08,69.99,09/03/15
69.33,69.22,71.08,68.64,09/04/15
70.99,70.54,71.0,69.55,09/08/15
70.76,69.6,71.375,69.43,09/09/15
69.7,70.16,70.63,69.46,09/10/15
69.82,70.73,70.81,69.4575,09/11/15
70.72,69.98,70.79,69.615,09/14/15
70.44,70.51,70.7467,69.515,09/15/15
70.59,70.94,71.1,70.05,09/16/15
