Open,Close,High,Low,Date
51.26,51.57,51.58,51.18,07/28/14
53.23,51.97,53.66,51.88,07/29/14
51.95,51.77,52.15,51.42,07/30/14
51.25,50.44,51.37,50.35,07/31/14
50.41,49.84,50.46,49.83,08/01/14
50.03,50.21,50.3,49.64,08/04/14
50.05,49.65,50.2,49.5,08/05/14
49.41,49.13,49.45,48.36,08/06/14
49.15,48.64,49.32,48.45,08/07/14
48.77,48.695,49.1,48.2,08/08/14
48.93,48.66,49.0355,48.61,08/11/14
48.8,48.834,48.95,48.56,08/12/14
49.02,48.91,49.02,48.76,08/13/14
48.98,49.0,49.02,48.81,08/14/14
48.9,48.81,49.05,48.5,08/15/14
49.09,48.77,49.14,48.64,08/18/14
49.02,48.7,49.04,48.2735,08/19/14
48.79,48.82,48.97,48.6,08/20/14
48.86,48.87,49.15,48.735,08/21/14
48.89,48.65,48.98,48.52,08/22/14
48.72,49.16,49.16,48.71,08/25/14
49.22,49.27,49.29,49.02,08/26/14
49.31,49.41,49.46,49.21,08/27/14
49.38,49.42,49.5,49.2,08/28/14
49.43,49.81,49.82,49.4,08/29/14
49.79,49.77,50.0,49.5,09/02/14
49.96,49.88,50.0,49.69,09/03/14
49.89,49.71,49.94,49.51,09/04/14
49.73,49.92,50.03,49.56,09/05/14
49.9,49.53,49.9,49.35,09/08/14
49.38,48.92,49.52,48.8,09/09/14
49.07,48.74,49.07,48.37,09/10/14
48.65,49.0,49.08,48.33,09/11/14
48.98,48.4,49.0,48.26,09/12/14
48.52,48.555,48.6,48.3,09/15/14
48.56,48.96,49.14,48.53,09/16/14
49.02,49.2,49.48,48.95,09/17/14
49.48,49.71,49.72,49.37,09/18/14
50.01,50.32,50.38,49.84,09/19/14
50.12,50.2,50.32,49.83,09/22/14
50.08,49.91,50.15,49.78,09/23/14
50.02,50.1,50.15,49.825,09/24/14
50.1,49.63,50.2,49.435,09/25/14
49.52,49.75,49.91,49.31,09/26/14
49.62,49.75,49.79,49.21,09/29/14
49.72,49.99,50.24,49.6,09/30/14
49.75,49.42,49.95,49.4,10/01/14
49.62,49.28,49.73,49.2,10/02/14
49.7,49.731,49.82,49.495,10/03/14
50.02,50.09,50.26,49.92,10/06/14
49.98,49.67,50.0325,49.67,10/07/14
49.16,49.85,49.86,48.95,10/08/14
49.75,48.95,49.8872,48.84,10/09/14
49.02,48.94,49.5,48.94,10/10/14
48.995,48.38,49.46,48.36,10/13/14
48.47,48.215,48.68,48.1,10/14/14
47.75,47.925,48.07,46.89,10/15/14
47.34,47.63,48.03,47.04,10/16/14
47.8,48.05,48.19,47.61,10/17/14
48.14,48.46,48.55,47.81,10/20/14
48.1,48.69,48.845,47.95,10/21/14
48.62,48.33,48.84,48.26,10/22/14
48.58,48.21,48.59,47.85,10/23/14
48.17,48.76,49.11,48.1,10/24/14
48.78,49.43,49.54,48.73,10/27/14
49.73,49.95,50.03,49.6101,10/28/14
50.05,49.83,50.25,49.56,10/29/14
49.63,49.9,50.28,49.5,10/30/14
50.42,50.23,50.5,50.07,10/31/14
50.49,50.39,50.65,50.05,11/03/14
50.41,50.31,50.92,50.13,11/04/14
50.73,50.33,50.73,49.93,11/05/14
50.34,50.27,50.34,49.67,11/06/14
50.31,50.85,50.87,50.12,11/07/14
50.72,50.74,51.05,50.15,11/10/14
50.91,50.61,50.95,50.33,11/11/14
50.33,50.83,51.02,50.3,11/12/14
50.66,51.22,51.29,50.645,11/13/14
51.3,51.49,51.73,51.1801,11/14/14
51.41,51.41,51.48,51.141,11/17/14
51.42,51.24,51.42,51.06,11/18/14
50.99,50.48,51.03,50.29,11/19/14
50.46,50.22,50.52,49.962,11/20/14
50.53,50.185,50.53,49.7,11/21/14
49.55,49.5,49.89,48.86,11/24/14
49.35,49.37,49.52,48.91,11/25/14
49.37,50.04,50.17,48.91,11/26/14
50.24,50.62,50.8,50.2,11/28/14
50.67,50.02,50.84,50.0,12/01/14
49.84,49.105,50.015,49.05,12/02/14
49.0,48.77,49.02,48.28,12/03/14
48.73,48.76,48.9,48.41,12/04/14
48.68,48.61,48.745,48.43,12/05/14
48.77,48.91,49.34,48.57,12/08/14
47.49,46.91,49.34,46.2,12/09/14
46.98,46.19,46.98,45.67,12/10/14
46.39,46.35,46.81,46.19,12/11/14
45.98,45.59,46.81,45.32,12/12/14
45.94,45.44,46.05,45.09,12/15/14
45.26,45.53,46.64,45.2,12/16/14
45.43,46.42,46.685,45.3,12/17/14
47.27,47.05,47.31,46.51,12/18/14
47.01,46.97,47.33,46.6,12/19/14
47.1,47.5,47.51,46.89,12/22/14
47.77,47.67,47.89,47.44,12/23/14
47.65,47.7,47.87,47.38,12/24/14
47.91,47.88,47.95,47.7301,12/26/14
47.62,47.56,47.79,47.3,12/29/14
47.52,47.32,47.59,47.15,12/30/14
47.06,46.77,47.4,46.7,12/31/14
47.01,46.96,47.23,46.91,01/02/15
47.0,46.59,47.16,46.5601,01/05/15
46.76,47.03,47.38,46.465,01/06/15
46.82,46.19,47.04,46.05,01/07/15
46.42,47.16,47.24,46.13,01/08/15
47.29,46.78,47.3,46.62,01/09/15
47.0,47.095,47.265,46.67,01/12/15
47.5,47.17,47.8,46.93,01/13/15
46.88,46.96,47.34,46.57,01/14/15
47.22,47.1,47.54,46.8,01/15/15
47.15,47.96,48.025,47.13,01/16/15
48.13,48.18,48.245,47.71,01/20/15
47.89,48.24,48.4,47.61,01/21/15
48.13,47.79,48.44,46.91,01/22/15
47.85,47.16,47.93,46.98,01/23/15
46.99,46.98,47.08,46.49,01/26/15
46.66,46.36,46.85,46.33,01/27/15
46.86,46.07,47.03,46.025,01/28/15
45.97,46.13,46.28,45.37,01/29/15
45.83,45.73,46.51,45.56,01/30/15
46.2,47.0,47.15,45.76,02/02/15
47.29,47.82,47.97,47.24,02/03/15
47.67,47.8,48.31,47.27,02/04/15
48.11,47.86,48.12,47.54,02/05/15
48.23,49.34,49.73,48.0,02/06/15
49.06,49.09,49.47,48.98,02/09/15
49.31,49.5,49.56,49.01,02/10/15
49.39,49.8,49.88,49.16,02/11/15
49.89,49.5,49.99,49.25,02/12/15
49.41,49.29,49.6,49.03,02/13/15
49.04,49.155,49.32,48.89,02/17/15
49.2,48.93,49.31,48.68,02/18/15
48.79,48.93,49.14,48.7448,02/19/15
48.77,48.97,48.98,48.415,02/20/15
48.94,48.76,49.0,48.54,02/23/15
48.62,49.23,49.41,48.31,02/24/15
49.36,49.19,49.4,49.03,02/25/15
49.06,49.36,49.46,48.92,02/26/15
49.22,49.47,49.66,49.05,02/27/15
49.18,49.45,49.51,49.02,03/02/15
49.45,49.54,49.689,49.28,03/03/15
49.5,49.1,49.53,48.92,03/04/15
49.2,48.93,49.2,48.81,03/05/15
48.47,48.3,48.63,48.23,03/06/15
48.26,48.225,48.62,48.18,03/09/15
48.06,47.57,48.32,47.46,03/10/15
47.58,47.68,48.03,47.355,03/11/15
47.94,48.74,48.76,47.8,03/12/15
48.52,48.84,48.93,48.47,03/13/15
48.93,49.27,49.3973,48.63,03/16/15
49.02,48.96,49.3,48.87,03/17/15
48.74,49.53,49.69,48.475,03/18/15
49.24,49.315,49.5,49.0,03/19/15
49.28,49.585,49.9,49.19,03/20/15
49.73,49.63,49.85,49.45,03/23/15
49.56,49.41,49.895,49.39,03/24/15
49.38,48.73,49.4,48.72,03/25/15
48.64,48.42,48.95,48.4,03/26/15
48.48,48.55,48.72,48.3401,03/27/15
48.72,49.11,49.3,48.73,03/30/15
49.07,48.64,49.1462,48.58,03/31/15
48.44,48.94,49.27,48.435,04/01/15
48.9,49.47,49.6,48.86,04/02/15
49.47,49.65,49.8199,49.4,04/06/15
49.8,49.26,49.81,49.25,04/07/15
48.73,49.12,49.28,48.69,04/08/15
48.92,49.02,49.18,48.67,04/09/15
48.98,49.22,49.2469,48.95,04/10/15
49.26,49.05,49.505,49.04,04/13/15
49.18,49.18,49.36,48.93,04/14/15
49.15,49.38,49.49,49.06,04/15/15
49.29,49.29,49.57,49.09,04/16/15
49.0,48.91,49.12,48.7031,04/17/15
49.15,49.33,49.48,49.05,04/20/15
49.02,49.19,49.4,48.4699,04/21/15
49.47,49.55,49.69,49.33,04/22/15
49.62,50.06,50.2,49.45,04/23/15
49.95,50.01,50.26,49.45,04/24/15
50.05,50.09,50.33,50.0,04/27/15
50.34,50.55,50.635,50.08,04/28/15
50.34,50.46,50.61,50.14,04/29/15
50.47,50.45,50.65,50.23,04/30/15
50.75,50.41,50.77,50.05,05/01/15
50.385,50.515,50.86,50.3,05/04/15
50.6,50.09,50.6299,50.06,05/05/15
50.11,49.64,50.14,49.355,05/06/15
49.6,49.73,49.8499,49.32,05/07/15
50.21,50.13,50.37,49.95,05/08/15
50.09,49.81,50.28,49.79,05/11/15
49.4,49.6,49.81,48.97,05/12/15
49.63,49.71,49.98,49.5,05/13/15
49.9,49.935,50.15,49.82,05/14/15
50.01,49.78,50.09,49.65,05/15/15
49.78,49.58,49.8,49.55,05/18/15
