Open,Close,High,Low,Date
76.49,76.2,76.72,75.01,12/31/14
76.11,76.0,77.13,75.1,01/02/15
75.08,74.5,75.9,74.27,01/05/15
76.0,74.69,76.0,73.94,01/06/15
75.05,76.6,76.69,74.96,01/07/15
77.3,77.55,77.94,76.86,01/08/15
77.31,75.67,77.54,75.61,01/09/15
75.8,75.7,76.19,74.84,01/12/15
75.2,75.26,76.28,74.11,01/13/15
74.94,74.99,75.42,74.26,01/14/15
75.92,74.78,76.09,74.62,01/15/15
74.47,76.03,76.12,74.4,01/16/15
76.08,76.05,76.49,75.31,01/20/15
75.52,75.59,76.45,75.06,01/21/15
75.97,76.02,76.21,75.15,01/22/15
75.95,75.59,75.95,75.21,01/23/15
75.76,75.84,76.1,75.38,01/26/15
75.11,74.93,75.82,74.79,01/27/15
75.55,73.77,75.55,73.59,01/28/15
74.4,74.57,74.575,73.16,01/29/15
73.52,73.75,74.485,73.46,01/30/15
73.06,74.89,74.9746,73.0,02/02/15
75.12,74.79,75.24,74.31,02/03/15
74.97,74.67,75.5399,74.23,02/04/15
74.94,74.79,75.095,74.48,02/05/15
74.98,76.15,76.75,74.435,02/06/15
75.64,76.4,76.45,75.62,02/09/15
76.31,76.69,76.73,75.635,02/10/15
76.8,79.53,79.94,76.71,02/11/15
79.17,79.96,80.62,78.94,02/12/15
79.65,78.73,79.89,78.57,02/13/15
78.38,78.0,78.5,77.87,02/17/15
77.59,77.79,77.93,77.04,02/18/15
77.79,77.1,78.33,77.015,02/19/15
77.09,77.13,77.22,76.36,02/20/15
77.37,78.59,78.8734,77.28,02/23/15
78.33,80.39,80.785,78.24,02/24/15
80.25,80.01,80.41,79.64,02/25/15
79.9,81.65,81.83,79.64,02/26/15
81.28,83.08,83.77,81.07,02/27/15
83.24,83.62,84.0499,82.6,03/02/15
83.43,83.21,83.43,82.59,03/03/15
82.79,83.02,83.26,82.3,03/04/15
83.45,83.2,83.6,82.89,03/05/15
82.58,82.35,83.55,82.06,03/06/15
82.19,83.5,83.55,82.12,03/09/15
82.7,82.72,83.28,82.33,03/10/15
82.39,82.51,83.09,81.01,03/11/15
83.13,84.25,84.4,82.78,03/12/15
84.25,83.72,84.33,83.29,03/13/15
85.01,86.77,86.89,85.0,03/16/15
86.51,86.26,86.63,85.8304,03/17/15
86.14,87.18,87.49,85.48,03/18/15
86.98,87.36,87.98,86.77,03/19/15
87.48,88.23,88.76,87.42,03/20/15
88.22,87.92,88.64,87.68,03/23/15
88.0,88.0,88.58,87.38,03/24/15
87.81,85.88,88.2,85.47,03/25/15
84.98,84.44,85.88,84.36,03/26/15
84.47,85.29,85.7418,84.0,03/27/15
85.47,85.99,86.21,84.5601,03/30/15
85.69,84.68,86.06,84.67,03/31/15
84.72,84.26,84.9,83.6643,04/01/15
84.41,85.97,86.11,84.12,04/02/15
85.26,88.01,88.1,85.26,04/06/15
87.6,87.28,88.25,87.11,04/07/15
87.04,87.68,88.4299,86.89,04/08/15
89.5,92.62,93.42,89.4,04/09/15
92.14,92.02,92.5,90.2501,04/10/15
91.72,91.71,92.74,91.39,04/13/15
91.4,91.98,92.57,91.089,04/14/15
92.0,91.54,92.66,91.25,04/15/15
90.94,89.52,91.29,89.08,04/16/15
88.46,86.96,89.59,85.86,04/17/15
87.51,87.12,88.22,86.87,04/20/15
87.28,87.09,88.25,86.914,04/21/15
87.04,87.02,87.21,86.6001,04/22/15
86.89,86.69,87.26,86.24,04/23/15
87.16,85.98,87.26,85.83,04/24/15
86.69,86.12,86.69,85.63,04/27/15
85.84,86.08,86.16,85.42,04/28/15
85.34,84.57,85.84,84.25,04/29/15
84.2,82.93,84.5,82.64,04/30/15
82.53,83.46,83.7,82.53,05/01/15
83.88,84.13,84.7,83.45,05/04/15
84.01,83.14,84.27,82.87,05/05/15
83.22,83.1,83.74,82.7,05/06/15
83.09,84.23,85.225,82.804,05/07/15
84.83,85.02,85.5,84.58,05/08/15
85.13,84.25,85.46,84.21,05/11/15
83.78,84.18,84.91,83.29,05/12/15
84.24,84.07,84.99,83.69,05/13/15
84.85,85.35,85.41,84.36,05/14/15
85.77,86.47,86.565,85.5,05/15/15
86.1,86.36,86.67,85.66,05/18/15
86.07,85.84,86.3799,85.54,05/19/15
85.95,84.89,86.3799,84.675,05/20/15
84.75,87.14,87.18,84.5101,05/21/15
86.71,86.45,86.95,86.06,05/22/15
86.56,85.55,86.71,84.85,05/26/15
85.62,86.18,86.8201,85.485,05/27/15
86.34,86.05,86.74,85.53,05/28/15
85.85,85.84,86.8999,85.5306,05/29/15
86.17,85.98,86.338,84.7,06/01/15
86.31,86.33,86.94,85.77,06/02/15
86.37,85.82,87.1,85.67,06/03/15
86.11,85.25,86.37,84.73,06/04/15
85.04,83.89,85.61,83.81,06/05/15
83.73,83.26,84.11,82.9329,06/08/15
83.6,84.17,84.62,83.3,06/09/15
84.53,85.49,85.81,84.37,06/10/15
85.67,85.79,86.2,85.5,06/11/15
85.51,85.06,85.7,84.92,06/12/15
84.68,84.42,84.9099,83.89,06/15/15
84.44,85.88,85.94,84.34,06/16/15
85.99,85.62,86.06,85.15,06/17/15
85.91,87.8,88.21,85.91,06/18/15
87.73,88.52,89.38,87.64,06/19/15
88.88,87.75,89.24,87.62,06/22/15
87.94,87.09,87.96,86.83,06/23/15
86.86,86.15,86.94,85.81,06/24/15
86.5,86.36,86.97,85.95,06/25/15
86.8,86.77,87.09,86.09,06/26/15
86.01,84.28,86.16,84.26,06/29/15
85.19,84.44,85.44,84.356,06/30/15
85.08,85.77,85.85,84.87,07/01/15
85.83,85.81,86.28,85.64,07/02/15
84.93,85.39,85.85,84.73,07/06/15
85.61,87.25,87.61,85.45,07/07/15
86.71,85.91,86.99,85.4149,07/08/15
90.0,89.55,90.24,88.0,07/09/15
91.76,93.11,93.79,91.43,07/10/15
93.81,94.48,94.9,93.01,07/13/15
94.76,94.33,94.8,94.03,07/14/15
94.33,93.95,94.68,93.47,07/15/15
94.95,96.09,96.22,94.39,07/16/15
95.78,95.75,96.02,95.12,07/17/15
95.61,95.65,95.9,94.68,07/20/15
95.56,95.66,95.85,94.9608,07/21/15
96.73,96.64,97.02,96.09,07/22/15
96.86,95.48,96.87,95.2001,07/23/15
95.61,95.11,95.93,94.8771,07/24/15
94.86,94.38,95.4217,93.71,07/27/15
94.76,96.22,96.51,94.4,07/28/15
95.64,96.58,97.27,95.58,07/29/15
96.37,96.54,97.02,96.11,07/30/15
96.65,96.63,96.96,95.94,07/31/15
96.12,95.91,96.3,95.06,08/03/15
96.1,95.67,96.1,94.8,08/04/15
