Open,Close,High,Low,Date
75.47,75.7,75.93,75.36,07/28/14
75.07,75.45,76.01,75.07,07/29/14
75.61,74.78,75.61,74.675,07/30/14
73.99,73.6,74.25,73.54,07/31/14
73.35,73.56,73.88,73.22,08/01/14
73.38,73.55,73.625,73.06,08/04/14
73.32,73.34,73.52,72.77,08/05/14
73.19,74.2,74.29,73.18,08/06/14
74.26,73.94,74.805,73.76,08/07/14
74.15,74.67,74.73,73.86,08/08/14
74.31,74.36,74.6,74.02,08/11/14
74.16,74.22,74.44,74.01,08/12/14
74.26,74.02,74.4,73.51,08/13/14
73.92,74.37,74.43,73.61,08/14/14
74.61,73.93,74.65,73.485,08/15/14
74.15,74.47,74.68,74.06,08/18/14
74.73,74.89,74.94,74.14,08/19/14
74.59,74.95,75.05,74.51,08/20/14
75.06,75.55,75.91,75.02,08/21/14
75.82,75.72,76.195,75.64,08/22/14
75.93,75.72,76.02,75.5063,08/25/14
75.82,75.51,76.1401,75.44,08/26/14
75.54,75.84,75.86,75.44,08/27/14
75.47,75.91,75.94,75.47,08/28/14
75.75,75.53,75.84,75.29,08/29/14
75.42,75.75,75.94,75.42,09/02/14
76.23,76.01,76.33,75.88,09/03/14
76.2,76.55,76.6,76.11,09/04/14
76.36,77.46,77.73,76.36,09/05/14
77.12,76.52,77.32,76.43,09/08/14
76.51,76.73,76.99,76.17,09/09/14
76.79,76.51,77.055,76.37,09/10/14
76.35,76.0931,76.44,76.09,09/11/14
75.94,75.8,76.05,75.663,09/12/14
75.78,75.8,75.89,75.61,09/15/14
75.63,76.32,76.56,75.61,09/16/14
76.23,76.25,76.47,76.01,09/17/14
76.29,76.23,76.58,75.91,09/18/14
76.62,76.86,77.07,76.38,09/19/14
76.74,76.31,76.86,76.25,09/22/14
76.02,75.62,76.225,75.57,09/23/14
75.78,77.1,77.31,75.7,09/24/14
76.92,76.14,77.31,75.73,09/25/14
76.14,76.48,76.57,75.86,09/26/14
76.1,76.09,76.25,75.65,09/29/14
76.04,76.49,76.72,75.77,09/30/14
76.57,76.12,76.86,75.91,10/01/14
76.06,76.23,76.91,75.96,10/02/14
76.55,77.32,77.48,76.53,10/03/14
77.18,77.36,77.92,77.11,10/06/14
76.93,77.32,77.69,76.72,10/07/14
76.81,78.23,78.485,76.81,10/08/14
78.05,77.87,78.83,77.66,10/09/14
77.99,78.28,79.37,77.95,10/10/14
78.05,77.5501,78.585,77.45,10/13/14
77.8,77.96,78.63,77.68,10/14/14
77.45,75.22,77.68,74.36,10/15/14
73.11,73.82,74.0694,72.61,10/16/14
74.18,74.13,74.5,73.0301,10/17/14
74.14,75.12,75.215,73.92,10/20/14
75.19,76.03,76.2,75.02,10/21/14
76.24,76.03,76.65,76.02,10/22/14
76.37,76.225,76.65,75.7801,10/23/14
76.24,76.38,76.5,75.72,10/24/14
76.4,76.57,76.98,76.39,10/27/14
76.72,76.35,76.8,76.0,10/28/14
76.43,76.38,76.64,75.97,10/29/14
76.17,76.44,76.59,75.98,10/30/14
77.11,76.24,77.4,76.01,10/31/14
76.37,76.26,76.37,75.59,11/03/14
76.4,77.25,77.3685,76.28,11/04/14
77.93,77.7,78.23,77.31,11/05/14
78.15,77.81,78.16,77.17,11/06/14
77.87,78.77,79.08,77.62,11/07/14
78.32,79.45,80.13,78.32,11/10/14
79.42,79.02,79.42,78.85,11/11/14
78.83,79.21,79.44,78.67,11/12/14
80.95,82.95,83.06,80.91,11/13/14
82.48,82.95,83.13,82.1,11/14/14
82.58,83.57,83.72,82.53,11/17/14
83.53,83.83,83.91,83.34,11/18/14
83.93,85.0,85.6399,83.92,11/19/14
84.8,84.57,85.29,84.04,11/20/14
85.37,84.62,85.44,84.58,11/21/14
84.81,85.4,85.6,84.81,11/24/14
85.42,85.01,85.507,84.39,11/25/14
84.9,85.0,85.507,84.39,11/26/14
86.02,87.53,88.09,85.91,11/28/14
86.72,86.23,87.07,85.7499,12/01/14
86.3,86.4,86.7,85.935,12/02/14
85.93,84.92,85.97,84.68,12/03/14
84.13,84.74,84.82,83.65,12/04/14
84.81,84.11,84.82,83.51,12/05/14
84.15,84.25,84.67,83.85,12/08/14
83.65,83.55,84.665,82.65,12/09/14
83.81,83.0,84.3,82.91,12/10/14
83.26,83.81,84.495,83.16,12/11/14
83.73,83.83,84.99,83.23,12/12/14
84.28,83.93,84.69,83.0541,12/15/14
83.78,82.99,84.76,82.94,12/16/14
83.28,84.22,84.26,82.955,12/17/14
84.84,85.95,85.95,84.31,12/18/14
86.23,85.17,86.34,85.16,12/19/14
85.32,86.4,86.4,85.31,12/22/14
86.6,86.685,87.08,86.36,12/23/14
86.96,86.45,87.065,86.39,12/24/14
86.18,86.93,87.14,86.01,12/26/14
86.48,86.66,87.07,86.4,12/29/14
86.59,86.8,87.13,86.5,12/30/14
87.08,85.93,87.44,85.86,12/31/14
86.2,85.91,86.71,85.545,01/02/15
85.7,85.68,86.32,85.51,01/05/15
85.98,86.29,86.75,85.79,01/06/15
86.73,88.62,88.68,86.69,01/07/15
89.21,90.45,90.665,89.07,01/08/15
90.35,89.36,90.39,89.25,01/09/15
89.28,90.06,90.31,89.22,01/12/15
90.79,89.31,90.97,88.9301,01/13/15
87.77,86.57,88.51,86.5,01/14/15
86.96,87.39,87.78,86.7,01/15/15
86.98,86.76,87.46,86.23,01/16/15
86.93,86.685,87.682,85.552,01/20/15
86.13,86.65,86.9,85.71,01/21/15
87.29,88.29,88.395,86.87,01/22/15
88.32,88.51,89.255,87.89,01/23/15
88.33,88.62,89.16,88.13,01/26/15
88.28,87.55,88.41,87.26,01/27/15
88.01,86.85,88.23,86.78,01/28/15
87.07,87.72,87.72,86.27,01/29/15
86.77,84.95,87.36,84.9,01/30/15
84.77,85.71,85.86,83.93,02/02/15
85.88,86.24,86.525,85.66,02/03/15
86.08,86.65,87.03,85.66,02/04/15
87.04,87.28,87.36,86.56,02/05/15
87.26,87.33,88.0,86.78,02/06/15
87.04,85.89,87.19,85.64,02/09/15
86.52,87.28,87.41,86.43,02/10/15
86.56,86.34,87.11,85.92,02/11/15
86.61,85.87,86.67,85.24,02/12/15
86.13,85.79,86.16,85.32,02/13/15
85.5,85.96,85.97,84.97,02/17/15
86.0,86.28,86.2999,85.52,02/18/15
84.5,83.53,84.8,83.39,02/19/15
82.69,84.31,84.38,82.55,02/20/15
84.47,84.625,84.86,84.23,02/23/15
84.52,84.57,84.82,83.93,02/24/15
84.58,83.56,84.716,83.52,02/25/15
83.84,83.8,83.86,83.27,02/26/15
83.72,83.91,84.16,83.4,02/27/15
83.83,83.94,84.0,83.2,03/02/15
83.64,83.36,83.82,83.17,03/03/15
83.2,82.57,83.205,82.2,03/04/15
82.96,83.58,83.87,82.96,03/05/15
82.8,82.59,83.1,82.375,03/06/15
82.73,82.9,83.34,82.545,03/09/15
82.17,82.15,82.5,82.07,03/10/15
81.77,80.68,81.97,80.54,03/11/15
80.87,81.89,82.12,80.78,03/12/15
82.04,81.92,82.25,81.29,03/13/15
82.45,83.3,83.37,82.45,03/16/15
82.93,82.61,83.01,82.25,03/17/15
81.98,82.49,82.96,81.155,03/18/15
82.33,81.55,82.44,81.37,03/19/15
81.82,83.25,83.49,81.71,03/20/15
83.16,83.32,83.9,83.12,03/23/15
83.1,83.07,83.71,82.96,03/24/15
83.145,81.325,83.24,81.31,03/25/15
80.93,81.87,82.31,80.65,03/26/15
81.85,81.35,82.18,81.245,03/27/15
81.93,82.55,82.8,81.43,03/30/15
82.4,82.25,83.04,82.25,03/31/15
82.18,80.71,82.28,80.43,04/01/15
80.74,80.73,81.315,80.55,04/02/15
80.55,80.99,81.32,80.16,04/06/15
81.1,80.48,81.29,80.46,04/07/15
80.49,80.99,81.23,80.39,04/08/15
80.84,80.82,81.36,80.6,04/09/15
80.99,80.68,81.0,80.5452,04/10/15
80.36,80.31,80.92,80.27,04/13/15
80.24,80.17,80.42,79.68,04/14/15
80.58,79.73,80.97,79.651,04/15/15
79.5,79.24,79.89,79.13,04/16/15
78.93,77.87,79.12,77.55,04/17/15
78.48,78.12,78.83,78.02,04/20/15
78.61,78.03,78.84,77.91,04/21/15
77.72,78.42,78.64,77.55,04/22/15
78.28,79.205,79.54,78.23,04/23/15
79.36,79.84,80.93,78.23,04/24/15
79.77,79.375,79.86,79.29,04/27/15
79.41,79.1,79.41,78.77,04/28/15
78.63,77.86,78.7849,77.79,04/29/15
77.82,78.04,78.48,77.5907,04/30/15
78.21,78.59,78.76,78.1702,05/01/15
78.73,79.19,79.545,78.46,05/04/15
78.96,78.13,79.01,78.06,05/05/15
77.78,77.65,78.12,77.17,05/06/15
77.73,78.03,78.34,77.3,05/07/15
78.65,78.52,79.25,78.4,05/08/15
78.35,78.12,78.6099,78.0338,05/11/15
77.96,78.97,79.48,77.87,05/12/15
79.25,78.14,79.27,77.98,05/13/15
78.37,78.71,78.77,78.02,05/14/15
78.58,79.24,79.25,78.58,05/15/15
79.37,79.9,79.94,79.16,05/18/15
78.15,76.41,78.32,76.23,05/19/15
76.47,75.88,78.31,75.83,05/20/15
75.8,76.12,76.42,75.57,05/21/15
76.13,75.87,76.38,75.86,05/22/15
75.82,74.92,75.83,74.815,05/26/15
75.06,75.18,75.51,75.0,05/27/15
75.06,74.86,75.16,74.65,05/28/15
